"APP ID"	"Date Announced"	"CIA Name"	"Grant Type"	"Sub Type"	"Grant Title"	"Admin Institution"	"State"	"Sector"	"Total"	"Broad Research Area"	"Field(s) of Research"	"Res KW1"	"Res KW2"	"Res KW3"	"Res KW4"	"Res KW5"	"Plain Description"
"2007142"	2021-05-11	"Prof Manuela Ferreira"	"International Collaborations"	"2019 NHMRC-NIHR Collaborative Research Grants Round 3"	"The Meniscal Transplant surgery or Optimised Rehabilitation full randomised trial (MeTeOR2)"	"University of Sydney"	"NSW"	"University"	1025882	"Clinical Medicine and Science"	"Orthopaedics"	"knee cartilage"	"orthopaedic surgery"	"physiotherapy management"	"clinical trial"	"cost-effectiveness"	"It can be hard to decide what treatment to use for people with pain and disability who have had the meniscus cartilage removed from the knee. Some surgeons try to improve pain and function by replacing the lost meniscus with a transplant from a donor who has died. The alternatives include exercises, physiotherapy, and bracing. This study will help us understand if the results for people who have the transplant are better or worse than for exercise and physiotherapy."
"2005944"	2021-05-11	"Prof Gail Garvey"	"National Network for Aboriginal and Torres Strait Islander health researchers"	"National Network for Aboriginal and Torres Strait Islander health researchers"	"National First Nations Research Network"	"Menzies School of Health Research"	"NT"	"Research Institutes"	1e+07	"Public Health"	"Aboriginal and Torres Strait Islander Health"	"indigenous australians"	"capacity building"	"indigenous health"	"social support networks"	"education"	"The National First Nations Research Network will mark a transformation in First Peoples livelihoods and Health Equity. Delivered and led by Indigenous Peoples for Indigenous Peoples, guided by self-determination, this Network will nurture culturally safe environments, connect expertise, catalyse research methods, training and development. The Network will create career pathways to achieve national capability and generational growth, for sustained health and wellbeing of our communities."
"2006719"	2021-05-11	"Prof Malcolm Sim"	"Targeted Call for Research"	"NHMRC Co-funding of the MRFF - Emerging Priorities and Consumer Driven Research Initiative (EPCDRI) – 2020 Silicosis Research Grant"	"Emerging techniques for earlier diagnosis and assessment of severity and progression of artificial stone silicosis"	"Monash University"	"VIC"	"University"	994642.4	"Clinical Medicine and Science"	"Radiology and Organ Imaging"	"adult respiratory diseases"	"medical imaging"	"occupational health"	"occupational rehabilitation"	"screening"	"Stonemasons who have worked with engineered stone have been shown to develop a rapidly progressive and potentially fatal form of silicosis. This research will use data from affected workers from Victoria, Western Australia and Queensland. The research will comprise a suite of projects to investigate many uncertainties related to radiological screening methods, as well as investigating new methods to assess disease severity and identify indicators of progression to inform future practice."
"2009196"	2021-06-16	"Prof Andrew Vallely"	"International Collaborations"	"GACD Cancer Prevention Call funding commencing 2021"	"HPV-based testing and treatment for the elimination of cervical cancer in Papua New Guinea (HPVTATE)"	"University of New South Wales"	"NSW"	"University"	1590166.78	"Health Services Research"	"Public Health and Health Services not elsewhere classified"	"cervical screening"	"cervical precancer"	"cervical cancer"	"health services research"	"developing countries"	"Building on the innovative cervical screening model that we successfully designed and delivered in partnership with provincial health authorities in urban primary care settings in PNG, the overarching aim of the proposed study is to determine the reach, effectiveness, cost-effectiveness, acceptability and scalability of HPV-based testing and treatment for the elimination of cervical cancer (HPVTATE) among women in rural and remote communities in Papua New Guinea."
"2009206"	2021-06-16	"A/Pr Gillian Gould"	"International Collaborations"	"GACD Cancer Prevention Call funding commencing 2021"	"SISTAQUIT scale-up in Indigenous populations in Australia"	"University of Newcastle"	"NSW"	"University"	1800000	"Public Health"	"Aboriginal and Torres Strait Islander Health"	"smoking cessation"	"indigenous health"	"pregnancy"	"health professionals"	"health advice"	"SISTAQUIT®(Supporting Indigenous Smokers to Assist Quitting) is a research backed training program that provides free, online training in quit smoking methods to health providers. This study aims to expand the SISTAQUIT intervention to all Australian health services that cater to Indigenous women during pregnancy. This research will test numerous methods to implement SISTAQUIT to identify the most effective and economical strategy suitable for roll-out, and build Indigenous workforce capacity."
"2009317"	2021-06-16	"A/Pr Julia Brotherton"	"International Collaborations"	"GACD Cancer Prevention Call funding commencing 2021"	"Developing a scalable, woman-centred model for cervical cancer screening in vulnerable women in India"	"VCS Foundation Limited"	"VIC"	"Research Institutes"	1330369.04	"Public Health"	"Preventive Medicine"	"cervical screening"	"cervical precancer"	"cancer screening"	"population screening"	"health services research"	"Cervical cancer is a devastating but preventable disease and 1 in 5 cases of cervical cancer in the world occur in India. We will work with women, communities, and health services in two States of India (Tamil Nadu and Mizoram) to design a woman friendly approach to prevent cervical cancer. This project brings together international and Indian experts to overcome current barriers to cervical screening by using a newer, more effective way of screening to reach underserved women and save lives."
"2010271"	2021-06-16	"Prof Robert Sanson-Fisher"	"International Collaborations"	"GACD Cancer Prevention Call funding commencing 2021"	"Developing and testing a community-informed intervention to increase VIA cervical cancer screening in Eswatini"	"University of Newcastle"	"NSW"	"University"	1206527.95	"Public Health"	"Public Health and Health Services not elsewhere classified"	"cervical screening"	"cancer prevention"	"implementation"	"community health care"	"nursing practice"	"Eswatini has the highest rate of cervical cancer in the world. Cervical cancer screening is effective at reducing deaths from this disease. However, in Eswatini rates of cervical screening are very low, with one study estimating that only 5% of women had ever undergone screening. This project will explore barriers to cervical screening in Eswatini, and develop and test culturally appropriate strategies to improve participation in cervical screening."
"2000344"	2021-06-20	"A/Pr Simon Rice"	"Clinical Trials and Cohort Studies Grants"	"Clinical Trials and Cohort Studies Grants"	"Pragmatic trial of a targeted digital intervention for youth with suicidal thoughts and behaviours attending outpatient care"	"University of Melbourne"	"VIC"	"University"	1443572.4	"Health Services Research"	"Psychiatry (incl. Psychotherapy)"	"major depression"	"youth"	"mental health"	"suicide prevention"	"suicide risk"	"Existing programs aiming to reduce suicide ideation in youth often fail to impart lasting benefits in helping young people stay well. Our team have developed an online social media-based intervention (called Affinity) that addresses limitations of past programs by allowing 24/7 access to digital therapy, alongside therapist and peer support. This trial will aim to uncover whether Affinity is effective in reducing suicide ideation in young people, relative to a control program."
"2000375"	2021-06-20	"A/Pr Rebecca McKetin"	"Clinical Trials and Cohort Studies Grants"	"Clinical Trials and Cohort Studies Grants"	"A Phase III randomised placebo-controlled trial of mirtazapine as a pharmacotherapy for methamphetamine (\"Ice\") dependence"	"University of New South Wales"	"NSW"	"University"	3923009.33	"Public Health"	"Mental Health"	"substance dependence"	"pharmacotherapy"	"clinical trial"	"amphetamine"	"medications"	"Crystalline methamphetamine ('ice') is a growing concern in Australia. There are no approved medications that can be used to treat dependence on this drug. This clinical trial will examine whether mirtazapine, a newly identified treatment agent for methamphetamine use, can be used safely and effectively in routine clinical care to manage methamphetamine dependence in Australia."
"2000376"	2021-06-20	"Prof Richard Kanaan"	"Clinical Trials and Cohort Studies Grants"	"Clinical Trials and Cohort Studies Grants"	"Breathing Control as a treatment for Non-Epileptic Seizures"	"University of Melbourne"	"VIC"	"University"	1740186.67	"Clinical Medicine and Science"	"Psychiatry (incl. Psychotherapy)"	"control of breathing"	"seizures"	"somatoform disorders"	"clinical trial"	"physiotherapy management"	"Non-epileptic Seizures (NES) are fits that look like epilepsy but are not, and are instead thought to be a psychological response to problems. Treating them psychologically is difficult, however, and doesn't usually work. We have discovered that patients' fits involve hyperventilation, like a panic attack, and can be stopped by teaching them to control their breathing in a similar way. In this study we aim to prove this, by completing a trial of breath control training in NES."
"2000404"	2021-06-20	"Prof Shyamali Dharmage"	"Clinical Trials and Cohort Studies Grants"	"Clinical Trials and Cohort Studies Grants"	"Providing translatable evidence to advance prevention and management of COPD: a longitudinal study from the 1st to 7th decade of life"	"University of Melbourne"	"VIC"	"University"	2893319.94	"Public Health"	"Respiratory Diseases"	"disease prevention"	"risk prediction"	"chronic obstructive pulmonary disease (copd)"	"asthma"	"lung function"	"Chronic obstructive pulmonary disease (COPD) makes breathing difficult and reduces wellbeing. People are more likely to get COPD from the age of 60 years, but we do not know why and who. Our study will develop tools to identify early who will develop COPD by 60 years. We will also develop a tool to identify 60-year-old individuals whose lung function is declining faster than normal. These findings will help us to better prevent and manage COPD."
"2000540"	2021-06-20	"Prof Jonathan Shaw"	"Clinical Trials and Cohort Studies Grants"	"Clinical Trials and Cohort Studies Grants"	"PRogrEssion of DIabetic ComplicaTions - PREDICT"	"Baker Heart and Diabetes Institute"	"VIC"	"Research Institutes"	4784627	"Public Health"	"Epidemiology"	"diabetes"	"diabetic complications"	"biomarkers"	"cardiovascular complications"	"kidney disease"	"The PREDICT study will fill a very important gap in our understanding of diabetes. By studying what happens to over 3,000 people with type 2 diabetes over the next decade, it will identify improved ways of identifying which people with diabetes will develop its devastating complications. This will allow targeting of intensive treatment on those who need it the most, and will also provide an important means of identifying potential new ways of treating and supporting people with type 2 diabetes."
"2000711"	2021-06-20	"Prof Trevor Leong"	"Clinical Trials and Cohort Studies Grants"	"Clinical Trials and Cohort Studies Grants"	"AGITG TOP GEAR: A randomised phase II/III trial of preoperative chemoradiotherapy versus preoperative chemotherapy for resectable gastric cancer"	"University of Sydney"	"NSW"	"University"	621644.2	"Clinical Medicine and Science"	"Radiation Therapy"	"clinical trial"	"gastric cancer"	"radiotherapy"	"surgery"	"chemotherapy"	"While surgery to remove stomach cancer has been traditionally accepted as the only way to potentially cure the disease, there have been several recent advances using chemotherapy and/or radiotherapy both before and after surgery. Doctors' opinions remain divided regarding best treatments to give and in what order. This trial will address the important question of whether combined chemotherapy plus radiotherapy is more effective than chemotherapy alone in improving cure rates for stomach cancer."
"2000780"	2021-06-20	"Dr Holger Unger"	"Clinical Trials and Cohort Studies Grants"	"Clinical Trials and Cohort Studies Grants"	"Intermittent preventive treatment in pregnancy with sulphadoxine-pyrimethamine plus dihydroartemisinin-piperaquine to reduce adverse pregnancy outcomes and prevent malaria in Papua New Guinea: a randomised controlled trial"	"Menzies School of Health Research"	"NT"	"Research Institutes"	2938452.97	"Clinical Medicine and Science"	"Medical Parasitology"	"clinical trial"	"antimalarial"	"malaria"	"pregnancy"	"low birth weight infant"	"Millions of pregnancies are complicated by malaria worldwide. Monthly sulphadoxine-pyrimethamine (SP) treatments, the current treatment strategy, no longer protects from malaria but improves birth outcomes through non-malarial effects. Dihydroartemisinin-piperaquine clears malaria but babies are smaller compared to women who received SP. A clinical trial of their combination has potential to substantially improve health outcomes for women and babies in Papua New Guinea and beyond."
"2000842"	2021-06-20	"Prof Stephanie Brown"	"Clinical Trials and Cohort Studies Grants"	"Clinical Trials and Cohort Studies Grants"	"Uncovering the hidden impacts and costs of exposure to intimate partner violence in childhood: a 20-year cohort study"	"Murdoch Childrens Research Institute"	"VIC"	"Research Institutes"	1595473.4	"Public Health"	"Epidemiology"	"maternal and child health"	"domestic violence"	"adolescent health"	"maternal mental health"	"health economics"	"Intimate partner violence (IPV) and adverse childhood experiences are common, and cluster within families. This longitudinal study will improve understanding of intergenerational impacts and costs of IPV and provide evidence regarding strategies that may reduce the risk of poor mental health in adult life for the more than 1 in 3 Australian children growing up in households where IPV is occurring."
"2000989"	2021-06-20	"Dr Christina Abdel Shaheed"	"Clinical Trials and Cohort Studies Grants"	"Clinical Trials and Cohort Studies Grants"	"IMPLORE - Implementing an opioid stewardship intervention to reduce opioid use"	"University of Sydney"	"NSW"	"University"	2352236.17	"Public Health"	"Primary Health Care"	"clinical trial"	"opioid analgesia"	"patient education"	"low back pain"	"clinical decision making"	"Back pain is the leading cause for opioid use globally. Guidelines actively discourage opioid use for this condition but unfortunately it commonly ends up managed with opioid medicines. Urgent efforts are needed to reduce the burden of harm associated with excessive prescribing of opioids for back pain. This trial will evaluate a clinical care model that is grounded in research, and designed to curb opioid analgesic use and achieve better health outcomes for people with back pain."
"2001237"	2021-06-20	"Prof Carol Hodgson"	"Clinical Trials and Cohort Studies Grants"	"Clinical Trials and Cohort Studies Grants"	"Low OxyGen Intervention for Cardiac Arrest injury Limitation trial (LOGICAL)"	"Monash University"	"VIC"	"University"	2314402.6	"Clinical Medicine and Science"	"Intensive Care"	"oxygen therapy"	"mechanical ventilation"	"randomised controlled trial (rct)"	"intensive care"	"clinical research"	"Life support with mechanical ventilation (MV) is required for most patients after cardiac arrest. Delivery of liberal oxygen therapy to patients receiving MV is standard care and exposes them to a high oxygen dose and higher blood oxygen levels. A higher amount of oxygen might be harmful after cardiac arrest, but the optimal oxygen therapy in these patients is uncertain. This study tests standard care versus a protective conservative dose of oxygen on neurological recovery after cardiac arrest."
"2001264"	2021-06-20	"A/Pr Camille Raynes-Greenow"	"Clinical Trials and Cohort Studies Grants"	"Clinical Trials and Cohort Studies Grants"	"Reducing household air pollution exposure to improve early child health and development; extending the intervention and follow-up of \"Poriborton: the CHANge trial\"."	"University of Sydney"	"NSW"	"University"	2916420.55	"Public Health"	"Epidemiology"	"clinical trial"	"indoor air pollution"	"child development"	"respiratory diseases"	"public health"	"Around the world each year household air pollution causes 4.3 million deaths. Mothers, babies and children, who spend the most time at home are extremely vulnerable. We will study the health of infants who have had reduced exposure in their first critical years of life and compare them to infants whose exposure was not reduced. This will provide compelling evidence for governments around the world of the need to assist families in developing settings to adopt clean energy."
"2001375"	2021-06-20	"A/Pr Kirsten Morley"	"Clinical Trials and Cohort Studies Grants"	"Clinical Trials and Cohort Studies Grants"	"A randomised controlled trial of N-acetylcysteine for the treatment of alcohol use disorder"	"University of Sydney"	"NSW"	"University"	1294923.44	"Clinical Medicine and Science"	"Psychiatry (incl. Psychotherapy)"	"alcohol use disorders"	"alcohol dependence"	"pharmacotherapy"	"substance use"	"alcoholic liver disease"	"We urgently require new treatment strategies. Alcohol misuse is a leading cause of preventable death yet treatment options are limited. We will undertake the first human trial of N-acetylcysteine (NAC) for the management of alcohol use disorder (NAC-AUD). The NAC-AUD project will evaluate the efficacy and cost-efficacy of NAC to reduce alcohol consumption. The results will generate high level clinical evidence for a safe new treatment for a common life threatening disease."
"2001391"	2021-06-20	"Prof Jane Pillow"	"Clinical Trials and Cohort Studies Grants"	"Clinical Trials and Cohort Studies Grants"	"Cognitive Improvement through early Restoration of cirCADian rhythms in very preterm Infants via Environmental Modification: The CIRCA DIEM Study"	"University of Western Australia"	"WA"	"University"	3077039.4	"Clinical Medicine and Science"	"Foetal Development and Medicine"	"circadian rhythms"	"neurodevelopment"	"premature infant"	"maternal mental health"	"sleep"	"When very premature infants are born, they no longer receive important signals from their mother about whether it is daytime or night-time, and are cared for in hospital environments that are noisy and brightly lit all day. The absence of the maternal signals and the constant light and noise may interfere with normal brain development. We will determine if wearing eye masks and ear muffs at night in hospital will improve brain development and general health in premature babies."
"2001517"	2021-06-20	"A/Pr Victoria Mar"	"Clinical Trials and Cohort Studies Grants"	"Clinical Trials and Cohort Studies Grants"	"Reconceiving early detection of melanoma"	"Monash University"	"VIC"	"University"	3217920.2	"Clinical Medicine and Science"	"Dermatology"	"malignant melanoma"	"skin cancer"	"computer-assisted diagnosis"	"risk prediction"	"dermatology"	"Treatment for skin cancer costs the Australian healthcare system >$1 billion annually. Early detection and accurate diagnosis of melanoma improves survival, however a standardised approach to diagnosis does not currently exist. This study will prospectively recruit 15,000 patients to develop and validate a risk stratified image-based approach to melanoma prevention, early detection and surveillance which will incorporate cutting edge technologies to standardise diagnosis and optimise care."
"2001568"	2021-06-20	"Prof Ian Hickie"	"Clinical Trials and Cohort Studies Grants"	"Clinical Trials and Cohort Studies Grants"	"A large-scale clinical effectiveness (health services) trial to determine whether personalised health care packages, combined with digitally-supported measurement-based care, improve functional outcomes in young people with mood disorders"	"University of Sydney"	"NSW"	"University"	3434588	"Health Services Research"	"Psychiatry (incl. Psychotherapy)"	"mood disorders"	"depression"	"youth"	"intervention"	"translational research"	"One of our greatest current health challenges is to develop highly-personalised interventions for teenagers and young adults with emerging mood disorders. This research will combine our national expertise to develop and implement care packages utilising digital technologies, personalised assessment techniques, targeted treatment choices, and long-term outcome tracking. In a clinical trial we will assess the clinical effectiveness of these innovative healthcare packages."
