Project,"Link to project",Category,"Arena funding provided","Total project value","Lead organisation","Arena program","Start date",Location,"Project partners",Status
"Next Generation Electric Bus Depot",https://arena.gov.au/projects/next-generation-electric-bus-depot/,"Battery storage",$5m,$37.21m,"Zenobe Australia","Advancing Renewables Program",31/08/2021,"Leichhardt, New South Wales","Transgrid, Transit Systems",Current
"ACT Distributed Energy Resources Demonstration Pilot - Project Converge",https://arena.gov.au/projects/act-distributed-energy-resources-demonstration-pilot-project-converge/,"Distributed energy resources",$2.85m,$8.4m,"Icon Distribution Investments and Jemena Networks (ACT) (Evoenergy)","Advancing Renewables Program",24/08/2021,"Australian Capital Territory, Greenway","Evoenergy, Australian National University, Zeppelin Bend, ACT Government - Environment, Planning and Sustainable Development Directorate",Current
"Stanwell Central Queensland Hydrogen Project Feasibility Study",https://arena.gov.au/projects/stanwell-central-queensland-hydrogen-project-feasibility-study/,"Hydrogen energy",$2.16m,$10.49m,"Stanwell Corporation","Advancing Renewables Program",05/08/2021,"Gladstone, Queensland","APA Group - APT Management Services, Iwatani Corporation, Kansai Electric Power Company (KEPCO), Kawasaki Heavy Industries, Marubeni Corporation, The Japanese Ministry of Economy, Trade and Industry (METI)",Current
"AEMO Connections Tool Project",https://arena.gov.au/projects/aemo-connections-tool-project/,"System security and reliability",$2.22m,$2.63m,AEMO,"Advancing Renewables Program",29/07/2021,"New South Wales, Sydney",None,Current
"Western Australia Distributed Energy Resources Orchestration Pilot",https://arena.gov.au/projects/western-australia-distributed-energy-resources-orchestration-pilot/,"Distributed energy resources",$8.55m,$35.44m,"Electricity Networks Corporation (Western Power)","Advancing Renewables Program",02/07/2021,"Perth, Western Australia","Electricity Generation and Retail Corporation (Synergy), AEMO, University of Technology Sydney, University of Western Australia, University of Tasmania ",Current
"Evie Networks Future Fuels Public Fast Charging",https://arena.gov.au/projects/evie-networks-future-fuels-public-fast-charging/,"Electric vehicles",$8.85m,$25.61m,"Evie Networks","Future Fuels Fund (Round 1)",01/06/2021,"Australian Capital Territory, New South Wales, Northern Territory, Queensland, South Australia, Tasmania, Victoria, Western Australia","ActewAGL (ACT only)",Current
"ENGIE Future Fuels Public Fast Charging",https://arena.gov.au/projects/engie-future-fuels-public-fast-charging/,"Electric vehicles",$6.85m,$22.64m,"IPAH Client Solutions Australia Pty Ltd (ENGIE)","Future Fuels Fund (Round 1)",01/06/2021,"New South Wales, Queensland, South Australia, Victoria","IPower 2, IPower (Simply Energy), JET Charge",Current
"Ampol Addressing Blackspots Fast Charging",https://arena.gov.au/projects/ampol-addressing-blackspots-fast-charging-project/,"Electric vehicles",$7.05m,$26.81m,"Ampol Australia Petroleum","Future Fuels Fund (Round 1)",01/06/2021,"New South Wales, Queensland, Victoria, Western Australia",None,Current
"Chargefox Future Fuels Public Fast Charging",https://arena.gov.au/projects/chargefox-future-fuels-public-fast-charging-project/,"Electric vehicles",$1.4m,$3.77m,Chargefox,"Future Fuels Fund (Round 1)",01/06/2021,"South Australia, Western Australia",None,Current
"Hobart Electric Highway Tasmania Fast Charger Network",https://arena.gov.au/projects/hobart-electric-highway-tasmania-fast-charger-network-project/,"Electric vehicles",$400k,$1.05m,"Electric Highway Tasmania (EHT)","Future Fuels Fund (Round 1)",01/06/2021,Tasmania,"Chargefox, Kingborough Council",Current
"Kidston Pumped Hydro Energy Storage",https://arena.gov.au/projects/kidston-pumped-hydro-energy-storage/,"Hydropower / Pumped Hydro Energy Storage",$47m,$777m,"Kidston Hydro Project Co","Advancing Renewables Program",01/04/2021,"Lyndhurst, Queensland","McConnell Dowell and John Holland, EnergyAustralia, Northern Australia Infrastructure Fund, J-Power",Current
"RayGen Solar Power Plant Demonstration",https://arena.gov.au/projects/raygen-solar-power-plant-demonstration/,"Concentrated solar thermal",$15m,$30m,"RayGen Resources","Advancing Renewables Program",25/03/2021,"Carwarp, Victoria",AGL,Current
"Rio Tinto Pacific Operations Hydrogen Program",https://arena.gov.au/projects/rio-tinto-pacific-operations-hydrogen-program/,"Hydrogen energy",$579k,$1.16m,"Rio Tinto Aluminium Limited","Advancing Renewables Program",25/03/2021,"Queensland, Yarwun",None,Current
"Australian Energy Council Double-Sided Causer Pays Study",https://arena.gov.au/projects/australian-energy-council-double-sided-causer-pays-study/,"System security and reliability",$164k,$414k," Australian Energy Council","Advancing Renewables Program",23/03/2021,Victoria,"Infigen Energy, CS Energy",Past
"United Energy Low Voltage Battery Trial",https://arena.gov.au/projects/united-energy-low-voltage-battery-trial/,"Battery storage",$4m,$10.98m,"United Energy","Advancing Renewables Program",01/03/2021,"Mount Waverly, Victoria","Simply Energy",Current
"Canadian Solar Connection Studies at Carwarp Solar Farm",https://arena.gov.au/projects/canadian-solar-connection-studies-at-carwarp-solar-farm/,"Battery storage",$270k,$615k,"Canadian Solar","Advancing Renewables Program",22/02/2021,"Carwarp, Victoria",None,Current
"Rheem Active Hot Water Control",https://arena.gov.au/projects/rheem-active-hot-water-control/,"Distributed energy resources",$1.98m,$8.8m,"Rheem Australia","Advancing Renewables Program",01/02/2021,"South Australia","Combined Energy Technologies, Marchment Hill Consulting, SA Power Networks, Simply Energy",Current
"Mechanical Vapour Recompression for Low Carbon Alumina Refining",https://arena.gov.au/projects/mechanical-vapour-recompression-for-low-carbon-alumina-refining/,"Renewables for industry",$11.28m,$28.21m,"Alcoa of Australia Limited","Advancing Renewables Program",18/01/2021,"Wagerup, Western Australia",None,Current
"Centennial Pumped Hydro Energy Storage",https://arena.gov.au/projects/centennial-pumped-hydro-energy-storage/,"Hydropower / Pumped Hydro Energy Storage",$995k,$13.03m,"Centennial Coal Company","Advancing Renewables Program",07/01/2021,"Fassifern, New South Wales","NSW Government, Byrnes Geotechnical, University of Newcastle, GHD",Current
"Project MATCH",https://arena.gov.au/projects/project-match/,"Distributed energy resources",$981k,$2.19m,"University of New South Wales","Advancing Renewables Program",01/01/2021,"Kensington, New South Wales","AEMO, Solar Analytics",Current
"Australian Industry ETI Delivery Stage Project",https://arena.gov.au/projects/australian-industry-eti-delivery-stage-project/,"Renewables for industry",$2m,$4m,"Monash University (ClimateWorks Australia)","Advancing Renewables Program",01/01/2021,"Melbourne, Victoria","Climate-KIC Australia, Rocky Mountain Institute, CSIRO, Energy Transitions Commission, Bloomberg NEF",Current
"DER 2.0: Customer Focused Design for DER Participation",https://arena.gov.au/projects/der-2-0-customer-focused-design-for-der-participation/,"Distributed energy resources",$446k,$943k,UPowr,"Advancing Renewables Program",22/12/2020,"New South Wales, Victoria",None,Current
"Relectrify Second-Life Battery Trial",https://arena.gov.au/projects/relectrify-second-life-battery-trial/,"Battery storage",$1.48m,$3.3m,"Relectrify Holdings","Advancing Renewables Program",21/12/2020,"Melbourne, Victoria",None,Current
"Project SHIELD",https://arena.gov.au/projects/project-shield/,"Distributed energy resources",$2.63m,$5.73m,"Redback Operations Pty Ltd trading as Luceo Energy","Advancing Renewables Program",21/12/2020,"New South Wales, Queensland","The University of Queensland, Energy Queensland, Essential Energy, GridQube",Current
"Metro Advertising Revenue Funded Electric Vehicle Charging Trial",https://arena.gov.au/projects/metro-advertising-revenue-funded-electric-vehicle-charging-trial/,"Electric vehicles",$984k,$2m,"Jolt Charge","Advancing Renewables Program",13/12/2020,"Adelaide, South Australia",None,Current
"Co-located Vanadium Flow Battery Storage and Solar",https://arena.gov.au/projects/co-located-vanadium-flow-battery-storage-and-solar/,"Battery storage",$5.69m,$20.29m,"Yadlamalka Energy","Advancing Renewables Program",23/11/2020,"Neuroodla, South Australia","Invinity Energy Systems, Habitat Energy ",Current
"AGL Electric Vehicle Orchestration Trial",https://arena.gov.au/projects/agl-electric-vehicle-orchestration-trial/,"Battery storage",$2.89m,$8.25m,"AGL Energy Services","Advancing Renewables Program",17/11/2020,"New South Wales, Queensland, South Australia, Victoria",None,Current
"Resilient Wind Energy for Telecommunication Sites",https://arena.gov.au/projects/resilient-wind-energy-for-telecommunication-sites/,"Wind energy",$341k,$922k,"Diffuse Energy","Advancing Renewables Program",11/11/2020,"New South Wales, Williamtown","Positive Off-Grid Solutions, Vertical Telecoms, The University of Newcastle",Current
"Malabar Biomethane Injection Project",https://arena.gov.au/projects/malabar-biomethane-injection-project/,"Bioenergy / Energy from waste",$5.9m,$12.86m,"Jemena Limited","Advancing Renewables Program",04/11/2020,"Malabar, New South Wales","Sydney Water Corporation",Current
"Brimbank Aquatic and Wellness Centre Integrated Energy System",https://arena.gov.au/projects/brimbank-aquatic-and-wellness-centre-integrated-energy-system/,"Renewables in buildings",$1.53m,$8.09m,"Brimbank City Council","Advancing Renewables Program",27/10/2020,"Keilor Downs, Victoria",None,Current
"Electrically-Enhanced Recycling Process for EoL Si PV-Cells",https://arena.gov.au/projects/electrically-enhanced-recycling-process-for-eol-si-pv-cells/,"Solar energy",$404k,$951k,"Swinburne University of Technology","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Hawthorn, Victoria","CSIRO, Upala, Environstream Australia",Current
"Next-Gen Selective-Emitters for Commercial PERC and TOPCon Solar Panels",https://arena.gov.au/projects/next-gen-selective-emitters-for-commercial-perc-and-topcon-solar-panels/,"Solar energy",$1.23m,$4.66m,"University of New South Wales","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Kensington, New South Wales","Suzhou Talesun Solar Technologies Co., Ltd Trina Solar Ltd",Current
"Efficient, Low-Cost, Eco-Friendly Solar PV Recycling Technology",https://arena.gov.au/projects/efficient-low-cost-eco-friendly-solar-pv-recycling-technology/,"Solar energy",$1.36m,$7.23m,"University of New South Wales","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Kensington, New South Wales","Azure Mining Technology, GrapheneX, Visy Recycling Australia, Providences Assets, JinkoSolar, Trina Solar, Central South University, DuPont, Research and Development Center China, Silicon Corporation (ENFI Group)",Current
"Closed-Loop Recycling and Remanufacturing EoL Solar PV",https://arena.gov.au/projects/closed-loop-recycling-and-remanufacturing-eol-solar-pv/,"Solar energy",$1.56m,$6.05m,"University of New South Wales","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Kensington, New South Wales","LONGi Green Energy Technology, Sino-American Silicon Products, PVTECH Global, Korean Institute of Energy Research",Current
"Durable Silicon Perovskite Tandem Photovoltaics",https://arena.gov.au/projects/durable-silicon-perovskite-tandem-photovoltaics/,"Solar energy",$987k,$2.63m,"University of Sydney","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Camperdown, New South Wales","Australian National University, Macquarie University, University of New South Wales, AGP America S.A",Current
"Triple Junction Silicon Perovskite Tandem Photovoltaics",https://arena.gov.au/projects/triple-junction-silicon-perovskite-tandem-photovoltaics/,"Solar energy",$1.49m,$3.89m,"University of Sydney","Advancing Renewables Program",18/09/2020,"Camperdown, New South Wales","Australian National University, Macquarie University, University of New South Wales, Shenzhen Heiking PV Technology Pty Ltd",Current
"Antimony Chalcogenide: Top Cell Alternative for Silicon Tandem Cells",https://arena.gov.au/projects/antimony-chalcogenide-top-cell-alternative-for-silicon-tandem-cells/,"Solar energy",$693k,$2.91m,"University of New South Wales","Research and Development",18/09/2020,"Kensington, New South Wales","University of Science and Technology of China, Eastern China Normal University, Open Instrument, California Technology Centre, First Solar, The University of Alabama, Jinko Solar Holding, Daeyeon C&I Co.",Current
"Vapour Deposited Passivating Contacts for High Efficiency Silicon Solar Cells",https://arena.gov.au/projects/vapour-deposited-passivating-contacts-for-high-efficiency-silicon-solar-cells/,"Solar energy",$404k,$1.2m,"Australian National University","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Australian Capital Territory, Canberra","Swiss Center for Electronics and Microtechnology (CSEM)",Current
"Substitution of Niche-Market PV Production Tools with Cost-Effective Consumer-Electronics",https://arena.gov.au/projects/substitution-of-niche-market-pv-production-tools-with-cost-effective-consumer-electronics/,"Solar energy",$420k,$1.62m,"Macquarie University","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Macquarie Park, New South Wales","University of New South Wales, Soleritas, Hanwha Q Cells GmbH ",Current
"Multifunctional Dielectric Layers Enabling Production of High-Efficiency Solar Cells",https://arena.gov.au/projects/multifunctional-dielectric-layers-enabling-production-of-high-efficiency-solar-cells/,"Solar energy",$455k,$1.28m,"The Australian National University","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Australian Capital Territory, Canberra","Eindhoven University of Technology (Netherlands), SunPower Corporation (USA)",Current
"Monolithic Si/Perovskite Tandem Solar Cell: Towards High-Efficiency at Low-Cost",https://arena.gov.au/projects/monolithic-si-perovskite-tandem-solar-cell-towards-high-efficiency-at-low-cost/,"Solar energy",$1.13m,$4.11m,"The Australian National University","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Australian Capital Territory, Canberra","University of Melbourne, Risen Energy, King Abdullah University of Science and Technology, Swiss Federal Institute of Technology Lausanne",Current
"Heterocontact-Polysilicon Hybrid Interdigitated Back Contact Solar Cells",https://arena.gov.au/projects/heterocontact-polysilicon-hybrid-interdigitated-back-contact-solar-cells/,"Solar energy",$507k,$1.59m,"The Australian National University","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Australian Capital Territory, Canberra","Jinko Solar",Current
"Reduced Solar Module Temperature",https://arena.gov.au/projects/reduced-solar-module-temperature/,"Solar energy",$1.76m,$5.8m,"University of New South Wales","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"New South Wales, Sydney","5B Australia, YCGC, 3M Electrical Markets Division, Flat Grass Group, Canadian Solar, JA Solar, Jinko Solar, Longi Solar Technology",Current
"Lower Solar PV Cost by a Combination of Luminescence Images and Machine-Learning",https://arena.gov.au/projects/lower-solar-pv-cost-by-a-combination-of-luminescence-images-and-machine-learning/,"Solar energy",$694k,$2.81m,"University of New South Wales","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Kensington, New South Wales","BT Imaging, Jinko Solar",Current
"Stable Perovskite Modules Under Real-World Conditions",https://arena.gov.au/projects/stable-perovskite-modules-under-real-world-conditions/,"Solar energy",$735k,$2.12m,"The Australian National University","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Australian Capital Territory, Canberra","&Eacute;cole Polytechnique F&eacute;d&eacute;rale de Lausanne",Current
"New Materials-Singlet Fission Enhanced Silicon Solar Cells",https://arena.gov.au/projects/new-materials-singlet-fission-enhanced-silicon-solar-cells/,"Solar energy",$1.29m,$2.92m,"The University of Melbourne","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Parkville, Victoria","The University of Queensland, The Australian National University",Current
"Tesla Virtual Power Plant",https://arena.gov.au/projects/tesla-virtual-power-plant/,"Battery storage",$8.2m,$64.17m,"Tesla Motors Australia","Advancing Renewables Program",25/08/2020,"South Australia","Energy Locals, SA Power Networks, Clean Energy Finance Corporation (CEFC), Government of South Australia, South Australian Housing Trust",Current
"Project EDGE (Energy Demand and Generation Exchange)",https://arena.gov.au/projects/project-edge-energy-demand-and-generation-exchange/,"System security and reliability",$12.92m,$28.03m,"Australian Energy Market Operator Limited (AEMO)","Advancing Renewables Program",03/08/2020,"Melbourne, Victoria","Ausnet Electricity Services, Mondo Power, University of Melbourne",Current
"Origin Energy Electric Vehicles Smart Charging Trial",https://arena.gov.au/projects/origin-energy-electric-vehicles-smart-charging-trial/,"Electric vehicles",$838k,$2.92m,"Origin Energy Ltd","Advancing Renewables Program",28/07/2020,"Australian Capital Territory, New South Wales, Queensland, South Australia, Victoria","United Energy Distribution Pty Limited, Ausgrid Operator Partnership, Nissan Motor Co. (Australia) Pty. Ltd,  Hyundai Motor Company Australia Pty Limited, Custom Service Leasing Pty Ltd, Schneider Electric (Australia) Pty Limited, GreenFlux Assets B.V",Current
"SA Power Networks Flexible Exports for Solar PV Trial",https://arena.gov.au/projects/sa-power-networks-flexible-exports-for-solar-pv-trial/,"Solar energy",$2.08m,$4.84m,"SA Power Networks","Advancing Renewables Program",01/07/2020,"Richmond, South Australia","AusNet Services, SwitchDin, Fronius, SMA, SolarEdge",Past
"Jemena Dynamic Electric Vehicle Charging Trial",https://arena.gov.au/projects/jemena-dynamic-electric-vehicle-charging-trial/,"Electric vehicles",$1.55m,$3.38m,"Jemena Electricity Networks","Advancing Renewables Program",01/07/2020,"Australian Capital Territory, Tasmania, Victoria","AusNet Services, Evoenergy, Jet Charge, Tasmanian Networks (TasNetworks), United Energy",Current
"Stability Enhancing Measures for Weak Grids Study",https://arena.gov.au/projects/stability-enhancing-measures-for-weak-grids/,"System security and reliability",$559k,$1.36m,"Monash University","Advancing Renewables Program",18/06/2020,"Clayton, Victoria","AusNet Services, AEMO, ABB Australia",Current
"Central West NSW Energy Zone Detailed Scoping Study",https://arena.gov.au/projects/central-west-nsw-energy-zone-detailed-scoping-study/,"System security and reliability",$5m,$16.22m,TransGrid,"Advancing Renewables Program",01/06/2020,"Central-West Orana, New South Wales","NSW Department of Planning, Industry and Environment",Current
"Realising Electric Vehicle-to-Grid Services",https://arena.gov.au/projects/realising-electric-vehicle-to-grid-services/,"Electric vehicles",$2.73m,$6.59m,"Icon Retail Investments LimitedAGL ACT Retail Investments (trading as ActewAGL Retail)","Advancing Renewables Program",01/06/2020,"Australian Capital Territory, Civic","Australian National University, The ACT Government, SG Fleet Australia, JET Charge, Nissan Motor Co. (Australia), Icon Distribution Investments Limited, Jemena Networks (ACT) (as Evoenergy)",Current
"Project GERI Feasibility Study",https://arena.gov.au/projects/project-geri-feasibility-study/,"Hydrogen energy",$1.58m,$4.29m,"BP Australia Pty Ltd","Advancing Renewables Program",15/04/2020,"Geraldton, Western Australia","GHD Group Limited",Past
"Gridded Renewables Nowcasting Demonstration over South Australia",https://arena.gov.au/projects/gridded-renewables-nowcasting-demonstration-over-south-australia/,"System security and reliability",$994k,$2.91m,"Solar and Storage Modelling Pty Ltd","Advancing Renewables Program",30/03/2020,"South Australia","AEMO, The Weather Company Pty Limited, Energy Australia Pty Ltd, SA Power Networks and TESLA Asia Pacific Ltd",Current
"Impact and Management of Harmonic Distortion for Large Renewable Generators",https://arena.gov.au/projects/impact-and-management-of-harmonic-distortion-for-large-renewable-generators/,"System security and reliability",$146k,$304k,"The University of Wollongong","Advancing Renewables Program",30/03/2020,"New South Wales, Wollongong","Edify Energy, ElectraNet, Essential Energy, Neoen Australia, RES Australia, Endeavour Energy, Transgrid, Vestas",Current
"Energy from Waste Through Pyrolysis",https://arena.gov.au/projects/energy-from-waste-through-pyrolysis/,"Bioenergy / Energy from waste",$4.3m,$9.8m,Renergi,"Advancing Renewables Program",30/03/2020,"Western Australia","Shire of Collie, South West Development Commission",Current
"Horizon Power Denham Hydrogen Demonstration",https://arena.gov.au/projects/horizon-power-denham-hydrogen-demonstration/,"Hydrogen energy",$2.57m,$8.9m,"Horizon Power","Advancing Renewables Program",25/03/2020,"Denham, Western Australia",None,Current
"SunDrive Copper Metallisation Demonstration",https://arena.gov.au/projects/sundrive-copper-metallisation-demonstration/,"Solar energy",$3m,$9m,"SunDrive Solar Pty Ltd (SunDrive)","Advancing Renewables Program",23/03/2020,"New South Wales, Wollongong",None,Current
"APA Renewable Methane Demonstration Project",https://arena.gov.au/projects/apa-renewable-methane-demonstration-project/,"Hydrogen energy",$1.1m,$2.26m,"APT Facility Management Pty Ltd","Advancing Renewables Program",20/03/2020,"Queensland, Roma","Southern Green Gas Pty Limited",Current
"The Hazer Process: Commercial Demonstration Plant",https://arena.gov.au/projects/the-hazer-process-commercial-demonstration-plant/,"Hydrogen energy",$9.41m,$22.57m,"Hazer Group","Advancing Renewables Program",13/03/2020,"Munster, Western Australia",None,Current
"Stanwell Hydrogen Electrolysis Deployment Feasibility Study",https://arena.gov.au/projects/stanwell-hydrogen-electrolysis-deployment-feasibility-study/,"Hydrogen energy",$913k,$3.65m,"Stanwell Corporation Limited","Advancing Renewables Program",13/03/2020,"Queensland, Rockhampton","Advisian, Deloitte Financial Advisory",Past
"Industry ETI Establishment Phase",https://arena.gov.au/projects/industry-eti-establishment-phase/,"Renewables for industry",$300k,$794k,"Monash University (ClimateWorks Australia)","Advancing Renewables Program",06/03/2020,"Melbourne, Victoria","Climate-KIC Australia Ltd, Rocky Mountain Institute, CSIRO Energy Transitions Commission",Past
"Renewable Energy for Process Heat Opportunity Study",https://arena.gov.au/projects/renewable-energy-for-process-heat-opportunity-study/,"Bioenergy / Energy from waste",$473k,$949k,"Australian Alliance for Energy Productivity Limited and Climate-KIC Australia Limited","Advancing Renewables Program",09/02/2020,"New South Wales, South Australia, Tasmania, Victoria","Sustainability Victoria, Office of Environment and Heritage NSW",Current
"Yara Pilbara Renewable Ammonia Feasibility Study",https://arena.gov.au/projects/yara-pilbara-renewable-ammonia-feasibility-study/,"Hydrogen energy",$944k,$3.64m,"Yara Pilbara Fertilisers Pty Ltd","Advancing Renewables Program",24/01/2020,"Murujuga, Western Australia","Engie Services Australia Pty Limited",Current
"TransGrid New England Renewable Energy Zone",https://arena.gov.au/projects/transgrid-new-england-renewable-energy-zone/,"Solar energy",$995k,$3.44m,"TransGrid Services Pty Limited (TGS)","Advancing Renewables Program",17/01/2020,"New England, New South Wales",None,Current
"Renewable Energy Hub Marketplace",https://arena.gov.au/projects/renewable-energy-hub-marketplace/,"Renewables for industry",$845k,$1.72m,"Renewable Energy Hub","Advancing Renewables Program",16/01/2020,"Melbourne, Victoria","Marchment Hill Consulting Pty Ltd",Past
"Short Term Off-River Energy Storage Stage 2 (STORES 2)",https://arena.gov.au/projects/short-term-off-river-energy-storage-stage-2-stores-2/,"Hydropower / Pumped Hydro Energy Storage",$308k,$840k,"The Australian National University","Advancing Renewables Program",14/01/2020,"Australian Capital Territory",None,Current
"Renewable Energy for Process Heat Opportunity Study Phase 2",https://arena.gov.au/projects/renewable-energy-for-process-heat-opportunity-study-phase-2/,"Renewables for industry",$482k,$879k,"Australian Alliance for Energy Productivity Limited ","Advancing Renewables Program",01/01/2020,"New South Wales","Climate-KIC Australia Limited, Sustainability Victoria, Department of Planning, Industry and Environment (NSW)",Past
"Solar Power Plant Phase 1",https://arena.gov.au/projects/solar-power-plant-phase-1/,"Concentrated solar thermal",$3m,$6m,"Raygen Resources Pty Ltd","Advancing Renewables Program",01/01/2020,"Blackburn, Victoria","GHD Pty Ltd, AGL Energy Services Pty Ltd",Past
"Alice Springs Future Grid Project",https://arena.gov.au/projects/alice-springs-future-grid-project/,"Solar energy",$2.17m,$9.15m,"Desert Knowledge Research Institute","Advancing Renewables Program",01/01/2020,"Alice Springs, Northern Territory","Desert Knowledge Australia, Power and Water Corporation, Ekistica Pty Ltd, Power Generation Corporation t/a Territory Generation, CSIRO, Arid Lands Environment Centre Inc, Power Retail Corporation t/a Jacana Energy",Current
"Australian Hydrogen Centre",https://arena.gov.au/projects/australian-hydrogen-centre/,"Hydrogen energy",$1.28m,$4.15m,"Australian Gas Networks Limited","Advancing Renewables Program",23/12/2019,"South Australia, Victoria","Department for Energy and Mining, Department of Environment, Land, Water and Planning, AusNet Services, Engie Energy Services, Neoen Australia",Current
"Energy Freedom Solar Electric Vehicle Pilot",https://arena.gov.au/projects/energy-freedom-solar-electric-vehicle-pilot/,"Electric vehicles",$2m,$7.65m,"Applied Electric Vehicles (AEV)","Advancing Renewables Program",20/12/2019,"Bayswater North, Victoria",None,Past
"Allume Rooftop Solar Salvation Army Pilot Demonstration",https://arena.gov.au/projects/allume-rooftop-solar-salvation-army-pilot-demonstration/,"Solar energy",$220k,$1.03m,"Allume Energy Pty Ltd","Advancing Renewables Program",20/12/2019,Tasmania,"Green Peak Energy Pty Ltd, I Want Energy Pty Ltd, Improv Pty Ltd",Past
"Advancing Renewables in the Manufacturing Sector",https://arena.gov.au/projects/advancing-renewables-in-the-manufacturing-sector/,"Renewables for industry",$250k,$600k,"Shell Energy","Advancing Renewables Program",20/12/2019,"Brisbane, Queensland","Queensland Department of State Development, Manufacturing, Infrastructure and Planning The Australian Industry Group",Current
"Hornsdale Power Reserve Upgrade",https://arena.gov.au/projects/hornsdale-power-reserve-upgrade/,"Battery storage",$8m,$71m,"Neoen Australia","Advancing Renewables Program",19/12/2019,"Hornsdale, South Australia",Tesla,Current
"Net Zero Energy Demand Homes",https://arena.gov.au/projects/net-zero-energy-demand-homes/,"Solar energy",$708k,$1.41m,"Frasers Property Australia","Advancing Renewables Program",18/12/2019,"Liverpool, New South Wales",None,Current
