"APP ID"	"Date Announced"	"CIA_NAME"	"GRANT_TYPE"	"SUB_TYPE"	"SIMPLIFIED TITLE"	"ADMIN_ INSTITUTION"	"STATE"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"TOTAL"	"BROAD_RESEARCH_AREA"	"FOR_ CATEGORY"	"FIELD_OF_  RESEARCH"	"RESEARCH_KW_1"	"RESEARCH_KW_2"	"RESEARCH_KW_3"	"RESEARCH_KW_4"	"RESEARCH_KW_5"	"Sector"
"1077867"	2014-08-29	"Prof Ricky Johnstone"	"NHMRC Research Fellowships"	"Research Fellowship"	"Cancer Genetics, epigenetics and targeted therapies"	"University of Melbourne"	"VIC"	NA	167383	167383	167383	167383	167383	NA	836915	"Basic Science"	"ONCOLOGY AND CARCINOGENESIS"	"Cancer Therapy (excl. Chemotherapy and Radiation Therapy)"	"cancer biology"	"cancer chemotherapeutic agents"	"epigenetics"	"targeted therapy"	"cancer genetics"	"University"
"1077934"	2014-08-29	"Prof Lynne Bilston"	"NHMRC Research Fellowships"	"Research Fellowship"	"Using biomechanics to prevent injury and treat soft tissue disorders"	"University of New South Wales"	"NSW"	NA	135162	135162	135162	135162	135162	NA	675810	"Public Health"	"BIOMEDICAL ENGINEERING"	"Biomechanical Engineering"	"injury prevention"	"biomechanics"	"imaging"	"sleep disordered breathing"	"cerebrospinal fluid"	"University"
"1077966"	2014-08-29	"Prof Andrew Whitehouse"	"NHMRC Research Fellowships"	"Research Fellowship"	"Investigating Autism Spectrum Disorder: Causes and efficacious interventions"	"University of Western Australia"	"WA"	NA	135162	135162	135162	135162	135162	NA	675810	"Clinical Medicine and Science"	"PAEDIATRICS AND REPRODUCTIVE MEDICINE"	"Paediatrics"	"autism spectrum disorders"	"child development"	"child health"	"population health"	"randomised controlled trial (RCT)"	"University"
"1078029"	2014-08-29	"Prof Michael Good"	"NHMRC Research Fellowships"	"Research Fellowship"	"Translating novel vaccine strategies to early phase clinical trials"	"Griffith University"	"QLD"	NA	182383	182383	182383	182383	182383	NA	911915	"Clinical Medicine and Science"	"MEDICAL MICROBIOLOGY"	"Medical Parasitology"	"vaccine technology"	"vaccination immunology"	"rheumatic fever"	"malaria vaccine"	"Aboriginal health"	"University"
"1078037"	2014-08-29	"Prof Peter Visscher"	"NHMRC Research Fellowships"	"Research Fellowship"	"Neurogenetics and Statistical Genomics"	"University of Queensland"	"QLD"	NA	177383	177383	177383	177383	177383	NA	886915	"Basic Science"	"GENETICS"	"Quantitative Genetics (incl. Disease and Trait Mapping Genetics)"	"genetic analysis"	"genetic risk factors"	"genetic epidemiology"	"genomics"	"genetic predisposition"	"University"
"1078061"	2014-08-29	"Prof Simon Gandevia"	"NHMRC Research Fellowships"	"Research Fellowship"	"Human Movement Control: Basic And Applied Neurophysiology"	"University of New South Wales"	"NSW"	NA	182383	182383	182383	182383	182383	NA	911915	"Clinical Medicine and Science"	"NEUROSCIENCES"	"Neurosciences not elsewhere classified"	"neurophysiology"	"sensorimotor control"	"proprioception"	"muscle fatigue"	"breathing"	"University"
"1078164"	2014-08-29	"A/Pr Karen Moritz"	"NHMRC Research Fellowships"	"Research Fellowship"	"Developmental programming: mechanisms and interventions"	"University of Queensland"	"QLD"	NA	135162	135162	135162	135162	135162	NA	675810	"Basic Science"	"PAEDIATRICS AND REPRODUCTIVE MEDICINE"	"Foetal Development and Medicine"	"fetal programming"	"fetal alcohol syndrome"	"abnormal development"	"placenta"	"kidney development"	"University"
"1078168"	2014-08-29	"A/Pr Stuart Kinner"	"NHMRC Research Fellowships"	"Research Fellowship"	"Monitoring and improving the health of justice-involved populations: A public health priority"	"University of Melbourne"	"VIC"	NA	137329	137329	137329	137329	137329	NA	686645	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Public Health and Health Services not elsewhere classified"	"prison population"	"mental health"	"drug use"	"health service utilisation"	"longitudinal cohort study"	"University"
"1078186"	2014-08-29	"Dr Marc Pellegrini"	"NHMRC Research Fellowships"	"Research Fellowship"	"Targeting host pathogen interactions and signalling networks to promote death of infected cells and facilitate pathogen clearance"	"Walter and Eliza Hall Institute"	"VIC"	NA	122329	122329	122329	122329	122329	NA	611645	"Clinical Medicine and Science"	"MEDICAL MICROBIOLOGY"	"Medical Infection Agents (incl. Prions)"	"tuberculosis"	"human immunodeficiency virus (HIV)"	"hepatitis B infection"	"cell death"	"apoptosis"	"MRI"
"1078220"	2014-08-29	"A/Pr Kieran Harvey"	"NHMRC Research Fellowships"	"Research Fellowship"	"Control of organ size and cancer by the Hippo pathway"	"University of Melbourne"	"VIC"	NA	122329	122329	122329	122329	122329	NA	611645	"Basic Science"	"BIOCHEMISTRY AND CELL BIOLOGY"	"Signal Transduction"	"organ growth and development"	"signalling pathways"	"cancer biology"	"developmental biology"	"transcriptional regulation"	"University"
"1078243"	2014-08-29	"Prof Jonathan Sprent"	"NHMRC Research Fellowships"	"Research Fellowship"	"T cell survival and function"	"Garvan Institute of Medical Research"	"NSW"	NA	167383	167383	167383	167383	167383	NA	836915	"Basic Science"	"IMMUNOLOGY"	"Cellular Immunology"	"T cells"	"immunology"	"cytokines"	"thymus"	"CD8 T cells"	"MRI"
"1078360"	2014-08-29	"A/Pr David Dunstan"	"NHMRC Research Fellowships"	"Research Fellowship"	"Unlocking the health effects of sitting to reduce chronic disease"	"Baker IDI Heart and Diabetes Institute"	"VIC"	NA	122329	122329	122329	122329	122329	NA	611645	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Preventive Medicine"	"sedentary behaviour"	"preventive health"	"population health"	"mechanisms"	"intervention study"	"MRI"
"1078399"	2014-08-29	"Prof Grant Montgomery"	"NHMRC Research Fellowships"	"Research Fellowship"	"Translating gene discovery for key diseases into clinical outcomes"	"Queensland Institute of Medical Research"	"QLD"	NA	147996	147996	147996	147996	147996	NA	739980	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Epidemiology"	"endometriosis"	"inflammatory bowel disease (IBD)"	"risk factors"	"genetic epidemiology"	"treatment outcomes"	"MRI"
"1078407"	2014-08-29	"Prof Maree Teesson"	"NHMRC Research Fellowships"	"Research Fellowship"	"Innovative responses to prevention and treatment of mental disorders and substance use."	"University of New South Wales"	"NSW"	NA	147996	147996	147996	147996	147996	NA	739980	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Mental Health"	"addiction"	"mental health"	"prevention"	"treatment"	"psychiatry"	"University"
"1078477"	2014-08-29	"A/Pr Louise Maple-Brown"	"NHMRC Research Fellowships"	"Practitioner Fellowship"	"Improving outcomes of diabetes and related conditions for Indigenous Australians: causes, intervention, system change"	"Menzies School of Health Research"	"NT"	NA	52536	52536	52536	52536	52536	NA	262678	"Clinical Medicine and Science"	"CLINICAL SCIENCES"	"Endocrinology"	"diabetes mellitus"	"diabetic complications"	"clinical research"	"indigenous Australians"	"pregnancy"	"MRI"
"1078483"	2014-08-29	"A/Pr Jane Pillow"	"NHMRC Research Fellowships"	"Practitioner Fellowship"	"Improving respiratory outcomes and associated long term morbidities in preterm infants"	"University of Western Australia"	"WA"	NA	91937	91937	91937	91937	91937	NA	459687	"Clinical Medicine and Science"	"PAEDIATRICS AND REPRODUCTIVE MEDICINE"	"Paediatrics"	"mechanical ventilation"	"bronchopulmonary dysplasia"	"steroids"	"neurodevelopmental disorders"	"prematurity"	"University"
"1078494"	2014-08-29	"A/Pr David Booth"	"NHMRC Research Fellowships"	"Research Fellowship"	"Translation of genetic, genomic and transcriptomic discoveries into clinical practice"	"University of Sydney"	"NSW"	NA	122329	122329	122329	122329	122329	NA	611645	"Clinical Medicine and Science"	"GENETICS"	"Genetic Immunology"	"genomics"	"genetics"	"gene expression"	"biomarkers"	"immunology"	"University"
"1078523"	2014-08-29	"A/Pr Bettina Meiser"	"NHMRC Research Fellowships"	"Research Fellowship"	"Psychosocial impact of genetic counselling and testing"	"University of New South Wales"	"NSW"	NA	150162	150162	150162	150162	150162	NA	750810	"Public Health"	"GENETICS"	"Genetics not elsewhere classified"	"psychology"	"public health"	"genetics"	"hereditary cancer"	"health psychology"	"University"
"1078541"	2014-08-29	"A/Pr Carl Kirkwood"	"NHMRC Research Fellowships"	"Research Fellowship"	"Exploration of the role of microbes in gastrointestinal diseases"	"Murdoch Childrens Research Institute"	"VIC"	NA	135162	135162	135162	135162	135162	NA	675810	"Clinical Medicine and Science"	"MEDICAL MICROBIOLOGY"	"Medical Virology"	"gastrointestinal infections"	"rotavirus"	"microbiology"	"Crohn's disease"	"disease aetiology"	"MRI"
"1078567"	2014-08-29	"Prof Paul Fitzgerald"	"NHMRC Research Fellowships"	"Practitioner Fellowship"	"Advancing novel brain stimulation treatment for severe depression"	"Monash University"	"VIC"	NA	110287	110287	110287	110287	110287	NA	551436	"Clinical Medicine and Science"	"CLINICAL SCIENCES"	"Psychiatry (incl. Psychotherapy)"	"transcranial magnetic stimulation (TMS)"	"depression"	"major depressive disorder"	"treatment-resistant"	"clinical trial"	"University"
"1078671"	2014-08-29	"Prof Mark Smyth"	"NHMRC Research Fellowships"	"Research Fellowship"	"Returning Applicant to SPRF"	"Queensland Institute of Medical Research"	"QLD"	NA	182383	182383	182383	182383	182383	NA	911915	"Basic Science"	"IMMUNOLOGY"	"Tumour Immunology"	"cancer immunology"	"cancer immunotherapy"	"cancer metastasis"	"immune surveillance"	"immune function"	"MRI"
"1078730"	2014-08-29	"Prof Geoffrey Lindeman"	"NHMRC Research Fellowships"	"Research Fellowship"	"Research Fellowship"	"Walter and Eliza Hall Institute"	"VIC"	NA	182383	182383	182383	182383	182383	NA	911915	"Clinical Medicine and Science"	"ONCOLOGY AND CARCINOGENESIS"	"Cancer Cell Biology"	"breast cancer"	"stem cell biology"	"hereditary breast cancer"	"translational research"	"mammary gland cancer"	"MRI"
"1078737"	2014-08-29	"Prof Nic Nicola"	"NHMRC Research Fellowships"	"Research Fellowship"	"Cytokine signalling and the regulation of normal and leukaemic blood cells"	"Walter and Eliza Hall Institute"	"VIC"	NA	182383	182383	182383	182383	182383	NA	911915	"Basic Science"	"IMMUNOLOGY"	"Immunology not elsewhere classified"	"cytokine signalling"	"cytokine biology"	"inflammation"	"leukaemia"	"JAK/STAT pathway"	"MRI"
"1078752"	2014-08-29	"Prof Bruce Kemp"	"NHMRC Research Fellowships"	"Research Fellowship"	"Regulating Metabolism: AMPK"	"St Vincent's Institute of Medical Research"	"VIC"	NA	167383	167383	167383	167383	167383	NA	836915	"Basic Science"	"BIOCHEMISTRY AND CELL BIOLOGY"	"Cell Metabolism"	"AMP-activated protein kinase"	"phosphorylation"	"calcium signalling"	"drug development"	"lipid metabolism"	"MRI"
"1078808"	2014-08-29	"Prof Mark Cooper"	"NHMRC Research Fellowships"	"Research Fellowship"	"New targets for diabetic complications"	"Baker IDI Heart and Diabetes Institute"	"VIC"	NA	182383	182383	182383	182383	182383	NA	911915	"Clinical Medicine and Science"	"OTHER MEDICAL AND HEALTH SCIENCES"	"Medical and Health Sciences not elsewhere classified"	"diabetes"	"diabetic nephropathy"	"diabetic vascular complications"	"diabetic complications"	"diabetic angiopathy"	"MRI"
"1078901"	2014-08-29	"Prof Naomi Wray"	"NHMRC Research Fellowships"	"Research Fellowship"	"Using genomics to understand psychiatric disorders"	"University of Queensland"	"QLD"	NA	147996	147996	147996	147996	147996	NA	739980	"Basic Science"	"GENETICS"	"Quantitative Genetics (incl. Disease and Trait Mapping Genetics)"	"genetics"	"statistics"	"psychiatric disorders"	"neurological disorders"	"genomics"	"University"
"1078980"	2014-08-29	"Prof Jodie Dodd"	"NHMRC Research Fellowships"	"Practitioner Fellowship"	"Early life approaches to obesity prevention – the role of the in-utero environment"	"University of Adelaide"	"SA"	NA	110287	110287	110287	110287	110287	NA	551436	"Clinical Medicine and Science"	"PAEDIATRICS AND REPRODUCTIVE MEDICINE"	"Obstetrics and Gynaecology"	"obesity"	"nutrition"	"maternal health"	"infant health"	"clinical trial"	"University"
"1078985"	2014-08-29	"A/Pr Julie McMullen"	"NHMRC Research Fellowships"	"Research Fellowship"	"Identifying and developing novel therapeutic approaches for heart disease"	"Baker IDI Heart and Diabetes Institute"	"VIC"	NA	122329	122329	122329	122329	122329	NA	611645	"Basic Science"	"CARDIOVASCULAR MEDICINE AND HAEMATOLOGY"	"Cardiology (incl. Cardiovascular Diseases)"	"cardiac hypertrophy"	"cardiac function"	"mouse models"	"heart disease"	"signalling pathways"	"MRI"
"1079004"	2014-08-29	"Prof Edouard Stanley"	"NHMRC Research Fellowships"	"Research Fellowship"	"Fellowship Application, Ed Stanley: Pluripotent Stem Cells & Medical Research"	"Murdoch Childrens Research Institute"	"VIC"	NA	122329	122329	122329	122329	122329	NA	611645	"Basic Science"	"MEDICAL BIOTECHNOLOGY"	"Regenerative Medicine (incl. Stem Cells and Tissue Engineering)"	"stem cells"	"differentiation"	"gene targeting"	"disease modelling"	"regenerative medicine"	"MRI"
"1079133"	2014-08-29	"Dr Patrick Humbert"	"NHMRC Research Fellowships"	"Research Fellowship"	"Disorderly conduct and disturbing the peace: how loss of cell polarity and tissue architecture drives cancer progression"	"University of Melbourne"	"VIC"	NA	122329	122329	122329	122329	122329	NA	611645	"Basic Science"	"BIOCHEMISTRY AND CELL BIOLOGY"	"Cellular Interactions (incl. Adhesion, Matrix, Cell Wall)"	"cell polarity"	"cancer biology"	"mouse models"	"therapeutic target"	"signalling pathways"	"University"
"1079136"	2014-08-29	"Prof Philip Hodgkin"	"NHMRC Research Fellowships"	"Research Fellowship"	"Research Fellowship"	"Walter and Eliza Hall Institute"	"VIC"	NA	167383	167383	167383	167383	167383	NA	836915	"Basic Science"	"IMMUNOLOGY"	"Cellular Immunology"	"adaptive immunity"	"lymphocyte differentiation"	"B cells"	"mathematical modelling"	"lymphoma"	"MRI"
"1079187"	2014-08-29	"Prof Philip Hansbro"	"NHMRC Research Fellowships"	"Research Fellowship"	"Development of new therapies for respiratory diseases and infection"	"University of Newcastle"	"NSW"	NA	162996	162996	162996	162996	162996	NA	814980	"Basic Science"	"CARDIOVASCULAR MEDICINE AND HAEMATOLOGY"	"Respiratory Diseases"	"chronic obstructive pulmonary disease (COPD)"	"asthma"	"bacterial infection"	"viral infection"	"lung cancer"	"University"
"1079238"	2014-08-29	"Prof Ranjeny Thomas"	"NHMRC Research Fellowships"	"Research Fellowship"	"Understanding the basis of autoimmunity in rheumatoid arthritis and type 1 diabetes to underpin the implementation of antigen-specific therapies"	"University of Queensland"	"QLD"	NA	162996	162996	162996	162996	162996	NA	814980	"Clinical Medicine and Science"	"CLINICAL SCIENCES"	"Rheumatology and Arthritis"	"rheumatoid arthritis"	"biomarkers"	"type 1 diabetes mellitus (insulin-dependent diabetes mellitus)"	"autoimmunity"	"pathogenic mechanisms"	"University"
"1079257"	2014-08-29	"A/Pr Matthias Ernst"	"NHMRC Research Fellowships"	"Research Fellowship"	"Targeting the interface between tumours and their microenvironment for the treatment of gastrointestinal cancers"	"Walter and Eliza Hall Institute"	"VIC"	NA	147996	147996	147996	147996	147996	NA	739980	"Basic Science"	"BIOCHEMISTRY AND CELL BIOLOGY"	"Signal Transduction"	"gastrointestinal tumourigenesis"	"signalling pathways"	"mouse models"	"therapeutic target"	"inflammatory cytokines"	"MRI"
"1079267"	2014-08-29	"Prof Catherine Sherrington"	"NHMRC Research Fellowships"	"Research Fellowship"	"Physical activity interventions to enhance mobility and prevent falls."	"University of Sydney"	"NSW"	NA	137329	137329	137329	137329	137329	NA	686645	"Clinical Medicine and Science"	"CLINICAL SCIENCES"	"Geriatrics and Gerontology"	"rehabilitation"	"exercise therapy"	"accidental falls"	"disability"	"aged health"	"University"
"1079301"	2014-08-29	"Prof Anushka Patel"	"NHMRC Research Fellowships"	"Research Fellowship"	"Addressing evidence-practice gaps in chronic disease prevention and control"	"University of Sydney"	"NSW"	NA	137329	137329	137329	137329	137329	NA	686645	"Health Services"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Preventive Medicine"	"chronic diseases"	"prevention"	"health services"	"primary care"	"access to health care"	"University"
"1079329"	2014-08-29	"Prof Stephen Fox"	"NHMRC Research Fellowships"	"Practitioner Fellowship"	"Translating molecular pathology into cancer diagnostics"	"University of Melbourne"	"VIC"	NA	91937	91937	91937	91937	91937	NA	459687	"Clinical Medicine and Science"	"CLINICAL SCIENCES"	"Pathology"	"breast cancer"	"biomarkers"	"angiogenesis"	"targeted therapy"	"molecular pathology"	"University"
"1079352"	2014-08-29	"Prof John Dixon"	"NHMRC Research Fellowships"	"Research Fellowship"	"Clinically severe obesity: A better understanding of a complex condition, improving health outcomes through effective therapies, and delivering a comprehensive clinical pathway."	"Baker IDI Heart and Diabetes Institute"	"VIC"	NA	135162	135162	135162	135162	135162	NA	675810	"Clinical Medicine and Science"	"CLINICAL SCIENCES"	"Endocrinology"	"obesity"	"comorbidity"	"chronic illness management"	"cardiovascular risk factors"	"clinical practice"	"MRI"
"1079388"	2014-08-29	"Prof Rachelle Buchbinder"	"NHMRC Research Fellowships"	"Practitioner Fellowship"	"Improving translation of evidence into practice for musculoskeletal conditions"	"Monash University"	"VIC"	NA	110287	110287	110287	110287	110287	NA	551436	"Clinical Medicine and Science"	"CLINICAL SCIENCES"	"Rheumatology and Arthritis"	"musculoskeletal disorders"	"translational research"	"clinical trial"	"priority setting"	"evidence-based clinical practice"	"University"
"1079400"	2014-08-29	"Prof Shaun Jackson"	"NHMRC Research Fellowships"	"Research Fellowship"	"Investigating a potential new treatment for stroke"	"University of Sydney"	"NSW"	NA	167383	167383	167383	167383	167383	NA	836915	"Basic Science"	"CARDIOVASCULAR MEDICINE AND HAEMATOLOGY"	"Haematology"	"platelet function"	"thrombosis"	"stroke outcome"	"platelet adhesion"	"phosphoinositide 3-kinase"	"University"
"1079422"	2014-08-29	"Prof Michael Cowley"	"NHMRC Research Fellowships"	"Research Fellowship"	"Diabetes target discovery and drug development in mice and primates"	"Monash University"	"VIC"	NA	135162	135162	135162	135162	135162	NA	675810	"Basic Science"	"NEUROSCIENCES"	"Autonomic Nervous System"	"diabetes"	"pro-opiomelanocortin (POMC)"	"leptin"	"physiology"	"sympathetic nervous system"	"University"
"1079438"	2014-08-29	"A/Pr Jonathan Shaw"	"NHMRC Research Fellowships"	"Research Fellowship"	"Diabetes and obesity: from benchtop to public health"	"Baker IDI Heart and Diabetes Institute"	"VIC"	NA	135162	135162	135162	135162	135162	NA	675810	"Clinical Medicine and Science"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Epidemiology"	"diabetes"	"obesity"	"insulin"	"preventive health"	"epidemiological research methods"	"MRI"
"1079467"	2014-08-29	"A/Pr Christopher Sobey"	"NHMRC Research Fellowships"	"Research Fellowship"	"Finding Effective Treatments For Stroke"	"Monash University"	"VIC"	NA	122329	122329	122329	122329	122329	NA	611645	"Basic Science"	"PHARMACOLOGY AND PHARMACEUTICAL SCIENCES"	"Basic Pharmacology"	"stroke"	"pharmacology"	"vascular disease"	"cerebral ischaemia"	"hypertension"	"University"
"1079478"	2014-08-29	"Prof Vicki Anderson"	"NHMRC Research Fellowships"	"Practitioner Fellowship"	"Advancing the evidence-base for childhood brain insult: diagnosis, assessment and intervention"	"Murdoch Childrens Research Institute"	"VIC"	NA	110287	110287	110287	110287	110287	NA	551436	"Clinical Medicine and Science"	"NEUROSCIENCES"	"Central Nervous System"	"child behaviour"	"developmental outcomes"	"brain function"	"outcomes research"	"psychosocial"	"MRI"
"1079492"	2014-08-29	"Prof Karlheinz Peter"	"NHMRC Research Fellowships"	"Research Fellowship"	"Defining targets and establishing methods for prevention, diagnosis and therapy of inflammation, atherosclerosis and thrombosis"	"Baker IDI Heart and Diabetes Institute"	"VIC"	NA	162996	162996	162996	162996	162996	NA	814980	"Clinical Medicine and Science"	"CARDIOVASCULAR MEDICINE AND HAEMATOLOGY"	"Cardiology (incl. Cardiovascular Diseases)"	"myocardial infarction"	"atherosclerosis"	"thrombosis"	"molecular imaging"	"inflammation"	"MRI"
"1079561"	2014-08-29	"Prof Bernard Balleine"	"NHMRC Research Fellowships"	"Research Fellowship"	"Translational studies in decision-making"	"University of Sydney"	"NSW"	NA	167383	167383	167383	167383	167383	NA	836915	"Basic Science"	"NEUROSCIENCES"	"Central Nervous System"	"decision making"	"cognition"	"emotion"	"basal ganglia disorders"	"prefrontal cortex"	"University"
"1079611"	2014-08-29	"Prof Matthew Wilce"	"NHMRC Research Fellowships"	"Research Fellowship"	"Protein-RNA interactions in antiviral cellular defence and gene regulation"	"Monash University"	"VIC"	NA	135162	135162	135162	135162	135162	NA	675810	"Basic Science"	"BIOCHEMISTRY AND CELL BIOLOGY"	"Structural Biology (incl. Macromolecular Modelling)"	"RNA"	"messenger RNA (mRNA)"	"innate immunity"	"gene regulation"	"molecular virology"	"University"
"1079621"	2014-08-29	"Prof Philip Clarke"	"NHMRC Research Fellowships"	"Research Fellowship"	"Economic evaluation of policies to manage and prevent cardiovascular disease & diabetes in Australia"	"University of Melbourne"	"VIC"	NA	137329	137329	137329	137329	137329	NA	686645	"Health Services"	"APPLIED ECONOMICS"	"Health Economics"	"cardiovascular disease prevention"	"diabetes"	"cost-effectiveness"	"modelling"	"health economics"	"University"
"1079646"	2014-08-29	"Prof Katherine Loveland"	"NHMRC Research Fellowships"	"Research Fellowship"	"Developmental Switches in Spermatogenesis"	"Monash University"	"VIC"	NA	135162	135162	135162	135162	135162	NA	675810	"Basic Science"	"PAEDIATRICS AND REPRODUCTIVE MEDICINE"	"Reproduction"	"spermatogenesis"	"testicular cancer"	"activin"	"cell signalling"	"testis development"	"University"
"1079679"	2014-08-29	"Prof Glenda Halliday"	"NHMRC Research Fellowships"	"Research Fellowship"	"Tackling the complex pathogenesis of non-Alzheimer dementias and motor neurodegenerative disorders"	"University of New South Wales"	"NSW"	NA	182383	182383	182383	182383	182383	NA	911915	"Clinical Medicine and Science"	"NEUROSCIENCES"	"Neurology and Neuromuscular Diseases"	"neurodegenerative disorders"	"frontotemporal dementia"	"movement disorders"	"neuropathology"	"biomarkers"	"University"
"1079700"	2014-08-29	"Dr Peter Czabotar"	"NHMRC Research Fellowships"	"Research Fellowship"	"Structural studies of the molecular machinery regulating cell death"	"Walter and Eliza Hall Institute"	"VIC"	NA	122329	122329	122329	122329	122329	NA	611645	"Basic Science"	"BIOCHEMISTRY AND CELL BIOLOGY"	"Structural Biology (incl. Macromolecular Modelling)"	"structural biology"	"cell death"	"drug discovery"	"cancer biology"	"neurodegenerative disorders"	"MRI"
