"APP ID"	"Date Announced"	"CIA Name"	"Grant Type"	"Sub Type"	"Grant Title"	"Admin Institution"	"State"	"Sector"	"Total"	"Broad Research Area"	"Field of Research"	"Res KW1"	"Res KW2"	"Res KW3"	"Res KW4"	"Res KW5"	"Plain Description"
1170385	2019-07-08	"Prof Robert Sanson-Fisher"	"Targeted Calls for Research"	"Healthy Ageing of Aboriginal and Torres Strait Islander Peoples"	"Improving implementation of Health Assessments for Aboriginal and Torres Strait Islander clients in mainstream general practice: a cluster randomised controlled trial"	"University of Newcastle"	"NSW"	"University"	745056.5	"Health Services Research"	"Aboriginal and Torres Strait Islander Health"	"aboriginal health"	"assessment"	"general practice"	"health screening"	"randomised controlled trial (rct)"	"Annual Health Assessments offer a promising mechanism for improving the health of Indigenous Australians. Despite Commonwealth funds to support this initiative for Indigenous Australians, Health Assessments are under utilised. This study will examine the impact of strategies aimed at supporting the delivery of Health Assessments for Indigenous Australians in general practice."
1170393	2019-07-08	"A/Pr Edward Strivens"	"Targeted Calls for Research"	"Healthy Ageing of Aboriginal and Torres Strait Islander Peoples"	"A Framework for Healthy Ageing in the Torres Strait"	"James Cook University"	"QLD"	"University"	1100540	"Public Health"	"Aboriginal and Torres Strait Islander Health"	"healthy ageing"	"wellbeing"	"indigenous health"	"geriatrics"	"service delivery"	"WHO’s focus on healthy ageing may need some adaptation to be applicable in the Torres Strait. Mainstream tools used to measure aspects of health such as diet and physical exercise are not necessarily effective for this distinct cultural group. Our project aims to investigate what it means to age well for this population and to develop and test tools that can measure aspects of healthy ageing. The final model can be used to develop lifespan interventions to maintain health in later life."
1170403	2019-07-08	"Prof David Currow"	"Targeted Calls for Research"	"Healthy Ageing of Aboriginal and Torres Strait Islander Peoples"	"Exploring healthy ageing amongst Aboriginal Australians through the window of cancer"	"Sax Institute"	"NSW"	"Research Institutes"	1167301.2	"Health Services Research"	"Oncology and Carcinogenesis not elsewhere classified"	"aboriginal health"	"cancer care"	"cancer epidemiology"	"health services research"	"older people"	"This project will expand what is known about Aboriginal people’s understanding of healthy ageing and apply this knowledge through the ‘window’ of cancer to explore how Aboriginal people understand cancer as part of ageing and how programs and services (prevention, diagnosis, treatment and support) might be improved. We will work in partnership with Aboriginal communities in New South Wales to identify and pilot test evidence driven strategies to improve cancer care."
1170422	2019-07-08	"Prof Leon Flicker"	"Targeted Calls for Research"	"Healthy Ageing of Aboriginal and Torres Strait Islander Peoples"	"Defining and predicting Healthy Ageing in Aboriginal and Torres Strait Island Populations (HATS)"	"University of Western Australia"	"WA"	"University"	931119.4	"Clinical Medicine and Science"	"Geriatrics and Gerontology"	"healthy ageing"	"aboriginal health"	"health promotion"	"geriatrics"	"gerontology"	"Aboriginal and Torres Strait Island (ATSI) populations are ageing. We do not know what is healthy ageing for ATSI people, nor the lifestyle and health factors that help older people achieve healthy ageing. We will address this problem by working with ATSI people from our previous studies of middle-aged and older people to determine what is healthy ageing and how we can best support this."
1170496	2019-07-08	"Prof Alex Brown"	"Targeted Calls for Research"	"Healthy Ageing of Aboriginal and Torres Strait Islander Peoples"	"Designing Indigenous aged care with a ‘whole of community’ perspective"	"University of South Australia"	"SA"	"University"	741947.3	"Public Health"	"Aboriginal and Torres Strait Islander Health"	"aboriginal health"	"aged care"	"health services research"	"culturally appropriate methodology"	"community care"	"This research will assess how well current Australian aged care standards, practices and systems reflect the views on healthy ageing and the needs of older Aboriginal peoples and their communities.   A novel quality assessment tool will be developed and trialled in community and residential aged care facilities that provide services to Aboriginal populations in metropolitan, rural and remote areas."
1171174	2019-07-18	"A/Pr Lisbeth Evered"	"Boosting Dementia Research Initiative"	"Implementing Dementia Risk Reduction and Prevention Research"	"The PROTECT Trial: PeRiOperaTive Enhancement of Cognitive Trajectory"	"University of Melbourne"	"VIC"	"University"	1615118.8	"Clinical Medicine and Science"	"Neurosciences not elsewhere classified"	"dementia"	"anaesthesia and cognitive deficit"	"surgery"	"delirium"	"dementia-related decline in memory"	"Anaesthesia and surgery are common in the elderly and are known to be associated with confusion in the short term and decline in memory and thinking in the medium and long term. These problems affect up to 50% of older individuals.Given the large proportion of older people undergoing surgery every year the opportunity to optimise patients during the perioperative period to minimise long term cognitive complications is possibly the most important risk factor to address to reduce dementia."
1171279	2019-07-18	"Prof Kaarin Anstey"	"Boosting Dementia Research Initiative"	"Implementing Dementia Risk Reduction and Prevention Research"	"Translating the evidence on dementia risk reduction to generate assessments, advice and training for health professionals, policy makers, patients and public"	"University of New South Wales"	"NSW"	"University"	1995480.6	"Public Health"	"Preventive Medicine"	"risk assessment"	"chronic diseases"	"implementation"	"dementia"	"prevention"	"Our research program focuses on translating the evidence on dementia risk reduction into a series of practical outputs and outcomes within the health system and population. The project works within a population health framework, includes development and validation of a risk assessment tool, identifies the best ways to implement the tool in collaboration with consumers and community representatives, and uses big data to evaluate risk profiles and inform policy."
1171300	2019-07-18	"Prof Andrew Pipingas"	"Boosting Dementia Research Initiative"	"Implementing Dementia Risk Reduction and Prevention Research"	"Mediterranean diet and exercise to reduce cognitive decline and dementia risks in independently living older Australians: the MedWalk randomised controlled trial"	"Swinburne University of Technology"	"VIC"	"University"	1772616	"Public Health"	"Preventive Medicine"	"cognitive decline"	"healthy ageing"	"health promotion"	"dietary intervention"	"exercise training"	"This project brings together leading Australian and international researchers to extend a successful, 6-month, combined Mediterranean Diet and exercise program to reduce rates of cognitive decline and other dementia risk factors. This 2-year trial, in independently-living older Australians, involves a simple Mediterranean style diet with daily walking. The research will also investigate the underlying factors responsible for reducing dementia risk and the cost effectiveness of the intervention."
1171313	2019-07-18	"Dr Ashleigh Smith"	"Boosting Dementia Research Initiative"	"Implementing Dementia Risk Reduction and Prevention Research"	"Living your best day-Optimising activity and diet compositions for dementia prevention"	"University of South Australia"	"SA"	"University"	1234805	"Clinical Medicine and Science"	"Human Movement and Sports Science not elsewhere classified"	"dementia"	"physical activity"	"dietary factors"	"cognition"	"prevention"	"People’s activity patterns and diet are strongly related to their future dementia risk. Using our novel, analytical compositional data analyses approach, we will:   1. Explore for the first time how changes in 24-hour time use and diet influence cognition and brain function   2. Identify patterns of ‘best day/s’ for cognition and brain function  3. Co-create with older adults a customisable tool that can be rapidly translated into primary care settings and be used for dementia prevention"
1171479	2019-07-18	"Prof Sharon Naismith"	"Boosting Dementia Research Initiative"	"Implementing Dementia Risk Reduction and Prevention Research"	"REducing Sleep Apnoea for the PrEvention of Dementia (REShAPED): a multi-site feasibility RCT"	"University of Sydney"	"NSW"	"University"	1468684.8	"Clinical Medicine and Science"	"Clinical Sciences not elsewhere classified"	"cognitive decline"	"sleep disordered breathing"	"screening"	"clinical trial"	"dementia"	"Changes in overnight blood oxygen levels due to sleep apnoea are associated with increased risk for dementia. This feasibility study will screen older individuals with cognitive concerns for changes in blood oxygen due to sleep apnoea. We will determine if a personalised intervention targeting sleep apnoea is feasible and acceptable to older adults with memory complaints and how treatment correlates with memory outcomes at 6-mths and 2-years."
1171665	2019-07-18	"Prof Katherine Samaras"	"Boosting Dementia Research Initiative"	"Implementing Dementia Risk Reduction and Prevention Research"	"Preventing cognitive decline with metformin: a randomised controlled trial"	"Garvan Institute of Medical Research"	"NSW"	"Research Institutes"	1998024.6	"Clinical Medicine and Science"	"Geriatrics and Gerontology"	"cognitive decline"	"dementia"	"glucose"	"brain ageing"	"prevention"	"Metformin is a safe, cheap medication with 60-y proven safety. It is used first in people with type 2 diabetes. In the last decade, there is building evidence of benefit in cancer, heart disease, weight management. Most recently, it has been shown to slow decline in cognition. This study will examine whether metformin can slow or stop cognitive decline and structural brain changes in people at risk of dementia and holds the potential to repurpose a cheap safe medication for dementia prevention"
1171759	2019-07-18	"Dr Paul Gardiner"	"Boosting Dementia Research Initiative"	"Implementing Dementia Risk Reduction and Prevention Research"	"Taking a whole of day approach to optimising activity to prevent dementia in people with type 2 diabetes"	"University of Queensland"	"QLD"	"University"	1480827.1	"Public Health"	"Health Promotion"	"diabetes mellitus"	"dementia"	"sedentary behaviour"	"physical activity"	"workplace"	"People with type 2 diabetes have an increased risk of developing dementia. Prolonged sitting, which mainly occurs in the workplace) is linked to the joint mechanisms of high blood glucose levels, insulin resistance and inflammation. This study uses a behaviour change intervention to determine if sitting less and moving more can reduce cognitive decline in middle aged and older office workers with type 2 diabetes."
1171816	2019-07-18	"Dr Yen Ying Lim"	"Boosting Dementia Research Initiative"	"Implementing Dementia Risk Reduction and Prevention Research"	"BetterBrains: Person-Centred, Multi-Domain, Primary Prevention Strategies to Delay Memory Decline"	"University of Melbourne"	"VIC"	"University"	1568806.8	"Clinical Medicine and Science"	"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)"	"alzheimer disease"	"cognition"	"lifestyle factors"	"dementia-related decline in memory"	"prevention"	"The increasing burden of dementia requires innovative solutions that target lifestyle risk factors (e.g. low mood, poor sleep, poor heart health), which are currently estimated to cause 35% of all dementias. BetterBrains is a novel personalized lifestyle intervention program that engages participants in planning and executing their intervention with a trained professional to delay memory decline. This has significant implications for dementia prevention both nationally and internationally."
1171851	2019-07-18	"Dr Johnson George"	"Boosting Dementia Research Initiative"	"Implementing Dementia Risk Reduction and Prevention Research"	"Holistic Approach in Primary care for PreventIng Memory Impairment aNd Dementia (HAPPI MIND)"	"Monash University"	"VIC"	"University"	1999499.84	"Health Services Research"	"Health Promotion"	"dementia"	"risk factors"	"primary care"	"collaboration"	"healthy ageing"	"A general practice-based dementia risk assessment and an individualised health promotion programme comprising self-management training, practical behaviour change techniques and GP-coordinated interdisciplinary management of risk factors will be compared against usual care. This study will be carried out in 40 general practice clinics across NSW and Victoria targeting 45-65 year olds at risk of developing cognitive impairment. Change in risk factors for dementia at 3 years is the main outcome."
1171890	2019-07-18	"A/Pr Amy Brodtmann"	"Boosting Dementia Research Initiative"	"Implementing Dementia Risk Reduction and Prevention Research"	"Cardiovascular exercise to prevent cognitive decline in high risk patient populations: a post-ischaemic stroke exercise intervention study"	"University of Melbourne"	"VIC"	"University"	1613508	"Clinical Medicine and Science"	"Clinical Sciences not elsewhere classified"	"stroke"	"cognitive decline"	"brain ageing"	"brain ischaemia"	"neurodegeneration"	"The major risk factors for post-stroke brain shrinkage and cognitive decline are recurrent stroke, high blood pressure, and physical inactivity. We  will use advanced imaging to accurately measure brain volume and cognition in 100 stroke patients. We will examine whether patients who  receive an aerobic exercise intervention after stroke have preserved brain volume, and preserved cognition, over a year. We will answer the  question: does exercise stop your brain from shrinking after stroke?"
1172054	2019-07-18	"A/Pr Edward Strivens"	"Boosting Dementia Research Initiative"	"Implementing Dementia Risk Reduction and Prevention Research"	"Reducing dementia risk in Aboriginal and Torres Strait Islander Communities"	"James Cook University"	"QLD"	"University"	1515145	"Public Health"	"Aboriginal and Torres Strait Islander Health"	"indigenous health"	"dementia"	"prevention"	"healthy ageing"	"wellbeing"	"This study aims to target dementia risk reduction in Aboriginal and Torres Strait Islander populations where rates of dementia are three to five times higher than the general population. The team will work in partnership with Indigenous communities and health services to target chronic disease factors identified as contributing to this higher risk. The result will be a community driven model of dementia risk reduction strategies tailored to the specific issues of these communities"
1171319	2019-07-18	"Prof Annette Dobson"	"Boosting Dementia Research Initiative"	"Improving Dementia Data and Methods"	"Improving Australia's Dementia Statistics"	"University of Queensland"	"QLD"	"University"	2154096	"Public Health"	"Epidemiology"	"dementia"	"statistics"	"data linkage"	"public health"	"aged care"	"Estimates of the numbers of people living and dying with dementia in Australia vary widely due to different methodologies. We will work closely with the Australian Institute of Health and Welfare and the Australian Bureau of Statistics on methods to produce more accurate and reliable data. The approach will be to combine data from multiple sources in the health and aged care sectors. We will examine the data quality and develop protocols for on-going production of national dementia statistics."
1171966	2019-07-18	"Prof Velandai Srikanth"	"Boosting Dementia Research Initiative"	"Improving Dementia Data and Methods"	"Leveraging electronic medical records and routine administrative data towards a population approach for monitoring dementia frequency, risk factors and management"	"Monash University"	"VIC"	"University"	617335.6	"Public Health"	"Aged Health Care"	"dementia"	"epidemiology"	"data linkage"	"electronic health information"	"population health"	"This study will explore how to use routinely collected health information to monitor trends in dementia occurrence, its risk factors, and management in the general population."
1169322	2019-07-24	"A/Pr Jacqui Webster"	"International Collaborations"	"GACD - Scale Up Hypertension"	"Scaling up food policy interventions to reduce noncommunicable diseases in the Pacific Islands"	"George Institute for Global Health"	"NSW"	"Research Institutes"	948957.2	"Public Health"	"Pacific Peoples Health"	"food"	"diabetes prevention"	"hypertension"	"implementation"	"dietary intervention"	"This five-year project will use an innovative community systems thinking approach (STICKE) to identify, strengthen and evaluate intervention strategies for policies to reduce salt and sugar consumption in Fiji and Samoa. It will produce important new evidence about factors that lead to effective implementation of interventions. This will support the scaling-up interventions to prevent diabetes and hypertension in the Pacific Islands and globally."
1169751	2019-07-24	"Prof Bruce Neal"	"International Collaborations"	"GACD - Scale Up Hypertension"	"An evaluation of the Resolve to Save Lives salt reduction program in China"	"George Institute for Global Health"	"NSW"	"Research Institutes"	952376.25	"Health Services Research"	"Public Nutrition Intervention"	"sodium"	"intervention study"	"policy evaluation"	"population-based"	"epidemiology"	"Resolve to Save Lives is a $225M program led by Vital Strategies with a goal of protecting 1 billion people from excess salt intake within 5 years.  Our research will support this effort by providing high quality, objective and independent evaluation of the Resolve salt reduction program when it is launched in China.  We will measure the effects of the Resolve program on government policies, the food industry and community members and help to identify the best opportunities for action."
1169757	2019-07-24	"Prof David Peiris"	"International Collaborations"	"GACD - Scale Up Hypertension"	"Strengthening China’s essential public health package for hypertension and diabetes care in rural village clinics through meaningful use of health information systems"	"George Institute for Global Health"	"NSW"	"Research Institutes"	891048.2	"Health Services Research"	"Health Information Systems (incl. Surveillance)"	"primary care"	"information systems/decision support systems"	"hypertension"	"diabetes"	"policy evaluation"	"In 2009 the central government implemented a basic public health service package to strengthen primary care systems in China. Outcomes have been variable and quality gaps remain. Better use of health information systems offers solutions to improving quality. This proposal involves a collaboration between academics and the China Center for Disease Control to strengthen health information systems and enhance the uptake of public health services for diabetes and hypertension care in China."
1169763	2019-07-24	"Prof Anushka Patel"	"International Collaborations"	"GACD - Scale Up Hypertension"	"Scale-up of a primary care intervention for cardiovascular risk management in Malang, Indonesia"	"George Institute for Global Health"	"NSW"	"Research Institutes"	756087.65	"Health Services Research"	"Preventive Medicine"	"hypertension"	"primary care"	"computer-based decision support"	"rural and remote health"	"health systems"	"SMARThealth is a technology-enabled program aiming to strengthen primary healthcare. A demonstration project in the Malang district of Indonesia, has shown this strategy to be highly effective in hypertension management. The district health authority and the central government health insurance agency have agreed to fund an initial scale-up project to 100 villages. Using a scientific approach, we will conduct research to support this scale-up, evaluate its success, and learn from the process."
1169766	2019-07-24	"Prof Brian Oldenburg"	"International Collaborations"	"GACD - Scale Up Hypertension"	"Scaling up interventions to improve the control of hypertension and diabetes in partnership with the governments of Kerala and Tamil Nadu: Leveraging India’s national NCD program"	"University of Melbourne"	"VIC"	"University"	1364054.5	"Public Health"	"Preventive Medicine"	"community intervention study"	"diabetes prevention"	"india"	"lifestyle factors"	"prevention"	"The states of Kerala and Tamil Nadu are currently implementing India’s National Program for Prevention and Control of Diabetes, Cardiovascular diseases and Stroke. In partnership with these two state governments, we plan to adapt, integrate and evaluate the scale up of interventions that we have successfully developed and evaluated in our previous research trials to reduce cardiometabolic risk. The new research will evaluate implementation outcomes, cost-effectiveness and public health benefit."
1171206	2019-07-24	"A/Pr Helen Leonard"	"International Collaborations"	"NHMRC-NIHR Collaborative Research Grant"	"A multicentre double-blind placebo-controlled randomised trial of SerTRaline for AnxieTy in adults with Autism (STRATA)-Australian component"	"University of Western Australia"	"WA"	"University"	557029.4	"Clinical Medicine and Science"	"Clinical Sciences not elsewhere classified"	"autism spectrum disorders"	"mental health"	"anxiety disorders"	"clinical pharmacology"	"symptomatology"	"Anxiety is a debilitating symptom affecting many people with autism. However, we do not know how effective and how well tolerated are the medications, which are used to treat anxiety in the general population, when prescribed to people with autism. To answer this question we propose a clinical trial of one anxiety medication (sertraline) across five sites in two countries. We will recruit over 300 adults with autism and half with receive the active drug and half a placebo or dummy medication."
1170698	2019-07-24	"A/Pr Prue Cormie"	"International Collaborations"	"NHMRC-EU Collaborative Research Grant"	"PREFERABLE: Project on Exercise for Fatigue Eradication in Advanced Breast cancer to improve quality of life"	"Australian Catholic University"	"NSW"	"University"	415826.5	"Health Services Research"	"Oncology and Carcinogenesis not elsewhere classified"	"exercise"	"breast cancer"	"fatigue"	"quality of life"	"metastatic cancer"	"Advanced breast cancer patients experience debilitating side effects which compromise their physical, mental and social wellbeing. Nine out of 10 people with advanced breast cancer suffer from fatigue that limits their ability live a normal life. No effective management strategies are available for these patients and as a consequence, they are left to suffer with serious fatigue for the rest of their lives. This project proposes and evaluates a potential solution – targeted exercise medicine."
1170724	2019-07-24	"Prof Anne-Louise Ponsonby"	"International Collaborations"	"NHMRC-EU Collaborative Research Grant"	"Novel Testing Strategies for Endocrine Disruptors in the Context of Developmental NeuroToxicity: Australian Component"	"Murdoch Childrens Research Institute"	"VIC"	"Research Institutes"	498150.7	"Public Health"	"Epidemiology"	"chemical exposure"	"infant development"	"neurodevelopmental disorders"	"mental health"	"cohort study"	"Modern children are exposed to many man-made chemicals. An Australian birth cohort study will be investigate how common exposure in utero really is and whether higher exposure is linked to attention deficit disorder and autism spectrum disorder. This project is the Australian contribution to an international effort to understand potentially harmful chemical effects on the developing child’s brain and to improve the testing and regulation of chemicals, particularly in early life."
1170731	2019-07-24	"Prof David Currow"	"International Collaborations"	"NHMRC-EU Collaborative Research Grant"	"Better Treatments For Breathlessness In Palliative And End Of Life Care"	"University of Technology Sydney"	"NSW"	"University"	499430.9	"Clinical Medicine and Science"	"Respiratory Diseases"	"patient management"	"quality of life"	"clinical patient management"	"health services"	"chronic obstructive pulmonary disease (copd)"	"People with emphysema or lung scarring frequently have breathlessness at rest, dressing, showering or preparing meals, despite best treatment for the disease. Globally, no medication is approved for this breathlessness.   This 6 country study will test mirtazapine, a medication usually used in depression, reducing breathlessness even if people are not depressed. This study will give mirtazapine or a sugar tablet (on a coin toss) for 8 weeks to measure benefits and harms on worst breathlessness."
