"APP ID"	"Date Announced"	"Notes"	"APP YEAR"	"FUNDING TYPE"	"FUNDING SUB TYPE"	"SCIENTIFIC TITLE"	"SIMPLIFIED TITLE"	"CIA"	"APP ADMIN INSTITUTION"	"STATE"	"Start Year"	"Final Budget - Rounded"	"Funding Source"	"MAIN FUNDING GROUP"	"SECTOR"	"BROAD RESEARCH AREA"	"FOR CATEGORY"	"FIELD OF RESEARCH"	"RESEARCH KW 1"	"RESEARCH KW 2"	"RESEARCH KW 3"	"RESEARCH KW 4"	"RESEARCH KW 5"	"HEALTH KW 1"	"HEALTH KW 2"	"HEALTH KW 3"	"HEALTH KW 4"	"HEALTH KW 5"	"MEDIA SUMMARY"
9000161	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Irene Gerard"	"Mater Medical Research Institute, Brisbane"	"QLD"	2013	636537	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000162	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Ms Gerlinde Scholz"	"Centre for Eye Research Australia Ltd"	"VIC"	2013	540602	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000163	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Ms Anna Marcon"	"National Stroke Research Institute"	"VIC"	2013	514965	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000164	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Vesna Todorovski"	"The George Institute for International Health"	"NSW"	2013	301365	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000165	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Kerryn Westcott"	"Ludwig Institute for Cancer Research"	"VIC"	2013	267813	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000166	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Ms Vivienne Pearson"	"Institute for Breathing and Sleep"	"VIC"	2013	130918	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000167	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Anna Marcon"	"Mental Health Research Institute of Victoria"	"VIC"	2013	105394	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000168	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Mr Ralph Mitchell"	"Children's Medical Research Institute"	"NSW"	2013	100522	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000169	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Dr Sianna Panagiotopoulos"	"Austin Hospital Medical Research Foundation"	"VIC"	2013	87476	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000170	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Anna Marcon"	"Brain Research Institute"	"VIC"	2013	50695	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000171	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Ms Angela Aston"	"NSW Cancer Council"	"NSW"	2013	22872	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000172	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Ms Liesl Duffy"	"Schizophrenia Research Institute"	"NSW"	2013	22447	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000173	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Miss Amy Proffitt"	"Cancer Council Queensland"	"QLD"	2013	22392	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000174	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Mr Nicholas Keilar"	"Centenary Institute of Cancer Medicine and Cell Biology"	"NSW"	2013	15799	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000175	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Mr Michael Le Grande"	"Heart Research Centre"	"VIC"	2013	12741	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000176	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Independent MRI Infrastructure Grant"	"IRIISS - 2013"	"IRIISS - 2013"	"Anna Marcon"	"Howard Florey Institute"	"VIC"	2013	10962	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000177	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Mr Adriaan Adolph"	"University of Melbourne"	"VIC"	2013	800422	"NHMRC MREA"	"Infrastructure Support"	"University"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000178	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Ms Heidi Nelson"	"University of Sydney"	"NSW"	2013	711568	"NHMRC MREA"	"Infrastructure Support"	"University"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000179	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Nita Eng"	"Monash University"	"VIC"	2013	681634	"NHMRC MREA"	"Infrastructure Support"	"University"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000180	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Susan O'Brien"	"University of Queensland"	"QLD"	2013	517701	"NHMRC MREA"	"Infrastructure Support"	"University"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000181	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Daniel Owens"	"University of New South Wales"	"NSW"	2013	484711	"NHMRC MREA"	"Infrastructure Support"	"University"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000182	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Mr Don McMaster"	"University of Adelaide"	"SA"	2013	321006	"NHMRC MREA"	"Infrastructure Support"	"University"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000183	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Kim Tsai"	"Walter and Eliza Hall Institute"	"VIC"	2013	318083	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000184	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Mr Robert Roche"	"University of Western Australia"	"WA"	2013	263419	"NHMRC MREA"	"Infrastructure Support"	"University"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000185	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Ms Marianne Ciavarella"	"Murdoch Childrens Research Institute"	"VIC"	2013	207936	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000186	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Ms Heather Gallichio"	"Baker IDI Heart and Diabetes Institute"	"VIC"	2013	186942	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000187	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Pearly Harumal"	"Queensland Institute of Medical Research"	"QLD"	2013	148327	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000188	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Gillian Hulst"	"Garvan Institute of Medical Research"	"NSW"	2013	146799	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000189	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Kathrin Kulhanek"	"Australian National University"	"ACT"	2013	120939	"NHMRC MREA"	"Infrastructure Support"	"University"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000190	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Ms Elianne Renaud"	"University of Newcastle"	"NSW"	2013	107993	"NHMRC MREA"	"Infrastructure Support"	"University"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000191	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Rebecca Marshallsay"	"Griffith University"	"QLD"	2013	92702	"NHMRC MREA"	"Infrastructure Support"	"University"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000192	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Ms Christina Spargo"	"Menzies School of Health Research"	"NT"	2013	74929	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000193	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Helen Partridge"	"University of South Australia"	"SA"	2013	69494	"NHMRC MREA"	"Infrastructure Support"	"University"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000194	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Belinda Richardson"	"Queensland University of Technology"	"QLD"	2013	67220	"NHMRC MREA"	"Infrastructure Support"	"University"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000195	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Dr Anne Johnston"	"St Vincent's Institute of Medical Research"	"VIC"	2013	64853	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000196	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Ms Maya Roberts"	"Flinders University"	"SA"	2013	62876	"NHMRC MREA"	"Infrastructure Support"	"University"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000197	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Ms Jenny McKellar"	"Victor Chang Cardiac Research Institute"	"NSW"	2013	58475	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000198	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Dr Yvonne Lai"	"Deakin University"	"VIC"	2013	56843	"NHMRC MREA"	"Infrastructure Support"	"University"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000199	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Lisa Schimanski"	"University of Tasmania"	"TAS"	2013	47224	"NHMRC MREA"	"Infrastructure Support"	"University"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000200	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Dr Alison Greenway"	"Macfarlane Burnet Institute for Medical Research and Public Health"	"VIC"	2013	39351	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000201	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Dr Neil Owens"	"Prince Henry's Institute of Medical Research"	"VIC"	2013	35516	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000202	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Dr Kyle Ratinac"	"Macquarie University"	"NSW"	2013	32568	"NHMRC MREA"	"Infrastructure Support"	"University"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000203	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Mark Clisby"	"La Trobe University"	"VIC"	2013	29927	"NHMRC MREA"	"Infrastructure Support"	"University"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000204	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Julie Matarczyk"	"University of Wollongong"	"NSW"	2013	27508	"NHMRC MREA"	"Infrastructure Support"	"University"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000205	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Ms Woody Macpherson"	"Cancer Council Victoria"	"VIC"	2013	25735	"NHMRC MREA"	"Infrastructure Support"	"Other"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000206	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Ms Rose Green"	"James Cook University"	"QLD"	2013	24555	"NHMRC MREA"	"Infrastructure Support"	"University"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000207	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Irene Gerard"	"Mater Medical Research Institute, Brisbane"	"QLD"	2013	23936	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000208	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Mr Gar Jones"	"University of Western Sydney"	"NSW"	2013	21160	"NHMRC MREA"	"Infrastructure Support"	"University"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000209	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Ms Gerlinde Scholz"	"Centre for Eye Research Australia Ltd"	"VIC"	2013	20594	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000210	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Ms Anna Marcon"	"National Stroke Research Institute"	"VIC"	2013	19520	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000211	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Vesna Todorovski"	"The George Institute for International Health"	"NSW"	2013	11831	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000212	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Kerryn Westcott"	"Ludwig Institute for Cancer Research"	"VIC"	2013	11552	"NHMRC MREA"	"Infrastructure Support"	"MRI"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
9000213	2013-08-05	NA	2013	"NHMRC Infrastructure Grants"	"Equipment Grant"	"2013 Equipment Grant"	"2013 Equipment Grant"	"Ms Yamini Sandiran"	"University of Technology Sydney"	"NSW"	2013	11087	"NHMRC MREA"	"Infrastructure Support"	"University"	"Not Applicable"	"Not Applicable"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Not Applicable"
