"APP ID"	"Date Announced"	"CIA_Name"	"Grant Type"	"Sub Type"	"Grant Title"	"Admin Institution"	"State"	"Sector"	"Start Yr"	"End Yr"	"Total"	"Broad Research Area"	"FOR Category"	"Field of Research"	"Res KW1"	"Res KW2"	"Res KW3"	"Res KW4"	"Res KW5"	"Plain Description"
1116008	2016-07-01	"Prof Helena Teede"	"Partnerships"	"Partnership Project for Better Health"	"Early Menopause: Implementation Research using the Experiences and Perspectives of Women and Health Professionals to Translate Evidence into Practice"	"Monash University"	"VIC"	"University"	"2016"	"2018"	390073.7	"Health Services Research"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Public Health and Health Services not elsewhere classified"	"menopause"	"cancer care"	"education"	"internet"	"health services research"	"Early menopause (EM) (menopause before age 45 yrs), occurring spontaneously or secondary to medical treatments, affects more than 10% of women. EM is associated with negative impacts on psychological/physical health, both short and long term. This project aims to clarify EM health issues and address gaps in consumer/health professional understanding/ treatment of EM, with development of resources including a comprehensive EM website for consumers/health professionals to improve health outcomes."
1116044	2016-07-01	"Prof Timothy Skinner"	"Partnerships"	"Partnership Project for Better Health"	"Acceptability and Effectiveness of the DESMOND diabetes self-management program for Indigenous Australians"	"Menzies School of Health Research"	"NT"	"Research"	"2016"	"2017"	531966	"Health Services Research"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Aboriginal and Torres Strait Islander Health"	"diabetes mellitus"	"indigenous health"	"self-management"	"health services research"	"remote communities"	"The ‘Diabetes Education Self-Management for Ongoing and Newly Diagnosed’ (DESMOND) program was developed in the UK to help people live with their diabetes. It has been shown to be  beneficial for a number of ethnic minority groups in the UK and has been trialed in Australia. At the request of Indigenous community and health care services, this project will test whether this program would be widely accepted by and be beneficial to Indigenous Australians."
1116052	2016-07-01	"Prof Len Gray"	"Partnerships"	"Partnership Project for Better Health"	"Exploring the Value of Telehealth in Primary Care:  A Controlled Trial within the Royal Flying Doctor Service"	"University of Queensland"	"QLD"	"University"	"2016"	"2019"	465164.5	"Health Services Research"	"OTHER MEDICAL AND HEALTH SCIENCES"	"Medical and Health Sciences not elsewhere classified"	"primary care"	"telemedicine"	"access to health care"	"patient/professional communication"	"rural and remote health services"	"This project will evaluate how telehealth services can partially replace expensive fly-in fly-out primary care services for people living in remote communities through reduced waiting times for appointments and significant savings related to the use of aeroplane and staff travel. The study will examine the patient and staff experiences of the change, providing important lessons to guide future development of telehealth not only for rural communities but also for primary health care in general."
1116107	2016-07-01	"A/Pr Janet Davies"	"Partnerships"	"Partnership Project for Better Health"	"AusPollen: Implementation of a standardized national pollen alert system for better management of allergic respiratory health"	"Queensland University of Technology"	"QLD"	"University"	"2016"	"2019"	626441.8	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Health Promotion"	"allergy prevention"	"allergic airways disease"	"allergic asthma"	"environmental influences"	"environmental health"	"In Australia, grass pollen is the main outdoor trigger for hay fever and allergic asthma. This AusPollen project will build and evaluate our first standardised pollen monitoring network. Pollen alerts and healthcare information will be delivered to patients and doctors via websites and Apps. The AusPollen program was initiated with The Australasian Society for Clinical Immunology and Allergy, Asthma Australia,  Stallergenes, the Bureau of Meteorology  CSIRO and MeteoSwiss."
1116161	2016-07-01	"Prof Margaret Hellard"	"Partnerships"	"Partnership Project for Better Health"	"Eliminating hepatitis C transmission by enhancing hepatitis C care and treatment in primary health care settings."	"Macfarlane Burnet Institute for Medical Research and Public Health"	"VIC"	"Research"	"2016"	"2020"	1221830.6	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Public Health and Health Services not elsewhere classified"	"hepatitis C infection"	"treatment strategies"	"prevention"	"modelling"	"primary care"	"In developed countries, people who inject drugs (PWID) are the group at greatest risk of hepatitis C (HCV) infection but few PWID receive HCV treatment.  With the advent of highly effective non-interferon based treatments HCV elimination, although ambitious, is now being seriously considered globally. This partnership grant will explore the feasibility of eliminating HCV transmission by enhancing HCV care and treatment for PWID in primary health care settings."
1116294	2016-07-01	"A/Pr Martyn Kirk"	"Partnerships"	"Partnership Project for Better Health"	"Understanding the sources of Campylobacter in Australia"	"Australian National University"	"ACT"	"University"	"2016"	"2018"	546720.39	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Epidemiology"	"campylobacter"	"genomics"	"modelling"	"food safety"	"food poisoning"	"Campylobacter is a key cause of foodborne disease in Australia, with rates of illness amongst the highest in the world. Our project brings together academic, government and industry partners to harness new genetic techniques to better identify sources and risk factors for Campylobacter infection. The project will assist health agencies to include genomics in public health, with findings directly informing government policies and industry practices to minimise disease caused by Campylobacter."
1114923	2016-07-01	"Dr Helen Dixon"	"Targeted Calls for Research"	"Preventing Obesity in 18-24 Year Olds"	"Harnessing the power of elite sport sponsorship to promote healthy eating by young adults"	"Cancer Council Victoria"	"VIC"	"Other"	"2016"	"2018"	304219.8	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Health Promotion"	"obesity"	"intervention study"	"public health"	"nutrition"	"community intervention study"	"Concerns have been raised about the role of unhealthy food sponsorship of elite sport in promoting unhealthy diets to vast numbers of the public, including young adults who are avid spectators of sport. This innovative project consists of two studies which systematically investigate the utility of alternative, health-oriented sport sponsorship models and counter-advertising strategies in promoting healthier diets among young adults."
1115496	2016-07-01	"A/Pr Catherine Lombard"	"Targeted Calls for Research"	"Preventing Obesity in 18-24 Year Olds"	"Communicating health: optimising engagement and retention using social media"	"Monash University"	"VIC"	"University"	"2016"	"2019"	950059.9	"Public Health"	"NUTRITION AND DIETICS"	"Public Nutrition Intervention"	"nutrition"	"prevention"	"social and behavioural research"	"public health"	"obesity"	"In order to impact on health, young people need to be engaged and retained in health interventions. The application of social media to engage, retain and promote health behaviour change in this target group has enormous potential but is poorly researched. This project will engage young people of all incomes and education from across Australia and assess their attitudes and behaviours and determine most effective social media content and delivery to optimise engagement and retention."
1115519	2016-07-01	"Prof Clare Collins"	"Targeted Calls for Research"	"Preventing Obesity in 18-24 Year Olds"	"Efficacy and cost effectiveness of varying levels of technology-delivered personalised feedback on dietary patterns in motivating young Australian adults to improve diet quality and eating habits: The Advice, Ideas and Motivation for My Eating study"	"University of Newcastle"	"NSW"	"University"	"2016"	"2018"	592755.5	"Public Health"	"NUTRITION AND DIETICS"	"Public Nutrition Intervention"	"nutrition"	"dietary intervention"	"health promotion"	"dietary intake"	"healthy eating"	"This project will test efficacy and cost-effectiveness of technology based tools in helping young adults to improve their dietary patterns and nutrition related health. Major challenges faced by young adults include lack of access to personalised information and advice about usual dietary intakes, being effectively engaged and cost. The project results will be translated and scaled up strategically by working in partnership with the Young and Well CRC and key organisations."
1115534	2016-07-01	"A/Pr Philippa Middleton"	"Targeted Calls for Research"	"Preventing Obesity in 18-24 Year Olds"	"Improving nutrition and health outcomes for women and babies in the Aboriginal Family Birthing Program"	"University of Adelaide"	"SA"	"University"	"2016"	"2020"	975881.8	"Clinical Medicine and Science"	"NUTRITION AND DIETICS"	"Public Nutrition Intervention"	"Aboriginal health"	"nutrition"	"pregnancy"	"obesity"	"evaluation studies"	"Young Aboriginal women are more likely to have children when they are under 25 than other women in SA. They are also much more likely to be overweight or obese. Together these two characteristics have profound consequences for a woman's health and increased risks for poor birth outcomes. A novel package of culturally appropriate and intensive nutrition strategies, embedded in the SA Aboriginal Family Birthing Program will be developed and assessed to see its impact on women's and child health."
1115542	2016-07-01	"A/Pr Caroline Miller"	"Targeted Calls for Research"	"Preventing Obesity in 18-24 Year Olds"	"Reducing sugar sweetened beverages consumption among young adults"	"South Australian Health and Medical Research Institute (SAHMRI)"	"SA"	"Research"	"2016"	"2018"	671119.2	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Health Promotion"	"public health policy"	"health promotion"	"overweight/obesity"	"behaviour change"	"dietary lifestyle"	"Reducing consumption of sugary drinks (or sugar-sweetened beverages) would improve the healthiness of young Australians’ diets and help protect them from obesity. Young Australians drink sugary rinks in high qualities, and they contribute a lot of  ‘empty calories’ to the diet. They are also known to cause tooth decay, obesity and diabetes. This study will test the effectiveness of consumer information/warning labels at point of purchase and on packaging in reducing the purchase of SSBs."
1116081	2016-10-19	"Prof Jennifer Alison"	"International Collaborations"	"GACD - Prevention and Management of Chronic Lung Disease"	"Implementing evidence into practice to improve chronic lung disease management in Indigenous Australians: the \"Breathe Easy, Walk Easy-Lungs for Life\" (BE WELL) project"	"University of Sydney"	"NSW"	"University"	"2016"	"2020"	780089.1	"Health Services Research"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Aboriginal and Torres Strait Islander Health"	"lung disease"	"indigenous Australians"	"management"	"rehabilitation services"	"exercise training"	"The burden of chronic obstructive pulmonary disease (COPD) in Indigenous Australians far exceeds that in non-Indigenous Australians. The project will evaluate whether the BE WELL program can build the capacity of Aboriginal health workers to provide affordable and effective management of COPD, including pulmonary rehabilitation. This program will improve health outcomes, reduce hospital admissions and address the poor access to best-practice management of COPD in Indigenous communities."
1116084	2016-10-19	"Prof Billie Bonevski"	"International Collaborations"	"GACD - Prevention and Management of Chronic Lung Disease"	"Title: ‘Indigenous Counselling and Nicotine (ICAN) QUIT in Pregnancy’ - a cluster randomised trial to implement culturally competent evidence-based smoking cessation for pregnant Aboriginal and Torres Strait Islander smokers"	"University of Newcastle"	"NSW"	"University"	"2016"	"2019"	2259016.1	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Aboriginal and Torres Strait Islander Health"	"smoking intervention"	"Aboriginal health"	"maternal and child health"	"nicotine replacement therapy"	"training"	"‘ICAN QUIT in Pregnancy’ tackles smoking through training health providers caring for expectant mothers of Indigenous babies in real-world primary care settings.  The intervention was co-developed with Aboriginal communities. We will assess how many Indigenous women, cared for by the trained services, quit smoking, compared to the women that receive usual care. We anticipate that babies born to mothers in the intervention group will have less respiratory illness in their first six months."
1116020	2016-10-19	"Dr Gregory Fox"	"International Collaborations"	"GACD - Prevention and Management of Chronic Lung Disease"	"An integrated health-sector strategy to combat COPD and asthma in Vietnam: A pragmatic stepped intervention cluster randomized trial"	"University of Sydney"	"NSW"	"University"	"2016"	"2020"	1894348.9	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Public Health and Health Services not elsewhere classified"	"chronic obstructive pulmonary disease (COPD)"	"smoking intervention"	"asthma management"	"economic evaluation"	"clinical patient management"	"Chronic lung diseases are a major challenge for resource limited settings. In Vietnam, where smoking rates in males are around 50%, there is an urgent need for better strategies to prevent and treat chronic obstructive pulmonary disease (COPD) and asthma. We will perform a study of a low-cost integrated intervention including a health-system based smoking cessation program and the targeted use of proven therapy for COPD and asthma - inhaled corticosteroids - to reduce the burden of lung disease."
1116325	2016-10-27	"Prof Peter Choong"	"Centres of Research Excellence"	"Centre of Research Excellence - Health Services"	"Centre for Research Excellence in Total Joint Replacement OPtimising oUtcomes, equity, cost effectiveness and patient Selection (OPUS)"	"University of Melbourne"	"VIC"	"University"	"2016"	"2020"	2500000	"Health Services Research"	"CLINICAL SCIENCES"	"Orthopaedics"	"modelling"	"risk perception"	"decision making"	"health care evaluation"	"health economics"	"Joint replacement surgery is one of the most successful surgeries performed in Australia and globally. With an ageing population, demand for this procedure will increase dramatically, placing burden on a constrained health system. This Centre targets the journey of patients undergoing joint replacement surgery, seeking to optimise patient safety and outcomes, in addition to improving efficiencies and equitablity of this important surgical procedure."
1116334	2016-10-27	"Prof Suzanne Chambers"	"Centres of Research Excellence"	"Centre of Research Excellence - Health Services"	"Centre for Research Excellence in Prostate Cancer Survivorship (CRE-PCS)"	"Griffith University"	"QLD"	"University"	"2016"	"2020"	2498842.2	"Health Services Research"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Preventive Medicine"	"prostate cancer"	"supportive care"	"sexual dysfunction"	"exercise training"	"health economics"	"The Centre for Research Excellence in Prostate Cancer Survivorship will 1) develop, evaluate and translate responsive, equitable and accessible survivorship interventions for men with prostate cancer and their partners and families in high need areas 2) support evidence-based policy and practice in prostate cancer survivorship care 3) train and equip the workforce and its leaders to ensure translation and sustainably improve the underpinning health care and other relevant systems."
1116360	2016-10-27	"Prof David Mackey"	"Centres of Research Excellence"	"Centre of Research Excellence - Clinical"	"From discovery to therapy in genetic eye diseases"	"University of Western Australia"	"WA"	"University"	"2016"	"2020"	2498231.5	"Clinical Medicine and Science"	"OPHTHALMOLOGY and OPTOMETRY"	"Ophthalmology"	"eye disease"	"genetic testing"	"gene therapy"	"gene discovery"	"genetic counselling"	"Most eye diseases have a genetic contribution, whether rare disorders affecting children such as retinoblastoma or congenital cataracts through to common disorders of older people such as myopia, age-related macular degeneration or glaucoma. We will continue our successful research to find genes that cause these diseases and use this to improve patient care and prevent blindness. We will work out how families can use this genetic information to participate in trials to develop new treatments."
1116371	2016-10-27	"A/Pr Tamera Corte"	"Centres of Research Excellence"	"Centre of Research Excellence - Clinical"	"Centre for Research Excellence in Pulmonary Fibrosis"	"University of Sydney"	"NSW"	"University"	"2016"	"2020"	2498606.65	"Clinical Medicine and Science"	"CARDIOVASCULAR MEDICINE AND HAEMATOLOGY"	"Respiratory Diseases"	"pulmonary fibrosis"	"translational research"	"education"	"clinical trial"	"biomarkers"	"The Centre for Research excellence in Pulmonary Fibrosis (CRE-PF) aims to develop a sustainable nation-wide network, consisting of world recognized experts. The group will enable an integrative approach to solving PF through a layered strategy extending from molecules germane to disease pathogenesis, to human studies. With this approach the CRE-PF will set a new paradigm for synergy between academia, health care, health policy and the public, placing Australia at the forefront of innovation."
1116385	2016-10-27	"Prof Anne Kavanagh"	"Centres of Research Excellence"	"Centre of Research Excellence - Population Health"	"Centre of Research Excellence in Disability and Health"	"University of Melbourne"	"VIC"	"University"	"2016"	"2020"	2487344.9	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Care for Disabled"	"health inequalities"	"social determinants of health"	"disability"	"policy development"	"epidemiology"	"The first research centre of its kind internationally, the CRE in Disability and Health brings together a first-rate team of national and international researchers with influential stakeholders. We will create the evidence needed to guide social and health policy reform with the explicit intent of improving the health of working age disabled Australians. We will produce an exceptional research workforce equipped to make large-scale, ongoing contributions to the field of disability and health."
1116412	2016-10-27	"Prof Guy Marks"	"Centres of Research Excellence"	"Centre of Research Excellence - Population Health"	"Energy transitions, air pollution and health in Australia"	"University of New South Wales"	"NSW"	"University"	"2016"	"2020"	2491229.15	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Environmental and Occupational Health and Safety"	"air pollution"	"environmental epidemiology"	"linkage studies"	"cohort study"	"environmental health"	"Emissions from burning biomass (including fossil fuels) are major features of our environment and are the 4th leading global risk factor for premature death. As countries shift their patterns of energy use in response to global warming, new challenges are emerging. Understanding this is crucial to our ability to maintain health and stability in uncertain times. This CRE will examine the health consequences of (1) fossil fuel combustion, (2) landscape fires and (3) alternatives to fossil fuels."
1116442	2016-10-27	"Prof Roslyn Boyd"	"Centres of Research Excellence"	"Centre of Research Excellence - Clinical"	"Australasian Cerebral Palsy Clinical Trials Network (AusCP-CTN): optimising interventions and effective services for children with Cerebral Palsy"	"University of Queensland"	"QLD"	"University"	"2016"	"2020"	2499287	"Clinical Medicine and Science"	"PAEDIATRICS AND REPRODUCTIVE MEDICINE"	"Paediatrics"	"cerebral palsy treatments"	"early intervention"	"randomised controlled trial (RCT)"	"neuroscience"	"outcomes research"	"Cerebral Palsy (CP) is common and disability can be progressive so the heathcare burden is immense (0.14% GDP). Our Clinical trials network will improve early detection and develop new interventions to improve physical, cognitive and health outcomes for children with CP and their families. Recruitment from the national CP Register will address clinically important questions and test implementation of effective treatments. New Clinical Practice Guidelines will ensure translation internationally."
1116453	2016-10-27	"Prof Peter Cameron"	"Centres of Research Excellence"	"Centre of Research Excellence - Health Services"	"Centre of Research Excellence in Prehospital Emergency Care"	"Monash University"	"VIC"	"University"	"2016"	"2020"	2499625.7	"Health Services Research"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Public Health and Health Services not elsewhere classified"	"emergency medical service"	"emergency medicine"	"health services research"	"health service utilisation"	"clinical research"	"The Prehospital Emergency Care - Centre for Research Excellence (PEC-CRE) will build capacity in prehospital research in Australia through the conduct of collaborative research projects between academic researchers, clinicians and ambulance service providers. The overarching goal of the PEC-CRE will be to strengthen the evidence base underpinning prehospital emergency care policy and practice, to ensure that ambulance patients receive ‘the right care, in the right place, at the right time’."
1116640	2016-10-27	"A/Pr Vicki Flenady"	"Centres of Research Excellence"	"Centre of Research Excellence - Clinical"	"Centre for Research Excellence in Stillbirth"	"University of Queensland"	"QLD"	"University"	"2016"	"2020"	2496348	"Clinical Medicine and Science"	"PAEDIATRICS AND REPRODUCTIVE MEDICINE"	"Obstetrics and Gynaecology"	"stillbirth"	"prevention"	"bereavement"	"health economics"	"health behaviours"	"Stillbirth is a global public health problem.  In Australia, almost 3,000 stillbirths occur each year and death places a significant psychological burden on parents, families and caregivers. The community impacts through social and economic costs are also substantial. Many stillbirths are preventable with known and novel interventions. Through a CRE dedicated to stillbirth, we aim to strengthen our collaborations locally and internationally, and reduce stillbirth, and improve care for parents."
1116690	2016-10-27	"Prof Kelsey Hegarty"	"Centres of Research Excellence"	"Centre of Research Excellence - Population Health"	"Centre for Research Excellence to promote Safer Families: Tailoring early identification and novel interventions for intimate partner violence"	"University of Melbourne"	"VIC"	"University"	"2016"	"2020"	2497801.2	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Health and Community Services"	"domestic violence"	"child health"	"Aboriginal health"	"intervention"	"health care delivery"	"Partner violence damages the health of families, particularly children. We aim to make all families safer by generating new knowledge from evidence (reviews of studies, data from following families over time and trials of health and community programs) to assist health and family services to identify violence early and tailor responses to individual’s experiences and to specific communities. We will support early career researchers by mentoring and an international network."
1116876	2016-10-27	"Prof Monica Slavin"	"Centres of Research Excellence"	"Centre of Research Excellence - Health Services"	"Centre for Improving Cancer Outcomes through Enhanced Infection Services"	"University of Melbourne"	"VIC"	"University"	"2016"	"2020"	2500000	"Health Services Research"	"CLINICAL SCIENCES"	"Infectious Diseases"	"cancer treatment"	"infection"	"surveillance"	"services research"	"mortality"	"This Centre of Research Excellence will translate the best available evidence to improve cancer outcomes through better management of infections in cancer patients, a rapidly growing group. We will establish new research networks to detect emerging multi resistant infections, develop guidelines on how to manage them, implement locally successful programs that have been shown to save lives nationally and validate new practice changing immune, bioinformatics and diagnostic technologies."
1116976	2016-10-27	"A/Pr Angela Morgan"	"Centres of Research Excellence"	"Centre of Research Excellence - Clinical"	"Centre for Research Excellence in Speech and Language Neurobiology (CRE-SLANG)"	"Murdoch Childrens Research Institute"	"VIC"	"Research"	"2016"	"2020"	2491339.7	"Clinical Medicine and Science"	"PAEDIATRICS AND REPRODUCTIVE MEDICINE"	"Paediatrics"	"speech pathology"	"language disorders"	"genetics"	"neurogenetics"	"brain imaging"	"Half a million Australian children have a speech/language disorder, tripling their changes of poor academic outcomes, limited employment options and social isolation. Current speech therapy is limited, focusing on symptoms and ignoring evidence on underlying aetiologies. By identifying and translating findings on new genes and brain pathways leading to speech and language disorders, we will transform detection, diagnosis, prognosis and genetic counselling of affected children and their families."
1117198	2016-10-27	"Prof Katherine Conigrave"	"Centres of Research Excellence"	"Centre of Research Excellence - Indigenous Researcher Capacity Building"	"A Centre for Research Excellence: Building Indigenous research capacity to find solutions to alcohol problems"	"University of Sydney"	"NSW"	"University"	"2016"	"2020"	2495984.4	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Aboriginal and Torres Strait Islander Health"	"Aboriginal health"	"alcohol use disorders"	"evidence-based health care"	"prevention"	"treatment strategies"	"Aboriginal and Torres Strait Islander (Indigenous) Australians are up to eight times as likely to suffer death or illness as a result of alcohol use. Yet there is a critical shortage of Indigenous researchers with expertise in this field. This CRE helps build a strong and continuing network of Indigenous researchers with expertise in treating and preventing alcohol problems. The Centre will generate new knowledge, integrating efforts along the continuum of treatment and prevention."
1117300	2016-10-27	"Prof Bruce Neal"	"Centres of Research Excellence"	"Centre of Research Excellence - Population Health"	"Reducing salt intake using food policy interventions"	"University of Sydney"	"NSW"	"University"	"2016"	"2020"	2491067.25	"Public Health"	"NUTRITION AND DIETICS"	"Public Nutrition Intervention"	"sodium"	"policy evaluation"	"epidemiology"	"public health"	"nutrition"	"Excess salt consumption has been identified as a leading cause of ill health and a priority area for action. Australia and most other countries around the world have signed up to the 30% reduction in mean population salt intake recommended by the World Health Organisation, but the strategies that will be used to achieve this goal remain to be decided. This Centre will address the design, implementation, evaluation and roll out of real-world food policy interventions targeting salt reduction."
