"APP ID"	"Date Announced"	"CIA Name"	"Grant Type"	"Sub Type"	"Grant Title"	"Admin Institution"	"State"	"Sector"	"Start Yr"	"End Yr"	"Total"	"Broad Research Area"	"FOR Category"	"Field of Research"	"Res KW1"	"Res KW2"	"Res KW3"	"Res KW4"	"Res KW5"	"Plain Description"
1135761	2017-07-31	"Dr Michele Callisaya"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Improving the health of older Australians at risk of dementia - The role of physical function and exercise"	"University of Tasmania"	"TAS"	"University"	2017	2020	533119.6	"Clinical Medicine and Science"	"CLINICAL SCIENCES"	"Physiotherapy"	"dementia"	"cognition"	"physical health"	"diabetes mellitus"	"exercise therapy"	"This fellowship will support novel research to examine whether exercise can improve the cognitive and physical health of individuals at risk of dementia such as those with Type 2 Diabetes or cognitive impairment. Outcomes are likely to delay the onset of dementia and enable older Australians at risk of dementia to maintain independence and improved quality of life."
1135769	2017-07-31	"A/Pr Gail Robinson"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Early diagnosis and intervention for dementia"	"University of Queensland"	"QLD"	"University"	2017	2020	720554.5	"Clinical Medicine and Science"	"PSYCHOLOGY"	"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)"	"dementia-related decline in memory"	"neurocognitive assessment"	"early detection"	"early diagnosis"	"rehabilitation"	"Dementia is an urgent global challenge with enormous health and economic cost to Australia. While the hope is for a cure, the number with dementia is growing and diagnosis is often delayed by ~3 years. This project will use innovative neurocognitive methods to achieve earlier diagnosis and develop tailored treatments. This will enhance or maintain function, promoting independence and community living, improving the quality of life and care for persons living with dementia."
1136168	2017-07-31	"A/Pr Mariko Carey"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Improving outcomes for community dwelling people with dementia and their support persons"	"University of Newcastle"	"NSW"	"University"	2017	2020	719339.8	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Aged Health Care"	"dementia care"	"cognitive impairment"	"community health care"	"quality of life"	"caregivers"	"This program of work, consisting of two themes, will build evidence for improving outcomes for people living with dementia (PLWD) and their support persons. Theme 1 studies will gather descriptive data on the experience of person-centred care among PLWD and their support persons. Theme two will evaluate the impact of interventions in the primary care and community setting in improving quality of care and quality of life outcomes for PLWD and their support persons."
1136269	2017-07-31	"Dr Tobias Loetscher"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Visual exploration in dementia"	"University of South Australia"	"SA"	"University"	2017	2020	712505.6	"Clinical Medicine and Science"	"PSYCHOLOGY"	"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)"	"perception"	"eye movements"	"biomarkers"	"mild cognitive impairment"	"dementia care"	"More than half of the people living with Alzheimer’s disease experience visual impairments. These impairments may appear before memory problems begin to surface. This research investigates how those at risk of dementia explore the world visually, and how this changes over time. The findings will inform the design of dementia-friendly environments and answer the question whether the assessment of eye movement adds to the diagnosis and prognosis of cognitive impairments."
1136529	2017-07-31	"Dr Thibault Renoir"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Gene-environment interactions in dementia"	"Florey Institute of Neuroscience and Mental Health"	"VIC"	"Research"	2017	2020	720144	"Basic Science"	"NEUROSCIENCES"	"Neurosciences not elsewhere classified"	"dementia"	"dementia-related decline in memory"	"treatment strategies"	"animal model"	"environmental intervention"	"We need to think laterally to find effective treatments for people with dementia. Using relevant animal models and cutting-edge technology, my research investigates gene-environment interactions. In particular, my group is studying the pathophysiology of Huntington’s disease, a devastating progressive disorder with no current cure. By integrating my unique wide-ranging expertise and my extensive network of collaborators, I aim to explore mechanisms and to discover novel therapeutic strategies."
1136602	2017-07-31	"Dr Veer Bala Gupta"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Establishing a blood-based biomarker panel for pre-clinical Alzheimer’s disease"	"Edith Cowan University"	"WA"	"University"	2017	2020	716778	"Clinical Medicine and Science"	"NEUROSCIENCES"	"Neurosciences not elsewhere classified"	"Alzheimer disease"	"biomarkers"	"neuroscience"	"blood"	"amyloid beta-protein"	"The current gold standard biomarkers for Alzheimer’s disease (AD) are uneconomical and invasive, thus impeding early treatment prior to irreversible damage. I posit that biochemical changes associated with the disease are reflected in the blood several years prior to the clinical manifestation of the disease. Therefore, I propose to investigate these changes in individuals predisposed to AD, prior to the appearance of clinical symptoms, to identify biomarkers for the early diagnosis of AD."
1136820	2017-07-31	"A/Pr Tracy Comans"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Ensuring the sustainability of care for people with dementia now and into the future"	"University of Queensland"	"QLD"	"University"	2017	2020	717062.8	"Health Services Research"	"APPLIED ECONOMICS"	"Health Economics"	"dementia care"	"quality of life"	"economic evaluation"	"health services research"	"health economics"	"Ensuring adequate the funding of appropriate and timely care is available for people living with dementia is a key concern for the public and for governments. This research will develop new methods of measuring the effectiveness and cost-effectiveness of treatments and care packages for people with dementia. This will help ensure the sustainability of our health and social care system into the future by directing scarce resources into programs most likely to be of benefit."
1136849	2017-07-31	"Dr Danijela Gnjidic"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Optimising pharmaceutical care for people with dementia in acute care settings"	"University of Sydney"	"NSW"	"University"	2017	2020	719636.6	"Clinical Medicine and Science"	"PHARMACOLOGY AND PHARMACEUTICAL SCIENCES"	"Clinical Pharmacology and Therapeutics"	"older people"	"pharmacotherapy"	"dementia care"	"outcomes research"	"pharmacoepidemiology"	"Delivering appropriate acute care services for people with dementia is a major healthcare challenge in Australia. People with dementia do not receive appropriate care in hospitals and are more likely to experience worse clinical outcomes compared to people without dementia. This proposal will establish the first large-scale multi-centre cohort of inpatients with dementia, to systematically investigate the impact of hospitalisation on prescribing, clinical and patient-centred outcomes."
1136913	2017-07-31	"A/Pr Anna King"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Detecting biomarkers of brain health in dementia"	"University of Tasmania"	"TAS"	"University"	2017	2020	720144	"Clinical Medicine and Science"	"NEUROSCIENCES"	"Neurology and Neuromuscular Diseases"	"neurodegeneration"	"axonal degeneration"	"dementia"	"synapse"	"biomarkers"	"Nerve cells communicate with each other through nerve processes or neurites. The dysfunction of neurites results in the clinical symptoms of dementia such as cognitive decline. Currently we cannot directly monitor degeneration of neurites in the living brain and therefore it is difficult to determine whether therapeutic agents are protective. My goal is to develop a detection system in the blood that will allow us to monitor these changes during disease progression and therapeutic intervention."
1137024	2017-07-31	"Dr Bradley Turner"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Restoring defective protein homeostasis in frontotemporal dementia"	"Florey Institute of Neuroscience and Mental Health"	"VIC"	"Research"	2017	2020	720144	"Basic Science"	"NEUROSCIENCES"	"Neurology and Neuromuscular Diseases"	"frontotemporal dementia"	"neurodegeneration"	"ubiquitin"	"autophagy"	"mouse models"	"Frontotemporal dementia (FTD) is associated with pathological accumulation and aggregation of toxic proteins in affected brain regions.  This project will employ a novel high throughput drug screening platform technology, FTD patient-derived nerve cells and genetic mouse models to screen drugs to improve clearance of toxic proteins and nerve cell health.  This approach should accelerate discovery of agents to potentially treat the underlying cause of FTD in an effort to slow disease progression."
1137179	2017-07-31	"Dr Daniel Scott"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Targeting G protein-couples receptors (GPCRs) to treat and prevent dementia"	"Florey Institute of Neuroscience and Mental Health"	"VIC"	"Research"	2017	2020	720451.2	"Basic Science"	"BIOCHEMISTRY AND CELL BIOLOGY"	"Receptors and Membrane Biology"	"G protein-coupled receptors"	"protein engineering"	"structure-based drug design"	"structural biology"	"membrane protein"	"Alzheimer’s disease (AD), is the most common form of dementia, accounting for between 50-70% of all cases. There is general agreement that current treatments for AD/dementia are inadequate so new treatment strategies are desperately needed. I am addressing these challenges by developing new technologies to generate next generation treatments for AD."
1137339	2017-07-31	"Dr Nadeeka Dissanayaka"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Treatment of anxiety and depression in dementia"	"University of Queensland"	"QLD"	"University"	2017	2020	528857.6	"Health Services Research"	"CLINICAL SCIENCES"	"Psychiatry (incl. Psychotherapy)"	"anxiety"	"depression"	"dementia"	"residential care"	"Parkinson disease"	"Mental illnesses are the largest single cause of disability and costs the economy $56.7 billion per year. Depression and anxiety in those with dementia lead to poorer outcomes with reduced quality of life, poor functional status and worsening cognition, despite under-treatment. I will develop an integrated network in Australia to maximise treatment outcomes for depression and anxiety in dementia."
1137776	2017-07-31	"Dr Brad Sutherland"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Pericyte dysfunction limiting energy supply in Alzheimer's disease"	"University of Tasmania"	"TAS"	"University"	2017	2020	717707.95	"Basic Science"	"NEUROSCIENCES"	"Central Nervous System"	"Alzheimer disease"	"cerebral blood flow"	"neurovascular mechanism"	"neuropathology"	"animal model"	"One possible cause of Alzheimer’s disease (AD) could be narrowing of small blood vessels (capillaries) within the brain, limiting blood flow and energy supply. Pericytes, a cell only on capillaries, maintain blood flow throughout the brain. I believe that pericytes may die in AD leading to an energy deficit and memory problems. I will test using human brains and animal models whether pericyte loss causes AD and how this is happening. Pericytes could provide a new therapy option for AD."
1138223	2017-07-31	"Dr Carol Dobson-Stone"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Discovery of novel neurodegeneration genes via next-generation sequencing technologies and high-throughput cellular assays"	"University of Sydney"	"NSW"	"University"	2017	2020	715144	"Basic Science"	"NEUROSCIENCES"	"Neurology and Neuromuscular Diseases"	"frontotemporal dementia"	"dementia with Lewy bodies"	"Alzheimer disease"	"molecular basis of disease"	"molecular genetics"	"My research program aims to discover genes that are mutated in dementia, by identifying gene variants present in patients and absent in healthy people, and examining how these variants affect the function of cells. Identifying new dementia genes will reveal the biological processes that lead to brain cell death. Knowledge of these processes is crucial for the development of new treatments for the many people affected worldwide with dementia."
1138673	2017-07-31	"Dr Blaine Roberts"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Development of blood-based biomarkers for the early detection of brain amyloid and the investigation of the natural history of Alzheimer’s Disease."	"Florey Institute of Neuroscience and Mental Health"	"VIC"	"Research"	2017	2020	720144	"Basic Science"	"MEDICAL BIOCHEMISTRY AND METABOLOMICS"	"Medical Biochemistry: Proteins and Peptides (incl. Medical Proteomics)"	"amyloid beta-protein"	"metals"	"Alzheimer disease"	"Parkinson disease"	"metals"	"To have a direct impact on the diagnosis and treatment of Alzheimer’s and other neurodegenerative diseases we need a detailed molecular understanding of the proteins that drive the disease. My laboratory develops and applies the most advanced analytical tools available to develop blood-based markers that can detect the development of Alzheimer’s disease before symptoms occur. This Fellowship will allow me to expand our understanding of the natural history of Alzheimer’s disease."
1139469	2017-07-31	"Dr Rodrigo Medeiros"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Targeting inflammation as a biomarker and treatment for Alzheimer's disease"	"University of Queensland"	"QLD"	"University"	2017	2020	718920.48	"Basic Science"	"NEUROSCIENCES"	"Neurology and Neuromuscular Diseases"	"Alzheimer disease"	"inflammation"	"interleukins (IL)"	"apolipoprotein E"	"astrocytes"	"We are undertaking the challenge of using and developing novel animal models in parallel with studies on affected human subjects to elucidate the underlying molecular mechanisms linking the changes in inflammation to amyloid plaques, neurofibrillary tangles and cognitive decline. Understanding these mechanisms will allow us to define the biological pathways involved in the onset and progression of Alzheimer’s disease, and identify potential biomarkers and therapeutic targets."
1139560	2017-07-31	"Dr Vivek Gupta"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"What is the effect of alzheimer’s disease on eye and can ocular changes be used as biomarker for alzheimer’s disease?"	"Macquarie University"	"NSW"	"University"	2017	2020	718002.4	"Clinical Medicine and Science"	"NEUROSCIENCES"	"Central Nervous System"	"Alzheimer disease"	"imaging"	"retina"	"amyloid"	"retinal ganglion cell"	"Visual symptoms are frequent early complaints in Alzheimer’s (AD) patients. Examining eyes can be a simple, specific and inexpensive way to assess and diagnose AD and fill in an urgent need for a viable biomarker. Retina is unique part of central nervous system that can be imaged non-invasively and thus serves as a ‘window to the brain”. Monitoring the eyes will also help prevent negative effects of AD on vision by way of timely intervention, in addition to providing mechanistic insights in AD."
1139625	2017-07-31	"Dr Craig Phillips"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Improving sleep to reduce dementia risk"	"University of Sydney"	"NSW"	"University"	2017	2020	709585	"Clinical Medicine and Science"	"CLINICAL SCIENCES"	"Clinical Sciences not elsewhere classified"	"sleep"	"circadian rhythms"	"cognitive decline"	"vascular dementia"	"sleep apnoea"	"My research will explore the pathophysiological mechanisms that link disturbed sleep and circadian rhythm with cognitive impairment and dementia. I will explore how sleep and circadian disruption in patients with obstructive sleep apnoea (OSA) and mild cognitive impairment (MCI) impact on body and brain vascular function. I will also explore whether OSA treatment and light therapy in MCI patients can arrest or even improve brain vascular function through improved sleep/circadian function."
1139936	2017-07-31	"Dr Nicole Smith"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Targeting G-quadruplex DNA as a novel therapeutic strategy for Alzheimer’s and Frontotemporal Dementia"	"University of Western Australia"	"WA"	"University"	2017	2020	720144	"Basic Science"	"GENETICS"	"Gene Expression (incl. Microarray and other genome-wide approaches)"	"dementia"	"ageing"	"gene expression"	"molecular biology"	"memory related disorders"	"Dementia is the third leading cause of death in Australia and there is an urgent need to identify new ways of treating diseases that cause dementia.  Our research is focused on targeting an unusual DNA structure in Alzheimer’s and Frontotemporal dementia (FTD). We will use a precision-targeted technology to better control formation of this DNA structure in disease-causing genes, allowing us to switch off the gene and hence stop disease progression for Alzheimer’s and FTD."
1140298	2017-07-31	"A/Pr Simon Bell"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Optimising medicine regimens for people with dementia: maintaining function, maximising quality of life and preventing adverse events"	"Monash University"	"VIC"	"University"	2017	2020	715017.1	"Public Health"	"PHARMACOLOGY AND PHARMACEUTICAL SCIENCES"	"Clinical Pharmacology and Therapeutics"	"dementia"	"pharmacoepidemiology"	"residential care"	"pharmacotherapy"	"treatment evaluation"	"I am a pharmacist based at Monash University. My expanding research team generates and applies evidence to optimise medicine regimens for people with dementia. My research assesses the risks and benefits of medicines for dementia and other health conditions. I will also focus on research training and capacity building. My research ensures people with dementia and their clinicians are equipped with the best evidence to inform medicines management decisions to optimise health outcomes."
1140317	2017-07-31	"A/Pr Thomas Astell-Burt"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Do urban green spaces help to reduce incidence of Alzheimer's and associated risk factors? Multilevel longitudinal study of 267,153 adults with 15 years of follow-up"	"University of Wollongong"	"NSW"	"University"	2017	2020	719840.8	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Preventive Medicine"	"environmental health"	"social determinants of health"	"social justice"	"dementia"	"longitudinal cohort study"	"Green spaces (e.g. parks and tree canopy) may help reduce – and narrow socioeconomic inequities -  in the risk of Alzheimer’s by improving mental health and cognition, promoting physical activity and social support, reducing social isolation, reducing depression, obesity, cardiometabolic disease risk and buffering harms from traffic-related air pollution. I will conduct the first large-scale longitudinal studies to examine this hypothesis across a 15-year timespan."
1140441	2017-07-31	"Dr Michelle Lupton"	"Boosting Dementia Research Grants"	"Boosting Dementia Research Leadership Fellowship"	"Genetic Investigations for Prodromal Alzheimer’s disease"	"Queensland Institute of Medical Research"	"QLD"	"Research"	2017	2020	719373.7	"Basic Science"	"GENETICS"	"Neurogenetics"	"Alzheimer disease"	"neuroimaging"	"genetics"	"methylation"	"dementia"	"The disease process in Alzheimer’s disease (AD) begins decades before a diagnosis is made. We urgently need to investigate this pre-symptomatic stage to learn how the disease process begins, and allow the development of treatments that work before the brain is irreparably damaged.  I will use genetic risk factors for AD to predict who is most at risk of developing AD. I will look for early changes and easily accessible markers, including the use of state of the art brain imaging."
1135667	2017-07-31	"Dr Kate Laver"	"Boosting Dementia Research Grants"	"Implementation of Dementia Research into Clinical Practice and Care"	"‘Agents of Change’: Improving post diagnosis care for people with dementia and their carers through the establishment of a National Quality Collaborative to implement guideline recommendations"	"Flinders University"	"SA"	"University"	2017	2019	770517.8	"Health Services Research"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Aged Health Care"	"dementia care"	"translational research"	"functional decline"	"patient/professional communication"	"caregivers"	"This project aims to improve outcomes for people with dementia and their carers by focussing on three areas of post diagnostic care: exercise, multicomponent occupational therapy to promote independence and carer support programs. We will establish networks with health professionals at a variety of organisations across Australia and work with these health professionals to improve care practices within their organisation."
1135908	2017-07-31	"Dr Nicole Kochan"	"Boosting Dementia Research Grants"	"Implementation of Dementia Research into Clinical Practice and Care"	"Cross-comparison, validation and performance of computerised neuropsychological assessment devices in the evaluation of mild cognitive impairment and dementia"	"University of New South Wales"	"NSW"	"University"	2017	2019	700482	"Clinical Medicine and Science"	"PSYCHOLOGY"	"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)"	"neuropsychology"	"mild cognitive impairment"	"dementia"	"cognitive assessment"	"computer-assisted diagnosis"	"With an ageing population and associated increase in dementia there will be increased demand for neuropsychological assessment, with insufficient trained personnel and resources to meet this demand. Computerised tests offer excellent opportunities for large scale implementation of cognitive screening and monitoring of older adults. This is the first study to systematically evaluate and compare several popular computerised neuropsychological assessment devices in elders with and without dementia."
1136560	2017-07-31	"Dr Jamie Bryant"	"Boosting Dementia Research Grants"	"Implementation of Dementia Research into Clinical Practice and Care"	"Improving timely diagnosis and provision of best care for Aboriginal and Torres Strait Islander people living with dementia: A cluster RCT"	"University of Newcastle"	"NSW"	"University"	2017	2019	1251378.2	"Health Services Research"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Aboriginal and Torres Strait Islander Health"	"dementia"	"Aboriginal"	"randomised controlled trial (RCT)"	"diagnosis"	"best practice"	"Dementia is 3-5 times more likely to occur amongst Aboriginal people. This study will examine the effectiveness of a multi-faceted intervention in helping Aboriginal Community Controlled Health Services improve identification and care of people with dementia. The intervention includes clinical education, tools to prompt identification of cognitive impairment and clinical monitoring, routine feedback, and strategies to prompt adherence to clinical practice guidelines."
1137050	2017-07-31	"Prof Yun-Hee Jeon"	"Boosting Dementia Research Grants"	"Implementation of Dementia Research into Clinical Practice and Care"	"Optimising functional independence of older persons with dementia: Implementation and Evaluation of the Interdisciplinary Home-bAsed Reablement Program (I-HARP)"	"University of Sydney"	"NSW"	"University"	2017	2019	1864344.8	"Health Services Research"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Aged Health Care"	"dementia care"	"rehabilitation"	"functional independence"	"caregivers"	"community intervention study"	"We propose to trial a practical, evidence based model, called the Interdisciplinary Home-bAsed Reablement Program, I-HARP, designed to improve functional independence of community dwelling older people with dementia. I-HARP will be implemented and evaluated, for its effectiveness and implementation outcomes in two different settings of hospital and community aged care. Ultimately, the program will help them live well and stay at home, while delaying entry into higher home or residential care."
1137425	2017-07-31	"A/Pr Dina LoGiudice"	"Boosting Dementia Research Grants"	"Implementation of Dementia Research into Clinical Practice and Care"	"Improving Detection and management of dEmentia in older Aboriginal and Torres Strait Islanders attending Primary Care (IDEA-PC)"	"University of Melbourne"	"VIC"	"University"	2017	2019	2172421.95	"Clinical Medicine and Science"	"CLINICAL SCIENCES"	"Geriatrics and Gerontology"	"indigenous Australians"	"dementia"	"primary care"	"health care evaluation"	"health care worker education"	"This project will co-design, implement and evaluate a nationwide culturally responsive model of care for primary care professionals to optimise the detection and management of dementia and cognitive impairment in older Aboriginal and Torres Strait Islander Australians. Rates of dementia are triple those of other communities and this research aims to optimise the well- being for older people with dementia, their families and communities throughout their journey  of care."
1137705	2017-07-31	"A/Pr Briony Dow"	"Boosting Dementia Research Grants"	"Implementation of Dementia Research into Clinical Practice and Care"	"Promoting Independence Through quality dementia Care at Home (PITCH)"	"National Ageing Research Institute"	"VIC"	"Research"	2017	2019	1541610.85	"Health Services Research"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Aged Health Care"	"dementia care"	"aged care"	"home care services"	"education"	"translational research"	"Many people with dementia live at home with support from both paid and unpaid carers. There are currently limited opportunities for carers of people with dementia to receive education and training in how to communicate, manage symptoms and deliver person-centred care. This project will develop and trial a education and training program for front-line home care workers that aims to improve quality of care and quality of life for people with dementia and their carers."
