"APP ID"	"Date Announced"	"CIA Name"	"Grant Type"	"Sub Type"	"Grant Title"	"Admin Institution"	"State"	"Sector"	"Total"	"Broad Research Area"	"Field of Research"	"Res KW1"	"Res KW2"	"Res KW3"	"Res KW4"	"Res KW5"	"Plain Description"
1151906	2018-04-26	"Prof Deborah Schofield"	"Partnerships"	"Partnership Project for Better Health"	"The economic impact of providing precision medicine through whole genome sequencing"	"University of Sydney"	"NSW"	"University"	1144787.5	"Health Services Research"	"Health Economics"	"genomics"	"health economics"	"intellectual disability"	"sequencing"	"mitochondrial disease"	"Whole genome sequencing has expanded our understanding of human diseases: genetic mutations in thousands of diseases can now be identified. The aim of this project is to translate genomic testing into clinical services so that patients can access this new technology to obtain a genetic diagnosis and improve their health outcomes and to develop a microsimulation model of the social and economic impacts of genetic disorders on families and government."
1151923	2018-04-26	"Prof Nicholas Graves"	"Partnerships"	"Partnership Project for Better Health"	"Reducing Non-Beneficial Treatment at the End-of-Life"	"Queensland University of Technology"	"QLD"	"University"	504187.8	"Health Services Research"	"Aged Health Care"	"health services research"	"effectiveness study"	"economic evaluation"	"death and dying"	"palliative"	"Medical advances have enabled doctors to prolong lives, yet some treatments towards the end of life have little chance of benefiting the patient. These treatments cause moral distress to clinicians and increase risk of a ‘bad’ death by prolonging or increasing patient suffering. This project will reduce non-beneficial treatment given to people at the end-of-life in hospital, by increasing doctors’ awareness of the extent and impacts of non-beneficial treatment in this group."
1151934	2018-04-26	"A/Pr Kim Delbaere"	"Partnerships"	"Partnership Project for Better Health"	"Engaging and supporting older people in fall prevention in the community: International implementation study"	"University of New South Wales"	"NSW"	"University"	1228900.35	"Public Health"	"Health Promotion"	"accidental falls"	"aged health"	"exercise training"	"prevention"	"balance"	"Falls are common in older people. Balance training can prevent falls, but poor compliance calls for new initiatives. This study will use simple mobile technology to deliver an innovative home-based exercise program to older people. It lays the groundwork for the widespread, national and international implementation of the StandingTall program. It provides scope for further broad scale implementation and a model for incorporating StandingTall into existing health services and routine care."
1151959	2018-04-26	"Prof John Kaldor"	"Partnerships"	"Partnership Project for Better Health"	"Protecting the blood supply against infectious disease by strengthening the evidence base that guides donor selection and screening policy"	"University of New South Wales"	"NSW"	"University"	730496.1	"Public Health"	"Public Health and Health Services not elsewhere classified"	"blood transfusion"	"infectious diseases"	"risk assessment"	"economic analysis"	"population studies"	"Donor deferral & screening strategies have been highly effective in reducing the risk of acquiring infections from blood/blood products in Australia. Yet every decision about deferral/screening has a range of costs, so must be weighed carefully using the best available evidence on risk & benefit. We propose to work with the Australian Red Cross Blood Service to strengthen its processes for risk/benefit evaluation to support the overall framework for decision making on donor screening/eligibility"
1152217	2018-04-26	"Prof Tamara Ownsworth"	"Partnerships"	"Partnership Project for Better Health"	"Evaluation of a tele-health intervention for delivering psychosocial support to people with brain tumour and their families"	"Griffith University"	"QLD"	"University"	376857.98	"Health Services Research"	"Health, Clinical and Counselling Psychology"	"brain tumours"	"psychosocial"	"psychological treatment"	"telemedicine"	"cost-effectiveness"	"Researchers will partner with the Cancer Council Queensland and Princess Alexandra Hospital to evaluate a telehealth format of the Making Sense of Brain Tumour (MAST) program. We aim to determine whether the Tele-MAST program improves the mood and quality of life of people with brain tumour to a greater extent than routine care. This will help to establish an effective and easy to access psychological support program that can be integrated into existing statewide cancer support services."
1152853	2018-04-26	"Prof Meg Morris"	"Partnerships"	"Partnership Project for Better Health"	"A Public-Private Partnership to Reduce Falls in Australian Hospitals"	"La Trobe University"	"VIC"	"University"	556085.2	"Clinical Medicine and Science"	"Clinical Sciences not elsewhere classified"	"falls prevention"	"nursing practice"	"allied health"	"hospitals"	"education"	"Falls are a serious problem in Australia’s hospitals and can increase hospital length of stay. This public-private partnership shall implement service delivery changes to prevent falls. Evidence based methods of falls prevention will be implemented and clinicians trained in falls risk assessment and management. Patients will be educated to help prevent falling. A community of practice supported by educational resources, policies and procedures shall facilitate best practice and behaviour change."
1152653	2018-04-26	"Prof Gail Garvey"	"Partnerships"	"Partnership Project for Better Health"	"Collaboration and Communication in Cancer Care for Aboriginal and Torres Strait Islander People: The 4Cs Project improving patient-centred care and treatment outcomes"	"Menzies School of Health Research"	"NT"	"Research Institutes"	507044.5	"Health Services Research"	"Aboriginal and Torres Strait Islander Health"	"indigenous"	"cancer care"	"health literacy"	"communication"	"health information"	"This project brings together experienced Indigenous health researchers, health professionals, experts in policy and practice implementation and health economics with an overarching objective of improving cancer care for Indigenous people undergoing cancer treatment."
1152778	2018-04-26	"Prof Susan Davis"	"Partnerships"	"Partnership Project for Better Health"	"Optimising the health of women at midlife to minimise immediate and long-term morbidity."	"Monash University"	"VIC"	"University"	675880.6	"Clinical Medicine and Science"	"Endocrinology"	"women's health"	"menopause"	"healthy ageing"	"preventive medicine"	"primary care"	"This Partnership Project will provide new national clinical practice guidelines for menopause and midlife women’s health care, identify limitations to the delivery of comprehensive midlife care from the perspective of both general practitioners and women, and evaluate the utility of pre-consultation assessment to ensure midlife women’s health care delivery is comprehensive and individualised."
1152793	2018-04-26	"A/Pr Carol Hodgson"	"Partnerships"	"Partnership Project for Better Health"	"The EXCEL Project: A collaborative approach to improve outcomes of Australian patients with acute heart failure and cardiac arrest requiring extracorporeal life support"	"Monash University"	"VIC"	"University"	692656.8	"Clinical Medicine and Science"	"Intensive Care"	"critical illness"	"cardiovascular disease"	"cardiovascular complications"	"clinical outcome"	"clinical decision making"	"Patients with severe heart failure and cardiac arrest sometimes need an external machine to oxygenate and pump their blood, which is called extracorporeal membrane oxygenation (ECMO). ECMO is extremely expensive, and the use of ECMO across Australia has doubled in five years without key information about the risks and benefits. This partnership will bring together experts in heart failure, clinical trials, registries and evidence translation to systematically improve outcomes for these patients."
1153481	2018-04-26	"Prof Debra Rickwood"	"Partnerships"	"Partnership Project for Better Health"	"Building a Lifeline for the future: Expectations, innovations, outcomes"	"University of Canberra"	"ACT"	"University"	1116891.6	"Health Services Research"	"Public Health and Health Services not elsewhere classified"	"suicide prevention"	"internet service delivery"	"mental health"	"perceived needs"	"outcome assessment"	"This research addresses critical evidence gaps for Australia’s only national 24-hour crisis service, Lifeline, by identifying the types of help-seekers it is expected to support and outcomes to achieve, developing reliable and innovative ways to measure actual help-seeker types and outcomes across different modalities (call, chat, text), and determining whether fidelity to the crisis support practice model achieves appropriate outcomes for all help-seeker types and across all modalities."
1152800	2018-04-26	"A/Pr Alicia Spittle"	"Partnerships"	"Partnership Project for Better Health"	"Early diagnosis and early intervention for infants with cerebral palsy: implementation of international evidence-based guidelines into practice"	"University of Melbourne"	"VIC"	"University"	1196361.9	"Clinical Medicine and Science"	"Paediatrics"	"cerebral palsy"	"early intervention"	"physiotherapy"	"neurodevelopment"	"premature infant"	"Each year, 600 Australians are born with cerebral palsy. Despite most cases of cerebral palsy resulting from an injury to the developing brain prior to or around the time of birth, only 26% of infants get an early diagnosis before 6 months, delaying treatment and prevention of secondary complication. Early diagnosis of cerebral palsy enables earlier intervention and prevention of complications. This partnership grant ultimate goal is to reduce the age of cerebral palsy diagnosis in Australia."
1152807	2018-04-26	"Prof Tim Stinear"	"Partnerships"	"Partnership Project for Better Health"	"Controlling Buruli ulcer in Victoria"	"University of Melbourne"	"VIC"	"University"	1499593.9	"Public Health"	"Medical Bacteriology"	"mycobacterial infection"	"skin ulcer"	"public health"	"epidemiology"	"vector control"	"Buruli ulcer is an ulcerative skin disease caused by the bacterium, Mycobacterium ulcerans. Buruli ulcer cases have been increasing alarmingly around the bayside suburbs of Melbourne and Geelong in Victoria. Here a cluster randomized intervention study will target mosquitoes in affected areas and stop the spread of Buruli ulcer. This project will provide for the first time the urgently needed evidence that will directly inform public health policies to control this emerging disease."
1153051	2018-04-26	"Dr Jo Robinson"	"Partnerships"	"Partnership Project for Better Health"	"An integrated response to suicide risk among secondary schools: A regionally-based randomised trial"	"University of Melbourne"	"VIC"	"University"	666281	"Public Health"	"Mental Health"	"suicide prevention"	"school-based intervention"	"education"	"internet service delivery"	"cognitive behaviour therapy"	"Youth suicide is a significant problem. This school-based project represents a partnership with the Department of Education and Training and Lifeline. It aims to reduce suicide risk, improve identification of at-risk youth, and increase help-seeking and health service use. It combines educational workshops, case detection, and online treatment. The program will be tested among high school students across North West Melbourne and if effective rolled out nationally via Lifeline’s networks."
1153578	2018-04-26	"Prof John Hopper"	"Partnerships"	"Partnership Project for Better Health"	"Taking Breast Cancer Risk Prediction to the Next Level and Making it Accessible"	"University of Melbourne"	"VIC"	"University"	478079.1	"Public Health"	"Epidemiology"	"breast cancer"	"genetic risk factors"	"mammography"	"statistics"	"computer-based decision support"	"Women vary enormously in their risk of breast cancer, but screening and prevention programs in Australia and across the world have largely ignored this despite new strong risk factors being identified in the last few decades.     We are developing better risk measures based on genetics, mammograms and family history. We are making new and improved risk prediction tool (BRISK) widely accessible to women, and to their health providers, on the Internet."
1153046	2018-04-26	"Prof H. Peter Soyer"	"Partnerships"	"Partnership Project for Better Health"	"Implementation of an innovative teledermatology network for the early detection of melanoma in high risk Australians"	"University of Queensland"	"QLD"	"University"	1195648.7	"Health Services Research"	"Dermatology"	"melanoma"	"early detection"	"telemedicine"	"health economics"	"implementation"	"This project aims to improve the early detection of melanoma for those at highest risk, using recent advances in imaging technology. We will also examine how telehealth approaches (eg. secure on-line transfer and assessment of images) can improve access to specialised monitoring of moles. Detecting melanoma as early as possible will result in improved treatment outcomes and reduce the burden melanoma places on individuals, their families and the health system."
1153439	2018-04-26	"Prof Matthew Kiernan"	"Partnerships"	"Partnership Project for Better Health"	"Motor Neurone Disease: Patient centred care for a progressive neurological disease - evidence driving policy."	"University of Sydney"	"NSW"	"University"	771042.3	"Clinical Medicine and Science"	"Neurology and Neuromuscular Diseases"	"motor neuron disease (MND)"	"neurodegeneration"	"neurology"	"data linkage"	"patient/professional communication"	"Motor neurone diseases (MNDs) are adult-onset neurodegenerative disorders where progressive motor weakness leads to death, usually from respiratory failure within 2-3 years. The aim of this project is to create a national data capture app that collects health information from patients that can be used by them and their healthcare providers to manage their own health needs and furthermore can be collated to inform research and in turn direct national policy."
1152999	2018-04-26	"Dr Verity Cleland"	"Partnerships"	"Partnership Project for Better Health"	"Health by Stealth: Developing strategies to increase active and public transport"	"University of Tasmania"	"TAS"	"University"	272361.6	"Public Health"	"Public Health and Health Services not elsewhere classified"	"physical activity"	"behaviour change"	"behavioural epidemiology"	"randomised controlled trial (RCT)"	"environmental influences"	"Globally, one third of adults are not active at recommended levels, putting them at major risk of disease and early death. A focus on healthy travel – walking, cycling, public transport – provides an under-explored opportunity to increase physical activity. However, we know little about travel behaviour patterns, the factors influencing these, and the best ways to increase active travel. This project will work closely with key stakeholders to address these important knowledge and practice gaps."
1152086	2018-04-26	"Dr Hayley Christian"	"Partnerships"	"Partnership Project for Better Health"	"Evidence-informed physical activity policy for early childhood education and care"	"University of Western Australia"	"WA"	"University"	406759	"Public Health"	"Community Child Health"	"physical activity"	"child care centres"	"policy development"	"policy evaluation"	"child health"	"Daily physical activity is critical for children’s health and development. Two thirds of young children do not achieve the recommended level of physical activity.  Early childhood education and care  services are a key setting to intervene to increase physical activity. This project will provide evidence-informed policy and implementation strategies for creating environments that give Australian children a physically active and healthy start to life."
1152623	2018-07-02	"Prof Christopher Rowe"	"Boosting Dementia Research Grants -Priority Round 3"	"National Dementia Network"	"The Australian Dementia Network (ADNeT): Bringing together Australia’s dementia stakeholders"	"University of Melbourne"	"VIC"	"University"	1.8e+07	"Clinical Medicine and Science"	"Mental Health"	"dementia"	"dementia care"	"therapy"	"databases"	"diagnostic method"	"The Australian Dementia Network (ADNeT) will bring together Australia’s leading dementia researchers and clinicians in an effort to prevent or effectively treat dementia. We will develop strong linkages with consumers, community groups, service providers, charities and industry bodies. ADNeT will work to improve care, expand access to specialist services and advanced diagnostic methods, and speed the development of effective therapies and disease prevention strategies for all Australians."
9100003	2018-07-09	"Prof Andrew Wilson"	"Partnership Centre: Systems Perspective on Preventing Lifestyle-related Chronic Health Problems"	"Partnership Centre: Systems Perspective on Preventing Lifestyle-related Chronic Health Problems"	"Partnership Centre: Systems Perspective on Preventing Lifestyle-related Chronic Health Problems"	"The Sax Institute"	"NSW"	"Research Institutes"	7672589	"Health Services Research"	"Public Health and Health Services not elsewhere classified"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"The focus of the Partnership Centre on Systems Perspectives on Preventing Lifestyle-Related Chronic Health Problems (the Prevention Partnership Centre) will be the inter-relation of health and non-health systems with regard to primary prevention and chronic health problems.  Day-to-day, the Prevention Partnership Centre will concentrate on the range of programs, policies, funding structures, data systems, workforce capacities, evidence gaps, implementation experiences, collaborations, accountability mechanisms and even the language of prevention itself, that make it easier or harder to support healthy lifestyle choices and promote health equity.  It will undertake an integrated program of work designed to enable policy and program developers to make better decisions about the strategies and structures to prevent lifestyle-related chronic conditions in Australia."
1150496	2018-07-26	"Prof Robert Sanson-Fisher"	"Targeted Calls for Research"	"Depression, anxiety and suicide among elderly Australians"	"A randomised controlled trial of an online peer support intervention for reducing symptoms of depression among community-dwelling older adults living in rural Australia"	"University of Newcastle"	"NSW"	"University"	496233.1	"Health Services Research"	"Aged Health Care"	"ageing"	"mental health"	"internet service delivery"	"social support"	"randomised controlled trial (rct)"	"Maintaining social connections as an individual ages is important to mental health. Older Australians living in rural areas are particularly at risk of social isolation, which may increase their likelihood of experiencing depression. The aim of this study is to develop and test the effectiveness of an online community in reducing depression among older Australians living in regional and rural adults. If effective, this study will provide a useful platform to combat social isolation."
1150529	2018-07-26	"Prof Osvaldo Almeida"	"Targeted Calls for Research"	"Depression, anxiety and suicide among elderly Australians"	"BAN-Dep: A trial to decrease the prevalence of depression in Australian Nursing Homes"	"University of Western Australia"	"WA"	"University"	864281.8	"Clinical Medicine and Science"	"Psychiatry (incl. Psychotherapy)"	"depression"	"behavioural intervention"	"internet"	"randomised controlled trial (rct)"	"nursing homes"	"Depression is common among residents of aged care facilities, although symptoms are often not detected or treated. The Professional Education to Aged Care (PEAC) is a beyondblue e-learning platform designed to enhance knowledge about depression and anxiety in residential care. This trial aims to test whether the addition of a behavioural activation component is more efficacious than the PEAC alone in reducing the frequency of depressive symptoms among nursing home residents."
1150655	2018-07-26	"Prof Andrew Page"	"Targeted Calls for Research"	"Depression, anxiety and suicide among elderly Australians"	"Evidence for suicide prevention in planning transitions from employment to retirement in older age populations"	"University of Western Sydney"	"NSW"	"University"	233914	"Public Health"	"Mental Health"	"suicide"	"employment"	"ageing population"	"mental health services"	"prevention"	"This study will investigate the impact of changes in employment status in older aged Australians  on subsequent risk of suicidal behaviour, and the extent to which this risk is modified by referral pathways within mental health services and the role of other social supports."
1150902	2018-07-26	"A/Pr Sunil Bhar"	"Targeted Calls for Research"	"Depression, anxiety and suicide among elderly Australians"	"ELders AT Ease Program (ELATE): A cluster randomised controlled trial of a sustainable and scalable mental health service for Australian residential aged care facilities"	"Swinburne University of Technology"	"VIC"	"University"	985750.6	"Health Services Research"	"Health, Clinical and Counselling Psychology"	"aged care"	"older people"	"therapy"	"health care delivery"	"outcomes research"	"Elders living in residential facilities suffer significant levels of depression or anxiety. This study examines an innovative program to improve mental health of residents living in such facilities.  The program involves counselling, staff training and family support. The study uses a cluster randomised controlled trial of facilities to evaluate the impact of ELATE: Elders at Ease Program” on residents’ psychological wellbeing, staff knowledge, family carer stress and, health care costs."
1151065	2018-07-26	"Prof Colleen Doyle"	"Targeted Calls for Research"	"Depression, anxiety and suicide among elderly Australians"	"The impact of befriending on depression, anxiety, social support and loneliness in older adults living in residential aged care facilities"	"National Ageing Research Institute"	"VIC"	"Research Institutes"	652734.35	"Health Services Research"	"Aged Health Care"	"depression"	"aged care"	"services research"	"social support"	"anxiety"	"About half of people living in residential aged care facilities may have significant depression symptoms. Many residents are socially isolated in RACFs even though they are in communal living, and social isolation is a contributor to depression. We propose a trial of befriending which is emotional and social support from trained volunteers. Volunteers will be trained using Beyondblue resources and a manual developed by the investigators."
1151138	2018-07-26	"A/Pr Viviana Wuthrich"	"Targeted Calls for Research"	"Depression, anxiety and suicide among elderly Australians"	"Translating Evidence-Based Psychological Interventions for Older Adults with Depression and Anxiety into Public and Private Mental Health Settings Using a Stepped Care Framework"	"Macquarie University"	"NSW"	"University"	1022888.6	"Clinical Medicine and Science"	"Health, Clinical and Counselling Psychology"	"depression"	"anxiety"	"suicide"	"ageing population"	"health care delivery"	"This project aims to evaluate the feasibility of implementing evidence based psychological interventions to treat geriatric depression and anxiety in real world (public and private) mental health settings. The outcomes of this research will provide important information about how to effectively translate evidence-based low intensity and moderate intensity interventions into routine care, and the cost benefits associated with such a model."
1151186	2018-07-26	"Prof Ronald Rapee"	"Targeted Calls for Research"	"Depression, anxiety and suicide among elderly Australians"	"Improving Mental Health and Social Participation Outcomes in Older Adults with Depression and Anxiety"	"Macquarie University"	"NSW"	"University"	780652.2	"Clinical Medicine and Science"	"Health, Clinical and Counselling Psychology"	"anxiety"	"depression"	"suicide risk"	"cognitive behaviour therapy"	"ageing"	"This study will evaluate a comprehensive treatment program for older adults who are suffering depression and anxiety. We expect that this new treatment program will be more powerful than standard cognitive behavioural therapy. Through this treatment we will increase social participation and quality of life and reduce depression and anxiety in older Australians."
1152945	2018-08-13	"Prof Sharon Naismith"	"Centres of Research Excellence"	"Centre of Research Excellence - Clinical"	"Centre of Research Excellence to Optimise Sleep in Brain Ageing and Neurodegeneration (CogSleep)"	"University of Sydney"	"NSW"	"University"	2499557.28	"Clinical Medicine and Science"	"Clinical Sciences not elsewhere classified"	"sleep disturbance"	"ageing"	"neurodegenerative disorders"	"biomarkers"	"intervention"	"The Centre of Research Excellence for Optimising Sleep in Brain Ageing and Neurodegeneration will investigate the bidirectional relationship between the disturbances of the sleep or circadian (sleep-wake) systems to brain degeneration.    The CRE will provide outstanding academic training, clinical infrastructure, expertise and platforms to investigate new biomarkers, technology and novel clinical trials to examine all major forms of dementia and major sleep disorders affecting older people."
1152952	2018-08-13	"Prof Helen Christensen"	"Centres of Research Excellence"	"Centre of Research Excellence - Population Health"	"Centre of Research Excellence in Suicide Prevention: CRESP II"	"University of New South Wales"	"NSW"	"University"	2466909.5	"Public Health"	"Mental Health"	"suicide prevention"	"suicide risk"	"depression"	"epidemiology"	"adolescence"	"Suicide is a leading cause of death in working age Australians. To address this issue, we need better and earlier interventions online and in schools, workplaces, and healthcare settings. This research centre will focus on developing and evaluating scalable and cost-effective technology-enhanced interventions, and translating these into practice."
1152968	2018-08-13	"Prof Anna Peeters"	"Centres of Research Excellence"	"Centre of Research Excellence - Population Health"	"A Center of Research Excellence in Food Retail Environments for Health (RE-FRESH)"	"Deakin University"	"VIC"	"University"	2498650.6	"Public Health"	"Public Health and Health Services not elsewhere classified"	"population health"	"food intake"	"healthy eating"	"obesity"	"policy evaluation"	"The Centre of Research Excellence in Food Retail Environments for Health (RE-FRESH) will transform the retail environments in which citizens buy their food and drink to improve our population’s diet and health. As the first international Centre for healthy food retail research and practice, RE-FRESH will leverage cross-disciplinary research collaborations to build the evidence, tools and capacity we need to encourage uptake of proven interventions that make our food retail environments healthier"
1153027	2018-08-13	"Prof Gail Garvey"	"Centres of Research Excellence"	"Centre of Research Excellence - Health Services"	"Targeted Approaches To Improve Cancer Services for Aboriginal and Torres Strait Islander Australians"	"Menzies School of Health Research"	"NT"	"Research Institutes"	2499981	"Health Services Research"	"Aboriginal and Torres Strait Islander Health"	"indigenous health"	"cancer care"	"cancer screening"	"psycho-oncology"	"wellbeing"	"This CRE aims to increase cancer prevention and early detection of cancer, improve diagnosis and treatment, and provide appropriate care to enhance psychosocial wellbeing of Indigenous Australians affected by cancer. This collaborative Indigenous-led CRE involves translation to policy and practice, ensuring knowledge leads to improvements in cancer care for Indigenous people and building research capacity through training the next generation of Indigenous research leaders."
1153049	2018-08-13	"Prof Geoffrey Lindeman"	"Centres of Research Excellence"	"Centre of Research Excellence - Clinical"	"Centre for Translational Breast Cancer Research (TransBCR): delivering laboratory discoveries to the clinic"	"Walter and Eliza Hall Institute of Medical Research"	"VIC"	"Research Institutes"	2496428.4	"Clinical Medicine and Science"	"Molecular Targets"	"breast cancer"	"clinical trial"	"biomarkers"	"training"	"translational research"	"TransBCR is a cooperative multidisciplinary translational research program, leveraging off newly established Comprehensive Cancer Centres and Clinical Trial Groups including Cancer Trials Australia and Breast Cancer Trials. TransBCR’s mission is to bridge the translational gap (the ‘Valley of Death’) between world-class research discoveries and their transfer to early phase trials for patients with breast cancer, while advancing the training of the next generation of breast cancer researchers."
1153176	2018-08-13	"A/Pr Jeanie Cheong"	"Centres of Research Excellence"	"Centre of Research Excellence - Clinical"	"CRE in Newborn Medicine"	"Murdoch Childrens Research Institute"	"VIC"	"Research Institutes"	2496997.3	"Clinical Medicine and Science"	"Paediatrics and Reproductive Medicine not elsewhere classified"	"neonate"	"resuscitation"	"respiratory distress syndrome (rds)"	"neurodevelopment"	"magnetic resonance imaging (mri)"	"With increasing birth rates, come more babies who are unwell at birth and need help. Some will go on to have lifelong problems. We need to improve how we help these babies from when they are born, to the developmental problems they face later on. The CRE in Newborn Medicine will address these areas, and use modern technologies to facilitate new knowledge transfer to stakeholders. We will train future generations of research leaders to constantly improve outcomes for all newborns."
