Year,Name,"Award Category",Award,"Higher Education Institution","Partner (where applicable)",Discipline,"Project Title","ORCID ID"
2002,Albert Ruth,"Principal Investigator-led","Basic Research Grant Scheme","University College Cork",,STEM,"Radial Detection and Ultra-Trace Sensing using Diode Laser Based Cavity Anhanced Absorbtion Spectroscopy",
2002,Andrew Nisbet,"Principal Investigator-led","Basic Research Grant Scheme","Trinity College Dublin",,STEM,"Hardware Acceleration of High Performance Computing Applications",
2002,Andy Shearer,"Principal Investigator-led","Basic Research Grant Scheme","National University of Ireland, Galway",,STEM,"Observations of Isolated Nuetrons  Starrs And Magnetars",
2002,Aoife Boyd ,"Principal Investigator-led","Basic Research Grant Scheme","Trinity College Dublin",,STEM,"Modulation of the Host Immune Response by Effector Proteins of the Type III Secretion System of Bordetella Pertussis",
2002,Carmel Hensey,"Principal Investigator-led","Basic Research Grant Scheme","University College Dublin",,STEM,"Apoptosis during Early Devlopment in Xenopus Embryos: A Role for the P53 Tumour Supressor Protei",
2002,Caroline Herron,"Principal Investigator-led","Basic Research Grant Scheme","University College Dublin",,STEM,"Electrophysiological and Biochemical Investigation of the Cyclooxygenase-2(COX-2 Signalling in Hippocampal Synaptic Plasticity",
2002,Cathal Walsh,"Principal Investigator-led","Basic Research Grant Scheme","Trinity College Dublin",,STEM,"Bayesian Relisability Modelling of Short Fatigue Crack Interaction",
2002,Celia Holland,"Principal Investigator-led","Basic Research Grant Scheme","Trinity College Dublin",,STEM,"A Murine Model For Cerebral Toxocariasis: Characterization Of Susceptibility, Behaviour and Immune Response",
2002,Colin Hill,"Principal Investigator-led","Basic Research Grant Scheme","University College Cork",,STEM,"Characterisation of the Lisrk Two-Component Signal Transduction System Involved in Stress Sensing & Virulence In Listeria Monocytogenes",
2002,Conor O'Byrne,"Principal Investigator-led","Basic Research Grant Scheme","National University of Ireland, Galway",,STEM,"E Coli as a Model System for Understanding Hyperhomocysteinemia In Humans",
2002,Dan Bradley,"Principal Investigator-led","Basic Research Grant Scheme","Trinity College Dublin",,STEM,"Ancient DNA Analysis of Irish Mammals: Temporal and Spatial Phylogeography",
2002,David Timoney,"Principal Investigator-led","Basic Research Grant Scheme","University College Dublin",,STEM,"A Novel Diagnostic Method for Emissions Control in Diesel Engine Combustion Systems",
2002,Edmond Magner,"Principal Investigator-led","Basic Research Grant Scheme","University of Limerick",,STEM,"The Electrochemical and Catalytic Properties of Peroxidases in Organic Solvents",
2002,Edward Timoshenko,"Principal Investigator-led","Basic Research Grant Scheme","University College Dublin",,STEM,"Novel Methods in Self-Assembly of Chiral Charged Semiflexible Heteropolymers and Polypeptides in Solution",
2002,Finbarr O'Sullivan,"Principal Investigator-led","Basic Research Grant Scheme","University College Cork",,STEM,"Statistical Methods for the Analysis of Wind Wave Fields",
2002,Finian Martin,"Principal Investigator-led","Basic Research Grant Scheme","University College Dublin",,STEM,"Molecular Analysis of Gene Expression Patterns in the Terminal End Bud of the Developing Mammary Gland",
2002,Helen Gallagher,"Principal Investigator-led","Basic Research Grant Scheme","University College Dublin",,STEM,"Cyclin-Dependent Control of Neuronal Proliferation, Differentiation and Death: Relevance to Neurodegeneration",
2002,J.M.Donal Macelroy,"Principal Investigator-led","Basic Research Grant Scheme","University College Dublin",,STEM,"Novel Membranes for High Temperature Separation CO2 from Combustion Exhaust Gases",
2002,James Lunney,"Principal Investigator-led","Basic Research Grant Scheme","Trinity College Dublin",,STEM,"Development of Langmuir Probes for Supersonic Plamsa Flows",
2002,James Sullivan,"Principal Investigator-led","Basic Research Grant Scheme","University College Dublin",,STEM,"The use of Zeolites as Low Temperature SCR-Urea Catalysts and Nox Trapping Materials",
2002,Jim Greer,"Principal Investigator-led","Basic Research Grant Scheme","University College Cork",,STEM,"Accurate Calculation of Electronic Excitation Spectra for Molecules",
2002,John Davenport,"Principal Investigator-led","Basic Research Grant Scheme","University College Cork",,STEM,"Oxygen Gradients in Aquatic Systems: Implications for Animal Metabolism and Respirometry",
2002,John Murphy,"Principal Investigator-led","Basic Research Grant Scheme","Maynooth University",,STEM,"Optical Design of the Quest Telescope to Map the Polarization Properties of the Cosmic Microwave Background",
2002,John Walsh,"Principal Investigator-led","Basic Research Grant Scheme","University College Dublin",,STEM,"Structural Evolution of the Galmoy Mineral Deposit and its Implications for Pb-Zn Deposits of South Central Ireland",
2002,Justin Holmes,"Principal Investigator-led","Basic Research Grant Scheme","University College Cork",,STEM,"The Preparation and Characterisation of Ordered 2D Nanowire Arrays",
2002,K Devine,"Principal Investigator-led","Basic Research Grant Scheme","University College Cork",,STEM,"Differential Response of Potatoe Cyst Nematode Species (Globodera Rostoschiensis and G. Pallida) to Hatching Factors and its Impact on Inter-Species Competition in the Field",
2002,Kevin Hutchinson,"Principal Investigator-led","Basic Research Grant Scheme","University College Dublin",,STEM,"Quadratic Forms, Algebraic K Theory and Central Simple Algebras",
2002,Kieran Nolan,"Principal Investigator-led","Basic Research Grant Scheme","Dublin City University",,STEM,"The Development of New Chemoreceptors for Biomedical Application by Solid Support Synthesis",
2002,Lorraine Hanlon,"Principal Investigator-led","Basic Research Grant Scheme","University College Dublin",,STEM,"A Robotic Telescope for Rapid Observations of Gamma Ray Bursts and Detection of Extra Solar Planets",
2002,Mads Haahr,"Principal Investigator-led","Basic Research Grant Scheme","Trinity College Dublin",,STEM,"Peer-To Peer Infrastructure Simulation, Evaluation and Inplementation Architecture (PISEIA)",
2002,Martin Downes,"Principal Investigator-led","Basic Research Grant Scheme","Maynooth University",,STEM,"Sex and Mortality Factors in Entomopathogenic Nematodes (SEXMORT)",
2002,Martin Henry,"Principal Investigator-led","Basic Research Grant Scheme","Dublin City University",,STEM,"Exploiting Radioactive Isotopes for Impurity Analysis of ZnO at the ISOLDE Facility in CERN",
2002,Martin Stynes,"Principal Investigator-led","Basic Research Grant Scheme","University College Cork",,STEM,"A Priori Bounds for Solutions of Convection-Diffusion Problems",
2002,Michael Kennedy,"Principal Investigator-led","Basic Research Grant Scheme","University College Cork",,STEM,"Nonlinear Dynamics Based Designed Methodology for SPLL: Based Frequency Synthesizers",
2002,Michael Lyons,"Principal Investigator-led","Basic Research Grant Scheme","Trinity College Dublin",,STEM,"Magnetically Treated Nonstructured Assemblies",
2002,Michael McCarthy,"Principal Investigator-led","Basic Research Grant Scheme","University of Limerick",,STEM,"A Study Of Damage Initiation and Growth In Composite Bolted Joints",
2002,Michael Rowan,"Principal Investigator-led","Basic Research Grant Scheme","Trinity College Dublin",,STEM,"Synaptic Toxicity of Oligomeric Fragments of Amyloid Precursor and Prion Proteins",
2002,Mikael Fernstròm,"Principal Investigator-led","Basic Research Grant Scheme","University of Limerick",,AHSS,"Enhancing Browsing Behaviours Using Mutlimodal Systems",
2002,Monica Ward,"Principal Investigator-led","Basic Research Grant Scheme","Dublin City University",,STEM,"Intergrated Techniquies from Computational Linguistics into Computer Assisted Language Learning",
2002,M-Tahar Kehadi,"Principal Investigator-led","Basic Research Grant Scheme","University College Dublin",,"Mathematics and Statistics","Mathpad:Pen-Based Input of Mathematical Expressions",
2002,Nathan Quinlan,"Principal Investigator-led","Basic Research Grant Scheme","National University of Ireland, Galway",,STEM,"Development and Validation of Smoothing Particle Hydrodnamics Techniques for Engineeing Fluid Dynamics",
2002,Patrick Guiry,"Principal Investigator-led","Basic Research Grant Scheme","University College Dublin",,STEM,"A Study of Electronic and Steric Effects in Axially Chiral P-N Ligands for Asymmetric Catalysis",
2002,Patrick McNally,"Principal Investigator-led","Basic Research Grant Scheme","Dublin City University",,STEM,"The Growth of a Wide Band Gap Direct Band Gap Optoelectronics Material on Silicon Substrates Y-CuCl On Si",
2002,Paul Kruger,"Principal Investigator-led","Basic Research Grant Scheme","Trinity College Dublin",,STEM,"New Paradigms for Anion Binding and Sensing: Toward the Detection of Biologically Environmentally and Medically Relevant Species",
2002,Paul O'Toole,"Principal Investigator-led","Basic Research Grant Scheme","University College Cork",,STEM,"The Role of the Birb11 Atpase HP1421 in the Human Gastric Pathogen Helicobacter Pylori",
2002,Peter McHugh,"Principal Investigator-led","Basic Research Grant Scheme","National University of Ireland, Galway",,STEM,"Microscale Modelling of Wear Behaviour of Thin Self-Lubricating Coatings",
2002,Raphael Darcy,"Principal Investigator-led","Basic Research Grant Scheme","University College Dublin",,STEM,"Complementary Carbohydrate Moleculates that Self Assemble in Water",
2002,Rosemary O'Connor,"Principal Investigator-led","Basic Research Grant Scheme","University College Cork",,STEM,"Characterisation of a Novel Gene that is expressed as IGF-1-Regulated Alternatively Apliced Isoforms",
2002,Russell Duane,"Principal Investigator-led","Basic Research Grant Scheme","University College Cork",,STEM,"Development of a Microelectronic Device for Direct Measurement of Electrical Transport in DNA Molecules",
2002,Simon Elliot,"Principal Investigator-led","Basic Research Grant Scheme","University College Cork",,STEM,"FeOx: Simulating Biomineral Growth and Surface Order in Iron Oxides",
2002,Stephen Daly,"Principal Investigator-led","Basic Research Grant Scheme","University College Dublin",,STEM,"Neoproterozoic Orogeny in the Caledonides of Ireland And Northern Scandinavia",
2002,Sylvia Draper,"Principal Investigator-led","Basic Research Grant Scheme","Trinity College Dublin",,STEM,"Novel Heterosuperbenzenes as Ligands in Photoactive Transition Metal Coordination Complexes",
2002,Thomas Roche,"Principal Investigator-led","Basic Research Grant Scheme","Galway-Mayo Institute of Technology",,STEM,"Intelligent Agent-Based Collaborative Design Information Mangement and Support Tools (I-DIMS)",
2002,"Timothy P. Smyth","Principal Investigator-led","Basic Research Grant Scheme","University of Limerick",,STEM,"Synthesis of a DNA-Minor-Groove-Binding Agent Prodrug for Site-Specific Release",
2002,Timothy Foster,"Principal Investigator-led","Basic Research Grant Scheme","Trinity College Dublin",,STEM,"Processing of the Thiolactone Peptide Density-Dependent Auto-Inducer of the Agr Regulon of Staphylococcus Aureus involves a Novel Membrane-Associated Peptidase",
2002,Tom Carroll,"Principal Investigator-led","Basic Research Grant Scheme","University College Cork",,AHSS,"Empirical and Theoretical Studies of the Volatility of Irish Stock Prices",
2002,Tom Coffey,"Principal Investigator-led","Basic Research Grant Scheme","University of Limerick",,STEM,"Automate Verification of Securty Protocols",
2002,Vincent O'Flaherty,"Principal Investigator-led","Basic Research Grant Scheme","National University of Ireland, Galway",,STEM,"Low-Temperature Anaerobic Biotreament of Wastewaters Containing Aromatic Pollutants",
2004,Aine Kelly,"Principal Investigator-led","Basic Research Grant Scheme","Trinity College Dublin",,STEM,"Neurotrophins and Hippocampal Plasticity: Mechanisms of Signal Transduction",
2004,Ambrose Furey,"Principal Investigator-led","Basic Research Grant Scheme","Munster Technological University",,STEM,"Exploration of the Structural Variations and Proteomic Effects of Azaspiracid Biotoxins",
2004,Andrew Hillmann,"Principal Investigator-led","Basic Research Grant Scheme","National University of Ireland, Galway",,STEM,"Molecular Mechanisms of Megakaryocytopoiesis",
2004,Catherine Stenson-Cox,"Principal Investigator-led","Basic Research Grant Scheme","National University of Ireland, Galway",,STEM,"Identification and Characterisation of the Novel Serine Proteases ASP-1 and ASP-2 In The Apoptotic Pathway",
2004,Daniel Bradley,"Principal Investigator-led","Basic Research Grant Scheme","Trinity College Dublin",,AHSS,"Human Colonisation Routes and the Origins Of Irish Mammals",
2004,"Declan Delaney","Principal Investigator-led","Basic Research Grant Scheme","Maynooth University",,AHSS,"Exploiting Psycho-Perceptual Effects to Combat Latency in Distributed Interactive Applications",
2004,Gareth Dyke,"Principal Investigator-led","Basic Research Grant Scheme","University College Dublin",,STEM,"The Early Evolution of Modern Birds: New Fossil Evidence from the Earliest Tertiary Of Denmark",
2004,"Jim Greer","Principal Investigator-led","Basic Research Grant Scheme","University College Cork",,STEM,"Correlated Electronic Transport",
2004,John Baugh,"Principal Investigator-led","Basic Research Grant Scheme","University College Dublin",,STEM,"Hypoxic Regulation of Macrophage Migration Inhibitory Factor and its Role in Fibroproliferation",
2004,Jonathan Coleman,"Principal Investigator-led","Basic Research Grant Scheme","Trinity College Dublin",,STEM,"High Performance Polymer-Nanotube Composites: Plastics as Strong as Steel",
2004,Luigina Ciolfi,"Principal Investigator-led","Basic Research Grant Scheme","University of Limerick",,AHSS,"Re-Shaping Spaces into Places for Nomadic Users of Interactive Artefacts ",
2004,Sally-Ann Cryan,"Principal Investigator-led","Basic Research Grant Scheme","RCSI University of Medicine and Health Sciences",,STEM,"Overcoming the Proteolytic And Pharmacokinetic Barriers to Rslpi Therapy using Targeted Liposomal Carriers",
2004,Stephen Connon,"Principal Investigator-led","Basic Research Grant Scheme","Trinity College Dublin",,STEM,"Novel Chiral H-Bonding Organocatalysts for Enantioselective Synthesis",
2004,Yann Delaure,"Principal Investigator-led","Basic Research Grant Scheme","Dublin City University",,STEM,"Convective Heat Transfer Modelling in Two Phase Flow: A Numerical and Experimental Investigation",
2010,"Angela Byrne","Early Career",CARA,"Maynooth University",,AHSS,"Scientific and Cultural Researches in the Sub-Arctic: A Comparative Study of Exploratory Travels in Scandinavia and Canada, 1800–1830",
2010,"Barry Cannon","Early Career",CARA,"Dublin City University",,AHSS,"The Latin American Right in the Era of the 'Pink Tide': Democratic Consolidation or Counter-Revolution?",
2010,"Carrie Griffin ","Early Career",CARA,"University College Cork",,AHSS,"Learning and Information in the English Middle Ages and Early Modern Period: An Analysis of Textual Genres, Material Structures and Reorganisation",
2010,"Catherine Ware","Early Career",CARA,"Maynooth University",,AHSS,"Commentaries on Two Panegyrics of Constantine: PL XII(9) and VI(7)",
2010,"James Hanrahan","Early Career",CARA,"Maynooth University",,AHSS,"Creating and Controlling the 'Cri Public': The Philosophes and the Birth of Public Opinion",
2010,"John Cunningham","Early Career",CARA,"Trinity College Dublin",,AHSS,"Crisis, Conflict and Change in Seventeenth-century Ireland and Bohemia",
2010,"Justin Tonra ","Early Career",CARA,"National University of Ireland, Galway",,AHSS,"The Social and Cultural History of Thomas Moore: A Case Study in Globalisation",
2010,"Laura O'Brien","Early Career",CARA,"Trinity College Dublin",,AHSS,"Problematic Pasts: Creating and Negotiating the Memory of 1848 in France",
2010,"Liam Weeks","Early Career",CARA,"University College Cork",,AHSS,"Why not Independents? An Examination of the Consequences of an Independent Presence in a Political System",
2010,"Shane McCorristine ","Early Career",CARA,"Maynooth University",,AHSS,"Supernatural and Disembodied Experience in Nineteenth-Century Narratives of Arctic Exploration",
2011,"Adam Kelly","Early Career",CARA,"University College Dublin",,AHSS,"Twenty-First-Century American Fiction and the New Sincerity",
2011,"Cathal Kilcline","Early Career",CARA,"National University of Ireland, Galway",,AHSS,"Post-Colonial Cultures in French Sport: Practices, Locations, Representations",
2011,"Chiara Teldaldi","Early Career",CARA,"University College Dublin",,AHSS,"Civil War and Francoism in the Spanish Media Since 2007",
2011,"Conal Duddy ","Early Career",CARA,"National University of Ireland, Galway",,AHSS,"Social Choice Theory and Deliberative Democracy: Towards a Reconciliation",
2011,"Edward Collins","Early Career",CARA,"University College Dublin",,AHSS,"Iberian Contributions to European Scientific Endeavours in the Atlantic World in the Sixteenth and Seventeenth Centuries",
2011,"Esther Tippmann","Early Career",CARA,"Technological University Dublin",,AHSS,"Solving Critical Problems Locally: Subsidiary Middle Managers'. Interactions and Capability Development in Multinational Corporations (MNCs)",
2011,"Giorgios Papantoniou","Early Career",CARA,"Trinity College Dublin",,AHSS,"Unlocking' Sacred Landscapes: A Holistic Approach to Cypriot Sanctuaries and Religion",
2011,"James Ryan","Early Career",CARA,"University College Cork",,AHSS,"An Intellectual History of Soviet State Violence, 1917-1938",
2011,"Karen Brown","Early Career",CARA,"Trinity College Dublin",,AHSS,"Musing in the Museum: The Poetics of Ekphrasis from Yeats to Durcan",
2011,"Kathleen Middelton","Early Career",CARA,"Trinity College Dublin",,AHSS,"Memorialising the 'Killing Times': History, Religion and Nation in pre-Enlightenment Scotland",
2011,"Kevin O'Sullivan","Early Career",CARA,"University College Dublin",,AHSS,"The Humanitarian International: Aid, NGOs and Western Society, 1968-1985",
2011,"Michael Daly","Early Career",CARA,"University College Dublin",,AHSS,"Socioeconomic Status and Obesity: Testing the Role of Executive Functioning",
2011,"Niamh Cullen ","Early Career",CARA,"University College Dublin",,AHSS,"The Post-War Generation: Coming of Age in 1950s Italy",
2011,"Patrick Walsh","Early Career",CARA,"University College Dublin",,AHSS,"A Sinew of Power - State and Society in Eighteenth-Century Ireland, c.1680-c.1780",
2011,"Peter Crooks","Early Career",CARA,"Trinity College Dublin",,AHSS,"England's First Colony: Power, Conflict and Colonialism in English Ireland, 1361–1460",
2011,"Susan Grant","Early Career",CARA,"University College Dublin",,AHSS,"Soviet Nursing 1914-1939",
2017,"Abel Gari","Early Career",CAROLINE,Teagasc,"Gorta Self Help Africa","Plant sciences, Botany","Towards hybrid breeding using self-incompatibility in two grasses",
2017,"Ana Maria Sanchez Rodriguez","Early Career",CAROLINE,"Maynooth University","Handicap International","Equality Studies","Scaling community social innovation to promote inclusion in the implementation of the SDGs: An international, interdisciplinary and intersectoral perspective on women and girls with disabilities",
2017,"Andrea Ciribuco","Early Career",CAROLINE,"National University of Ireland, Galway",TAMAT,Languages,"Language Integration and New Communities in a Multicultural Society (LINCS)",
2017,"Bing Wu","Early Career",CAROLINE,"RCSI University of Medicine and Health Sciences","European Synchrotron Radiation Facility","Macromolecular and Materials Chemistry","Novel pOlymeric materials DEsigNed for drug delivery System (NODENS)",
2017,"Brynne Gilmore","Early Career",CAROLINE,"Trinity College Dublin","Concern Kenya",Sociology,"How do community participatory approaches influence behaviour change communication for health?: A realist evaluation of community conversations in Marsabit, Kenya",
2017,"Charlotte Blease","Early Career",CAROLINE,"University College Dublin","Beth Israel Deaconess Medical Center",Psychology,"An interdisciplinary analysis of informed consent to psychological treatments",
2017,"Dezhong Zhou","Early Career",CAROLINE,"University College Dublin","EB House Austria","Medical and Biomedical Engineering","A stem cell hydrogel skin substitute for the treatment of Recessive Dystrophic Epidermolysis Bullosa (RDEB)",
2017,"Dong Jin Kim","Early Career",CAROLINE,"Trinity College Dublin",Corrymeela,"Political Science","Comparative Studies on the Peace Processes in Northern Ireland and Korea: Toward Strategic Peacebuilding",
2017,"Ellie Rad","Early Career",CAROLINE,"Trinity College Dublin","Irish Cancer Society","Biochemistry and Molecular Biology","Towards improving the outcomes for lung cancer patients through better understanding of disease mechanisms.",
2017,"Hailemariam Ayalew  Tiruneh","Early Career",CAROLINE,"Trinity College Dublin","International Maize and Wheat Improvement Center",Economics,"Site-specific Agronomic Information, Technology Adoption and Farm Productivity: A Field Experiment in Sub Saharan Africa  ",
2017,"Juan Severino Pino Ibanez","Early Career",CAROLINE,"Trinity College Dublin","Amigos da Terra","Oceanography, Hydrology, Water Resources","SUBACID: SUBmarine groundwater discharge (SGD) impact on coastal ACIDification processes in contrasting European Atlantic Shores: towards securing ecosystem services and food production",
2017,"Lijuan Qian","Early Career",CAROLINE,"University College Cork",Eco-Women,Musicology,"Applying Cultural Heritage as a Means of Sustainable Development: Voices of Women Culture Bearers in Yunnan, China",
2017,"Luca Coscieme","Early Career",CAROLINE,"Trinity College Dublin","European Environment Agency","Environmental Sciences","Distil Sustainability Indicators (DISTINCT)",
2017,"Martin Wall","Early Career",CAROLINE,"University College Cork",adelphi,"Political Science","Exploring New Dynamics in Civil-Military Cooperation and Emergency Humanitarian Aid in the Context of Climate Change",
2017,"Siobhan Airey","Early Career",CAROLINE,"University College Dublin","Transnational Institute",Law,"Financing the Sustainable Development Goals: Enhancing the role of Law in the Governance of Blended Finance",
2017,"Slobodan Tomic","Early Career",CAROLINE,"University College Dublin","Think-tank for Action on Social Change","Political Science","Exploring Reputational Battles between Controllers of Government and Government: A Comparative Analysis of Ombudsmen, Audit Offices, and Data and Information Commissioners in Ireland, Uruguay, Jamaica and Costa Rica",
2017,"Stephen Mahony","Early Career",CAROLINE,"University College Dublin","The Natural History Museum London","Zoology, Ornithology, Entomology, Behavioural Sciences Biology","BIOGEOBARRIERS the role and impact of biogeographical barriers on biotic diversification and distribution",
2017,"Tara Bedi","Early Career",CAROLINE,"Trinity College Dublin","Concern Worldwide",Economics,"Understanding the Gender and Inequality Dimensions of a Leading Multifaceted Anti-Poverty Programme (the Graduation Model)",
2018,"Abdul-Wadood Moomen","Early Career",CAROLINE,"University College Dublin","United Nations Environment Programme","Geography & Physical Geography","Development of Time-Robust Geospatial Information for enhancing Sustainable Mining in Northwest Ghana ",https://orcid.org/0000-0002-1257-0815
2018,"Alberto Arribas Lozano","Early Career",CAROLINE,"Maynooth University","PROYECTO ANDINO DE TECNOLOGÍAS CAMPESINAS - PRATEC ",Sociology,"Emerging pedagogies for ‘Buen Vivir’: environmental sustainability, bio-cultural diversity and intercultural higher education institutions in the Andean region",https://orcid.org/0000-0002-9612-5910
2018,"Caroline Ochieng","Early Career",CAROLINE,"National University of Ireland, Galway","The World Bank ","Environmental Sciences","A grounded theory analysis of the drivers of adoption of clean cooking technologies in Low and Middle Income Countries",https://orcid.org/0000-0003-0553-1356
2018,"Cathriona Kearns","Early Career",CAROLINE,"University College Dublin","Cancer Trials Ireland ","Cancer Research","TACTIC - TAiloring the Communication of risk To Individual breast Cancer patients",https://orcid.org/0000-0002-0427-4370
2018,"Christopher O'Connell","Early Career",CAROLINE,"Dublin City University","Anti-Slavery International  ","Political Science","Contemporary slavery in an Era of Climate Change: State and Civil Society Responses in the Andean Region",https://orcid.org/0000-0003-2815-4653
2018,"David Horan","Early Career",CAROLINE,"University College Dublin","SDSN Association ",Economics,"Data and Governance Framework for Achieving Environmental Sustainable Development Goals (SDGs)",https://orcid.org/0000-0002-4419-3604
2018,"Esther Hennchen","Early Career",CAROLINE,"University College Dublin","International Labor Organisation","Business & Management","Whose responsibility is it, anyway? From organized irresponsibility to shared responsibility in global supply chains",https://orcid.org/0000-0002-0473-3223
2018,"Javier Caballero Villalobos","Early Career",CAROLINE,Teagasc,"Animal Health Ireland ","Microbial Genetics","The impact of bovine-specific Staphylococcus aureus genetic variability on mastitis control and milk processing",https://orcid.org/0000-0002-2840-2517
2018,"Joao Frias","Early Career",CAROLINE,"Galway-Mayo Institute of Technology","Irish Whale and Dolphin Group ","Environmental Sciences","Managing for microplastics: a baseline to inform policy stakeholders (IMP.act)",https://orcid.org/0000-0001-5816-9077
2018,"John Devaney","Early Career",CAROLINE,"Trinity College Dublin","Mary Robinson Foundation - Climate Justice ",Ecology,"Future Mangroves; effects of climate change on mangrove forests in semi-arid regions and consequences for coastal communities ",https://orcid.org/0000-0002-1982-8815
2018,"Keshav Parajuly","Early Career",CAROLINE,"University of Limerick","United Nations University - Sustainable Cycles (SCYCLE)","Environmental Sciences","Behavioral Change for the Circular Economy (BC4CE)",https://orcid.org/0000-0002-0272-1544
2018,"Mairead Foody","Early Career",CAROLINE,"Dublin City University","Friends International Center against Bullying ",Psychology,"SEXED: Investigating online SEXual harassment and Exploitation in relation to the UN Sustainable Developmental goals",https://orcid.org/0000-0002-1094-2267
2018,"Nan Yu","Early Career",CAROLINE,"University College Dublin","CERN - European Organization for Nuclear Research ","Mechanical Engineering","Ultra-precision machining and measurement for freeform Intraocular Lenses",https://orcid.org/0000-0003-4044-0839
2018,"Nicholas Wasonga Orago","Early Career",CAROLINE,"University College Cork","International Federation of Red Cross and Red Crescent Societies ",Law,"Linking natural hazard vulnerabilities and poor sustainable development outcomes: A comprehensive analysis of disaster risk reduction legal frameworks and practices in Africa and their impact on the realisation of the sustainable development Goals in Africa.",https://orcid.org/0000-0002-3944-8326
2018,"Robert Hamm","Early Career",CAROLINE,"Maynooth University","Berliner Institut für kritische Theorie e. V. ",Sociology,"Memory-Work.  Researching the Historical Adaptations and Adjustments, Derivations and Developments in Memory-Work as Method and Methodology and its Potential as a Method in Lifelong Learning Processes.",https://orcid.org/0000-0001-5227-6277
2018,"Ruari-Santiago McBride","Early Career",CAROLINE,"University of Limerick","Transgender Equality Network Ireland (TENI) ",Education,"Researching and Advocating for Quality Education: Achieving Equality for Transgender and Gender Diverse Youth in Schools",https://orcid.org/0000-0002-7259-0084
2018,"Sarah Culhane","Early Career",CAROLINE,"Maynooth University","Age Action Ireland CLG ",Psychology,"Irish Cinema Audiences (1950-1960): Engaging older audiences and sustaining Ireland’s cultural heritage. [IRCA 1950-1960]",https://orcid.org/0000-0001-5180-6117
2018,"Sarah Jay","Early Career",CAROLINE,"University of Limerick","International Federation of Workers’ Education Associations ","Film Studies","A novel Social Identity Approach to promoting peaceful and inclusive societies for sustainable development, equality and education",https://orcid.org/0000-0002-7443-9417
