"Projet.Code_Decision_ANR";"Projet.Date_debut";"Action.Edition";"Action.Titre.Francais";"Projet.Acronyme";"Projet.Titre.Francais";"Projet.Resume.Francais";"Projet.Aide_allouee"
"ANR-21-RHUS-0009";"";2021;"RHUS";"FAME";"Improving FAMily members’ Experience in the ICU";"";0.0
"ANR-21-RHUS-0008";"";2021;"RHUS";"COVIFERON";"Covid-19 and interferons: from discovery to therapy";"";0.0
"ANR-21-RHUS-0007";"";2021;"RHUS";"SMART (RHU V5)";"SMA Muscle Atrophy Remediative Therapy";"";0.0
"ANR-21-RHUS-0006";"";2021;"RHUS";"ICELAND";"Transcatheter Mitral Valve Repair Device incorporating a coaxial intra cardiac echography probe (ICE) for direct mitral annuloplasty";"";0.0
"ANR-21-RHUS-0005";"";2021;"RHUS";"LySAIRI";"Lymphocyte-sparing AI-guided radio-immunotherapy";"";0.0
"ANR-21-RHUS-0004";"";2021;"RHUS";"PrediMAP";"Development and clinical evaluation of an innovative medical device to predict premature birth: From basic research to obstetric emergencies";"";0.0
"ANR-21-RHUS-0003";"";2021;"RHUS";"ORGANOMIC";"Organoid-based assays for functional personalized medicine strategies";"";0.0
"ANR-21-RHUS-0002";"";2021;"RHUS";"CASSIOPEIA";"Targeting Cancer-Associated Fibroblasts to tackle metastases and resistance to treatment in Triple Negative Breast Cancer";"";0.0
"ANR-21-RHUS-0001";"";2021;"RHUS";"DELIVER";"Deliver therapeuthic innovation for advanced hepatic diseases";"";0.0
"ANR-21-PMRB-0012";"";2021;"PMRB";"France Cohortes";"Services provided by France Cohortes for Rare diseases";"";0.0
"ANR-21-PMRB-0011";"";2021;"PMRB";"TransEAsome";"Long term outcome of oesophagial atresia : transomics profiles in adolescence";"";0.0
"ANR-21-PMRB-0010";"";2021;"PMRB";"RASORES";"Preclinical approaches to the treatment of RASopathy patients through multiomics approach of their pathophysiology departing from a thoroughly described and annotated cohort of patients supported by a new, targeted European registry";"";0.0
"ANR-21-PMRB-0009";"";2021;"PMRB";"RaReTiA";"A new French Rare Eye Diseases Database (FREDD) for Retinitis Pigmentosa phenotype/genotype research: RaReTiA a pilot Artificial Intelligence project";"";0.0
"ANR-21-PMRB-0008";"";2021;"PMRB";"PROGRESS FSHD";"Remote assessment and artificial intelligence analysis to validate new outcome measures, biomarkers and therapeutic targets for FacioScapuloHumeral muscular dystrophy";"";0.0
"ANR-21-PMRB-0007";"";2021;"PMRB";"PAMPERO";"Towards personalized medicine in a rare vascular genetic disease: Hereditary Hemorrhagic Telangiectasia (HHT)";"";0.0
"ANR-21-PMRB-0006";"";2021;"PMRB";"MITOMICS";"Mitochondrial Disease database : an integrated multi-OMICS approach";"";0.0
"ANR-21-PMRB-0005";"";2021;"PMRB";"FG.COALS";"French-German cohort study to determine factors associated with weight loss in amyotrophic lateral sclerosis: pathophysiological significance and the resulting therapeutic targets";"";0.0
"ANR-21-PMRB-0004";"";2021;"PMRB";"FACES 4 Kids";"FACE and SKULL for Key Innovative Data Science, a deep phenotyping data base of craniofacial anomalies in developing human";"";0.0
"ANR-21-PMRB-0003";"";2021;"PMRB";"ECYSCO";"European cystinosis cohort: towards new biomarkers and new therapeutic approaches";"";0.0
"ANR-21-PMRB-0002";"";2021;"PMRB";"CDE.AI";"CDE.AI: Artificial Intelligence at the service of common data elements for rare diseases";"";0.0
"ANR-21-PMRB-0001";"";2021;"PMRB";"BANCCO+";"A rare disease CNV interoperable database to reduce diagnostic odyssey, improve gene discovery and increase our knowledge about human genome";"";0.0
"ANR-21-NUWA-0001";"2019-07-01";2021;"NUWA";"Nuward";"Nuward";"";50000000.0
"ANR-21-IDES-0006";"";2021;"IDES";"WILL";"Accueil des internationaux à Lille";"";0.0
"ANR-21-IDES-0005";"";2021;"IDES";"UM2030";"Université de Montpellier 2030";"";0.0
"ANR-21-IDES-0004";"2019-10-18";2021;"IDES";"R2D2";"Réunis pour Renforcer la Dynamique de Développement";"";7000000.0
"ANR-21-IDES-0003";"2021-06-30";2021;"IDES";"OPUS";"L'Université de Strasbourg ouverte sur la société";"";7000000.0
"ANR-21-IDES-0002";"2022-07-01";2021;"IDES";"CAP A.R.T.";"Clermont Auvergne Projet: Art, Recherche et Territoire";"";0.0
"ANR-21-IDES-0001";"";2021;"IDES";"AMI UGE";"AMI UGE: Appartenance - Mutualisation - Intégration";"";0.0
"ANR-21-FTAP-0002";"2021-01-01";2021;"FTAP";"FlexiSanté";"Parcours Réussite Flexible en Santé";"";5353194.0
"ANR-21-FTAP-0001";"2021-01-01";2021;"FTAP";"CoRPUS";"Communauté apprenante pour la Réussite de son Parcours Universitaire en Santé";"";1317524.0
"ANR-21-F2II-0006";"2021-09-01";2021;"F2II";"iCFREE";"iCFREE";"";1100000.0
"ANR-21-F2II-0005";"2021-09-15";2021;"F2II";"PHAEOmAbs";"PHAEOmAbs";"";1013350.0
"ANR-21-F2II-0004";"";2021;"F2II";"GREEN-AAV";"GREEN-AAV";"";0.0
"ANR-21-F2II-0003";"2021-09-01";2021;"F2II";"BiopRNA";"BiopRNA";"";1400000.0
"ANR-21-F2II-0002";"2022-02-01";2021;"F2II";"ASCENDING";"ASCENDING";"";220000.0
"ANR-21-F2II-0001";"2021-11-01";2021;"F2II";"EVERETT";"EVERETT";"";1400000.0
"ANR-21-EXES-0015";"";2021;"EXES";"Sorb'RISING";"Pour une université de Sciences humaines et sociales responsable et influente : la transformation interne au service des grands défis internationaux";"";0.0
"ANR-21-EXES-0014";"";2021;"EXES";"HARMI";"Harnessing Microbiomes for Sustainable Development";"";0.0
"ANR-21-EXES-0013";"";2021;"EXES";"UP-SQUARED";"University of Poitiers : a Sustainable & Quality-based University for Research & Education";"";0.0
"ANR-21-EXES-0012";"";2021;"EXES";"Mat-Light 4.0";"Materials and Light 4.0";"";0.0
"ANR-21-EXES-0011";"";2021;"EXES";"IFSEA";"Transdisciplinary graduate school for marIne, Fisheries and SEAfood sciences";"";0.0
"ANR-21-EXES-0010";"";2021;"EXES";"ExceILR";"ExcellencES pour La Rochelle Université";"";0.0
"ANR-21-EXES-0009";"";2021;"EXES";"ERASME";"Education & Research to Advance Societal Missions through Engagement";"";0.0
"ANR-21-EXES-0008";"";2021;"EXES";"CY Generations";"CY Generations";"";0.0
"ANR-21-EXES-0007";"";2021;"EXES";"CITY-FAB";"La Fabrique de la Ville Durable";"";0.0
"ANR-21-EXES-0006";"";2021;"EXES";"IREKIA";"Le campus ouvert et connecté du Pays Basque";"";0.0
"ANR-21-EXES-0005";"";2021;"EXES";"ExposUM";"Institut de l'exposome de l'Université de Montpellier";"";0.0
"ANR-21-EXES-0004";"";2021;"EXES";"InnovationS";"Une culture diStinctive, des pratiqueS agileS et des eSpaces d’opportunitéS innovantS et attractifS";"";0.0
"ANR-21-EXES-0003";"";2021;"EXES";"SPRINGBOARD";"A springboard for the long-term attractivity of Université Paris-Saclay";"";0.0
"ANR-21-EXES-0002";"";2021;"EXES";"FIRE-UP";"Fostering Interdisciplinarity and Research Excellence for society at Université de Paris";"";0.0
"ANR-21-EXES-0001";"";2021;"EXES";"CISAM+";"Cité de l'Innovation et des Savoirs Aix Marseille +";"";0.0
"ANR-21-ESRE-0053";"2021-06-01";2021;"ESRE";"E-COL+";"e-COL+, the enhancement of natural history data in France";"";4849999.63
"ANR-21-ESRE-0052";"2021-10-01";2021;"ESRE";"4D-OMICS";"Multi-omic datas plateform";"";6595999.47
"ANR-21-ESRE-0051";"2021-10-01";2021;"ESRE";"MesoNET";"Mesocentre Network";"";14259000.0
"ANR-21-ESRE-0050";"2021-10-15";2021;"ESRE";"ESPADON - PATRIMEX+";"En Sciences du Patrimoine, Analyse Dynamique des Objets anciens et Numériques";"";8439000.0
"ANR-21-ESRE-0049";"2021-09-01";2021;"ESRE";"PACIFICS";"Particle Accelerators Initiative for Future Innovative and Challenging Systems";"";9700909.0
"ANR-21-ESRE-0048";"2021-08-01";2021;"ESRE";"MuDIS4LS";"Mutualised Digital Spaces for FAIR data in Life and Health Science";"";16489997.74
"ANR-21-ESRE-0047";"2022-01-01";2021;"ESRE";"HALiance";"HAL Interoperability, Accessibility and Network Centric Environment";"";3394666.8
"ANR-21-ESRE-0046";"2021-09-01";2021;"ESRE";"France-Cryo-EM";"National instrumentation in cryo electron microscopy";"";16490001.0
"ANR-21-ESRE-0045";"2021-11-15";2021;"ESRE";"COMMONS";"COnsortium of Mutualised Means for OpeN data & Services for SSH";"";10669952.0
"ANR-21-ESRE-0044";"2022-04-01";2021;"ESRE";"ANVOLE";"A laboratory aircraft of excellence for French innovation in acting on climate change and natural risks, space Earth observation and civil and military aviation";"";15423000.0
"ANR-21-ESRE-0043";"2021-10-01";2021;"ESRE";"IMAGINE2";"IMAGINg and analytical national platform for the Environmental and Energy transition";"";7274998.8
"ANR-21-ESRE-0042";"2021-10-01";2021;"ESRE";"DeepSea'nnovation";"Innovative sensing &amp; sampling for breakthrough deep-sea marine sciences";"";3879055.0
"ANR-21-ESRE-0041";"2021-10-01";2021;"ESRE";"IMF-NMR";"Integrated Multiple Field NMR - A new concept for NMR spectroscopy for chemistry, biology and health";"";6013999.0
"ANR-21-ESRE-0040";"2021-06-21";2021;"ESRE";"SMARTLIGHT";"SMARTLIGHT";"";3006968.4
"ANR-21-ESRE-0039";"2021-06-04";2021;"ESRE";"CALHIPSO";"Compaction and Assembly of metaLs by HIP an innovative Solution";"";4299588.0
"ANR-21-ESRE-0038";"2021-09-01";2021;"ESRE";"AO-EMBRC";"Augmented Observatories of the National Marine Biological Resource Centre (EMBRC-France)";"";6499000.0
"ANR-21-ESRE-0037";"2021-11-01";2021;"ESRE";"LifeObs";"French Life Course Observatory";"";12804000.0
"ANR-21-ESRE-0036";"2021-10-01";2021;"ESRE";"PLADIFES";"PLATFORM OF NUMERICAL COMPUTATION, ARTIFICIAL INTELLIGENCE AND WORLD DATABASE OF HIGH-FREQUENCY ENVIRONMENTAL, FINANCIAL AND SOCIETAL DATA";"";8439000.0
"ANR-21-ESRE-0035";"2021-09-01";2021;"ESRE";"MetEx+";"Next generation metabolomics and fluxomics, from population to single cells";"";5674644.0
"ANR-21-ESRE-0034";"2021-09-01";2021;"ESRE";"IDEE";"Innovation, Data and Experiments in Education";"";6111467.0
"ANR-21-ESRE-0033";"2021-06-01";2021;"ESRE";"DurabilitHY";"Study of the Durability of HYdrogen technologies: high power PEM fuel cells and electrolyzers";"";12511774.0
"ANR-21-ESRE-0032";"2021-10-01";2021;"ESRE";"aQCess";"Atomic Quantum Computing as a Service";"";4756000.0
"ANR-21-ESRE-0031";"2021-11-01";2021;"ESRE";"e-DIAMANT";"Engineering Diamond Sensors for Advancing Science and Industry";"";6789384.0
"ANR-21-ESRE-0030";"2021-06-01";2021;"ESRE";"CONTINUUM";"Collaborative Continuity from Digital to Human";"";13578414.0
"ANR-21-ESRE-0029";"2021-06-01";2021;"ESRE";"T-REFIMEVE";"Time-frequency shared service on optical fibre network";"";9894000.0
"ANR-21-ESRE-0028";"2022-01-01";2021;"ESRE";"ONCO-PHENO-SCREEN";"Next-generation phenotypic screening for oncological applications";"";14477000.0
"ANR-21-ESRE-0027";"2021-06-01";2021;"ESRE";"FASUM";"Forty Tesla Superconducting User Magnet";"";3589386.48
"ANR-21-ESRE-0026";"2021-06-21";2021;"ESRE";"HYBAT";"Hybrid antimonide technologies";"";5528520.0
"ANR-21-ESRE-0025";"2021-05-01";2021;"ESRE";"2D-MAG";"Two-dimensional magnetic materials";"";2260131.0
"ANR-21-ESRE-0024";"2021-12-01";2021;"ESRE";"NanoCryoCLEM";"Correlative NanoImaging in cryogenic conditions";"";2910060.0
"ANR-21-ESRE-0023";"2021-06-21";2021;"ESRE";"InfectioTron";"Integrative and multidisciplinary tools for the study of infectious diseases from the wild to the lab";"";4364263.0
"ANR-21-ESRE-0022";"2021-04-01";2021;"ESRE";"BioCF";"Biobanque Cohortes Françaises";"";17266000.0
"ANR-21-ESRE-0021";"2021-10-01";2021;"ESRE";"ALADIN";"Activ Learning to Accelerate Biocatalyst Development For Industrial biotechnology";"";3976918.0
"ANR-21-ESRE-0020";"2021-06-01";2021;"ESRE";"MARMOR";"Equipement géophysique de recherche marine avancée et observatoire multidisciplinaire pour la recherche et la surveillance à Mayotte";"";15413769.99
"ANR-21-ESRE-0019";"2021-07-01";2021;"ESRE";"ARGO-2030";"ARGO-2030";"";6197014.0
"ANR-21-ESRE-0018";"2021-10-01";2021;"ESRE";"NEWGAIN";"New GANIL Injector";"";13677000.0
"ANR-21-ESRE-0017";"2021-05-01";2021;"ESRE";"WeShare";"Infrastructure digitale pour la recherche en science humaine et sociale pour le cancer";"";10961000.0
"ANR-21-ESRE-0016";"2021-06-21";2021;"ESRE";"Spatial-Cell-ID";"Equipement national de transcriptomique spatio-temporelle à résolution cellulaire";"";3735000.0
"ANR-21-ESRE-0015";"2021-02-16";2021;"ESRE";"TIRREX";"Infrastructure technologique pour la recherche d’excellence en robotique";"";12027996.0
"ANR-21-ESRE-0014";"2021-05-01";2021;"ESRE";"TERRA-FORMA";"Concevoir et tester l'observatoire intelligent des territoires à l'ère Anthropocène";"";9602898.84
"ANR-21-ESRE-0013";"2021-09-15";2021;"ESRE";"OBS4CLIM";"Système d’observation intégré pour l’atmosphère";"";11639875.0
"ANR-21-ESRE-0012";"2021-09-01";2021;"ESRE";"NANOFUTUR";"Investissements en NANOfabrication pour les nanotechnologies du FUTUR";"";17460000.0
"ANR-21-ESRE-0011";"2021-10-01";2021;"ESRE";"MAGNIFIX";"Mise Au meilleur niveau Global et Nouvelles Infrastructures Françaises d’Investigation aux rayons X durs";"";9021240.0
"ANR-21-ESRE-0010";"2021-06-01";2021;"ESRE";"GAIA DATA";"Infrastructure distribuée de données et services pour l’observation, la modélisation et la compréhension du système Terre, de la biodiversité et de l’environnement";"";16160000.0
"ANR-21-ESRE-0009";"2021-06-21";2021;"ESRE";"FITS";"Services numériques fédérés du CNRS pour les infrastructures de recherche";"";15520000.0
"ANR-21-ESRE-0008";"2021-02-15";2021;"ESRE";"F-CELT";"Contribution Française à l’instrumentation de l’Extremely Large Telescope";"";7769997.0
"ANR-21-ESRE-0007";"2021-05-01";2021;"ESRE";"ADD4P";"Fabrication Additive de verres et composants pour la photonique";"";3977000.0
"ANR-21-ESRE-0006";"2021-05-03";2021;"ESRE";"PRESENCE";"Paris-Saclay IRM Et Neurosciences à Champ Extrême";"";9408650.0
"ANR-21-ESRE-0005";"2021-11-01";2021;"ESRE";"Biblissima+";"Biblissima+, Observatoire des cultures écrites anciennes, de l’argile à l’imprimé";"";11931003.0
"ANR-21-ESRE-0004";"2021-09-15";2021;"ESRE";"HIPE";"Améliorer la santé par l'exercice physique";"";6789999.96
"ANR-21-ESRE-0003";"2021-10-01";2021;"ESRE";"CIRCUITPHOTONICS";"Centre d'imagerie de la dynamique des circuits neuronaux";"";4265885.52
"ANR-21-ESRE-0002";"2021-10-01";2021;"ESRE";"IDEC";"Imagerie et Détection computationnelles";"";2327886.0
"ANR-21-ESRE-0001";"2021-05-01";2021;"ESRE";"CAD";"Collecteur et analyseur de données";"";80000000.0
"ANR-21-DMES-0017";"2021-10-01";2021;"DMES";"UNANIMES";"Université Numérique Avancée à NÎMES";"";2499012.0
"ANR-21-DMES-0016";"2022-01-01";2021;"DMES";"DEM'UP";"DEMonstrateur de l'Université de Poitiers: pour une mise en situation immersive pédagogique";"";575000.0
"ANR-21-DMES-0015";"2022-01-01";2021;"DMES";"Smart CODE";"Smart Curriculum On Demand";"";500000.0
"ANR-21-DMES-0014";"2022-01-01";2021;"DMES";"PEIA";"Plateforme d'Expériences Immersives Apprenantes";"";500000.0
"ANR-21-DMES-0013";"2022-01-01";2021;"DMES";"INSA 2025";"INSA 2025";"";4500000.0
"ANR-21-DMES-0012";"2021-12-01";2021;"DMES";"HERCULE";"Démonstrateur de la transformation numérique des établissements supérieurs agricoles publics";"";700000.0
"ANR-21-DMES-0011";"2022-01-01";2021;"DMES";"DeMETeRE";"Déploiement de Micro-Environnements Territoriaux pour la Réussite Etudiante";"";650000.0
"ANR-21-DMES-0010";"2022-01-01";2021;"DMES";"PLEIADES";"Projet Lorrain d'Environnement numérIque pour des Apprentissages DurablES";"";525000.0
"ANR-21-DMES-0009";"";2021;"DMES";"X-MEM";"Démonstrateurs eXtensible - Mobile Education Mayotte";"";200000.0
"ANR-21-DMES-0008";"2022-01-01";2021;"DMES";"PRO3";"Le numérique pour un enseignement supérieur plus PROche, plus PROfesionnalisant et plus PROpre, en région Centre Val-de-Loire";"";625000.0
"ANR-21-DMES-0007";"2022-01-01";2021;"DMES";"ONEPSL";"PSL université numérique pour 30 ans";"";725000.0
"ANR-21-DMES-0006";"2021-11-02";2021;"DMES";"JENII";"Jumeaux d'Enseignement Numériques, Immersifs et Interactifs";"";950000.0
"ANR-21-DMES-0005";"2022-01-01";2021;"DMES";"INCLUDE (DMES)";"Inclusion des apprenants dans le supérieur: cultiver les diversités en transcendant les barrières spatiales, temporelles et cognitives grâce à la transformation numérique";"";700000.0
"ANR-21-DMES-0004";"2022-02-01";2021;"DMES";"DEMOES@CY";"Campus Virtuel AREL";"";650000.0
"ANR-21-DMES-0003";"2022-01-01";2021;"DMES";"DémoUHA";"Démonstrateur de la Transformation Numérique Responsable de l'UHA";"";600000.0
"ANR-21-DMES-0002";"2022-02-01";2021;"DMES";"AP.RES";"Apprentissage en réseau";"";625000.0
"ANR-21-DMES-0001";"2022-02-14";2021;"DMES";"AIR";"Augmenter les interactions à Rennes";"";775000.0
"ANR-21-DMAV-0001";"2021-12-06";2021;"DMAV";"AVENIR(s)";"Programme AVENIR(S): Développer ses compétences et construire ses projets d'avenir";"";30000000.0
"ANR-21-COHO-0001";"2022-03-31";2021;"COHO";"MARIANNE Plateform";"Platform for the Mother - Infant pRospectIve study of Autism Spectrum Disorder aNd Neuro-development Disorder dEterminants";"";6000000.0
"ANR-21-CMAQ-0003";"2021-10-01";2021;"CMAQ";"QuantForm-UGA";"Formation Quantique Université Grenoble Alpes";"";1033000.0
"ANR-21-CMAQ-0002";"2021-09-01";2021;"CMAQ";"FQPS";"Soutien à la formation Quantum Paris-Saclay";"";1033000.0
"ANR-21-CMAQ-0001";"2021-09-01";2021;"CMAQ";"FQPS (PC)";"Soutien à la formation aux technologies quantiques - Paris Centre";"";1033000.0
"ANR-21-AUTO-0001";"2021-01-01";2021;"AUTO";"AUTONOMIE";"Maintien en autonomie";"";3445954.0
"ANR-20-STHP-0006";"2021-01-01";2020;"STHP";"THPCA 2024";"Très haute performance en cyclisme et en aviron 2024";"";199800.0
"ANR-20-STHP-0005";"2021-02-10";2020;"STHP";"TrainYourBrain";"Optimiser l'entraînement mental pour atteindre l'or olympique, approche psycho-physiologique innovantes de la performance en escrime";"";764000.0
"ANR-20-STHP-0004";"2021-04-01";2020;"STHP";"REVEA";"Optimisation de la performance grâce à la réalité virtuelle";"";1125000.0
"ANR-20-STHP-0003";"2021-02-01";2020;"STHP";"PERFANALYTICS";"Analyse in situ de la performance";"";1780000.0
"ANR-20-STHP-0002";"2021-03-01";2020;"STHP";"HYPOXPERF";"Hypoxie et Performance 2024";"";134700.0
"ANR-20-STHP-0001";"2021-07-01";2020;"STHP";"BEST-TENNIS";"Biomécanique, Entraînement perceptif, Stratégie, Transfert scientifique pour améliorer la performance au service et au retour des joueurs de tennis";"";133700.0
"ANR-20-SFRI-0014";"2021-03-01";2020;"SFRI";"TRITON";"Formations par la recherche en Santé et Industrie pour NANTES UNIVERSITE";"";12000000.0
"ANR-20-SFRI-0013";"2020-11-01";2020;"SFRI";"SMARTS-UP";"Stratégie de formation Active basée sur la Recherche centrée sur l'étudiant d'Université de Paris";"";21000000.0
"ANR-20-SFRI-0012";"2020-11-01";2020;"SFRI";"STRAT'US";"Façonner les talents en formation et en recherche à l'Université de Strasbourg";"";20000000.0
"ANR-20-SFRI-0011";"2020-09-01";2020;"SFRI";"REAL@SU";"Formation par la recherche pout tous - Alliance Sorbonne Université";"";23000000.0
"ANR-20-SFRI-0010";"2019-10-18";2020;"SFRI";"ONEPSL-GRP";"Structuration de l'offre de formation et de recherche de PSL en programmaes gradués";"";20000000.0
"ANR-20-SFRI-0009";"2020-10-18";2020;"SFRI";"ORION";"Lorraine-Université d'Excellence Oser la Recherche durant la FormatION";"";18500000.0
"ANR-20-SFRI-0008";"2020-06-21";2020;"SFRI";"UBFC-INTEGRATE";"Institut International des formations";"";12000000.0
"ANR-20-SFRI-0007";"2021-01-01";2020;"SFRI";"GS UGA";"Graduate School Université Grenoble Alpes";"";17000000.0
"ANR-20-SFRI-0006";"2020-06-22";2020;"SFRI";"SFRI@CY";"SFRI@CY Initiative";"";8000000.0
"ANR-20-SFRI-0005";"2020-06-22";2020;"SFRI";"TIGER";"Transformer et innover dans la formation graduate via la recherche";"";23000000.0
"ANR-20-SFRI-0004";"2020-11-01";2020;"SFRI";"FAIR";"Former, Apprendre et Innover par la Recherche";"";17000000.0
"ANR-20-SFRI-0003";"2021-06-01";2020;"SFRI";"CAP GS";"Clermont Auvergne Projet Graduate School";"";12000000.0
"ANR-20-SFRI-0002";"2021-01-01";2020;"SFRI";"GP-DS";"Graduate Programs pour les études doctorales";"";9000000.0
"ANR-20-SFRI-0001";"2020-10-18";2020;"SFRI";"UBGRS 2.0";"Ecole supérieure des jeunes chercheurs de l'Université de Bordeaux";"";18000000.0
"ANR-20-PCPA-0010";"2021-01-01";2020;"PCPA";"VITAE";"Cultivating the grapevine without pesticides : towards agroecological wine-producing socio-ecosystems";"";2999295.0
"ANR-20-PCPA-0009";"2021-01-01";2020;"PCPA";"SUCSEED";"Stop the Use of pestiCides in seeds";"";2999157.0
"ANR-20-PCPA-0008";"2021-03-01";2020;"PCPA";"SPECIFICS";"Sustainable Pest Control In Fabaceae-rich Innovative Cropping Systems";"";2999565.0
"ANR-20-PCPA-0007";"2021-03-01";2020;"PCPA";"PheroSensor";"Early detection of pest insects using pheromone receptor-based olfactory sensors";"";1492795.0
"ANR-20-PCPA-0006";"2021-01-01";2020;"PCPA";"MoBiDiv";"Mobilizing and Breeding Intra and inter-specific crop Diversity for a systemic change towards pesticide-free agriculture";"";2999807.0
"ANR-20-PCPA-0005";"2021-01-01";2020;"PCPA";"FAST";"Facilitate public Action to exist from peSTicides";"";2986894.0
"ANR-20-PCPA-0004";"2021-04-01";2020;"PCPA";"DEEP IMPACT";"Deciphering plant-microbiome interactions to enhance crop defense to bioagressors";"";2997333.0
"ANR-20-PCPA-0003";"2021-02-01";2020;"PCPA";"CAP ZERO PHYTO";"Adaptation of the concept of ecological immunity to crop protection: Rosaceae and Solanaceae, two cas studies";"";2998024.0
"ANR-20-PCPA-0002";"2021-02-01";2020;"PCPA";"BEYOND";"Building epidemiological surveillance and prophylaxis with observations both near and distant";"";1500000.0
