Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Auger, Michèle",Universit&eacute; Laval,Collaborative Health Research Projects (NSERC partnered),200812CPG,Special Cases,Development and characterization of reconstructed psoriatic skin,"                $180,000","                      $0","3 yrs 0 mth "
"Aukema, Harold M",University of Manitoba,Operating Grant - Priority Announcement: Obesity,200809OOP,"Nutrition, Food & Health","Impact of long-term consumption of high protein diets on renal health, hypertension, glucose handling and adipose metabolism in obesity - implications for dietary reference intakes","                $100,000","                      $0","1 yr 0 mth "
"Aurousseau, Mark",McGill University,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - A,Structural and Functional Properties of the Orphan Ionotropic Glutamate Receptor delta 2,"                $105,000","                      $0","3 yrs 0 mth "
"Ausio, Juan",University of Victoria (British Columbia),Operating Grant - PA: Institute of Genetics (Bridge Funding),200809IG1,Biochemistry & Molecular Biology - B,"Role of global post-translational modifications, histone variants and linker histones in chromatin folding and function.","                $100,000","                      $0","1 yr 0 mth "
"Austin, James W",University Health Network (Toronto),Doctoral: Vanier Canada Graduate Scholarships,200811CGV,Doctoral Research Awards - A,Neuroprotective and regenerative bioengineered approaches for the treatment of spinal cord injury,"                $150,000","                      $0","3 yrs 0 mth "
"Averill-Bates, Diana A",Universit&eacute; du Qu&eacute;bec &agrave; Montr&eacute;al,Collaborative Health Research Projects (NSERC partnered),200812CPG,Special Cases,Novel technology using plant proteins for cryopreservation of mammalian cells for clinical applications,"                $222,000","                      $0","3 yrs 0 mth "
"Axler, Renata E",University of Toronto,"Doctoral Research Award - Ethics, Law and Society",200810GDR,Doctoral Research Awards - B,Commercialization and Controversy: The Case of Stem Cell Innovation,"                 $66,000","                      $0","3 yrs 0 mth "
"Bacon, Simon L","Concordia University (Montreal, Quebec)",Operating Grant,200809MOP,Movement & Exercise,Effects of aerobic exercise on asthma morbidity,"                $323,025","                      $0","3 yrs 0 mth "
"Bacon, Simon L","Concordia University (Montreal, Quebec)",CIHR New Investigator,200809MSH,Health Research Salary A,Effects of aerobic exercise on asthma morbidity,"                $300,000","                      $0","5 yrs 0 mth "
"Badiwala, Mitesh V",University of Toronto,Doctoral: Vanier Canada Graduate Scholarships,200811CGV,Doctoral Research Awards - A,The Role of Epidermal Growth Factor-Like domain 7 and Immunosuppressive Strategies in Attenuating Transplant Related Vascular Injury,"                 $50,000","                      $0","1 yr 0 mth "
"Baetz, Kristin K",University of Ottawa,Operating Grant,200809MOP,Cell Biology & Mechanisms of Disease,Deciphering novel roles for the acetyltransferase NuA4 in genome stability.,"                $334,071","                      $0","3 yrs 0 mth "
"Bagatto, Marlene P",University of Western Ontario,Doctoral: Vanier Canada Graduate Scholarships,200811CGV,Doctoral Research Awards - B,Evaluation of Outcome Measures for Use with Infants Who Wear Hearing Aids,"                $150,000","                      $0","3 yrs 0 mth "
"Bagli, Darius J",Hospital for Sick Children (Toronto),Operating Grant,200809MOP,Experimental Medicine,Novel Therapeutic Strategies For Obstructive Bladder Disease,"                $440,244","                      $0","4 yrs 0 mth "
"Baharnoori, Moogeh",CIUSSS de l'Ouest-de-l'Ile-de-Montr&eacute;al-Douglas Hospital,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - A,The deleterious effect of prenatal infection on development of central nervous system and its implications in neuropsychiatric disorders,"                $105,000","                      $0","3 yrs 0 mth "
"Bailey, Dana",McGill University,Doctoral: Vanier Canada Graduate Scholarships,200811CGV,Doctoral Research Awards - A,Application of the molecular understanding of high density lipoprotein biogenesis to provide surrogate endpoints for use in an atherosclerosis therapy study,"                 $20,833","                      $0","0 yr 5 mths "
"Bailey, Lara",McGill University,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - A,Creation and Visualization of a Multi-resolution 3-Dimensional Human Brain Atlas from Histology Acquired in Accordance with Local Anatomy,"                $105,000","                      $0","3 yrs 0 mth "
"Baillargeon, Jean-Patrice",Universit&eacute; de Sherbrooke,Operating Grant - Priority Announcement: Institute of Gender and Health,200809IGO,Endocrinology,Role of insulin action and free fatty acids in the hyperandrogenemia of women with polycystic ovary syndrome,"                $100,000","                      $0","1 yr 0 mth "
"Baker, Travis E",University of Victoria (British Columbia),Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - A,"Individual Differences Underlying Substance use and Addiction: At the Intersection of Brain, Cognition, Genetics, Personality and Sex.","                $105,000","                      $0","3 yrs 0 mth "
"Baldwin, Troy A",University of Alberta,CIHR New Investigator,200809MSH,New Investigators A,Molecular Examination of Thymocyte Negative Selection in vivo,"                $300,000","                      $0","5 yrs 0 mth "
"Ball, Robin W",McGill University,Fellowship Award - Priority Announcement: Fragile X (SHOPP),200810JFX,Fellowships - Post-PhD,Fragile X Mental Retardation Protein interacts with Rac GTPase to control synaptic growth and function.,"                 $45,000","                      $0","2 yrs 0 mth "
"Baltz, Jay M; Clarke, Hugh J; Dufort, Daniel; Foster, Warren G; Gibb, William; Gruslin, Andree M; Hales, Barbara F; Kidder, Gerald M; Leader, Arthur; Leveille, Marie-Claude; Liu, Johne X; Macdonald, Colla J; Mann, Mellissa; McDonald, Sarah D; Murphy, Bruce D; Nisker, Jeffrey A; Richard, François; Robaire, Bernard; Sirard, Marc-André; Smith, Lawrence C; Tanphaichitr, Nongnuj; Trasler, Jacquetta M; Tsang, Benjamin K; Vanderhyden, Barbara C; Wade, Michael G; Walker, Mark C; Watson, Andrew J; Wen, Shi Wu; Yang, Kaiping; Yang, Qiuying",Ottawa Hospital Research Institute,Training Grant,200811TGF,"CIHR Training Program Grants ""A""","CIHR Training Program in Reproduction, Early Development, and the Impact on Health (REDIH)","              $1,787,598","                      $0","6 yrs 0 mth "
"Banerjee, Diponkar",University of British Columbia,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Validation of Tissue and Cytology Microarray Spotter (TCMS) for Simultaneous Multiple Biomarker Detection in Cells,"                $150,000","                      $0","1 yr 0 mth "
"Banfield, Bruce W","Queen's University (Kingston, Ontario)",Operating Grant,200809MOP,Virology & Viral Pathogenesis,Molecular cell biology of herpesvirus egress,"                $576,015","                      $0","5 yrs 0 mth "
"Barbier, Olivier",Universit&eacute; Laval,Operating Grant - PA: Cancer Research (bridge funding),200809IC1,Pharmacology & Toxicology,FXR: a promising target for prostate cancer treatment,"                $100,000","                      $0","1 yr 0 mth "
"Barbier, Olivier",Universit&eacute; Laval,CIHR New Investigator,200809MSH,New Investigators C,Endobiotics glucuronidation: a novel therapeutic avenue for metabolic and endocrine diseases,"                $300,000","                      $0","5 yrs 0 mth "
"Barfett, Joe J",University of Toronto,CIHR Fellowship,200810MFE,Health Professional Awards - Fellowships,"Dynamic CT Angiography of Cerebrovascular Aneurysms in a Large Patient Group at High Spatial and Temporal Resolution: Location, Size, Morphology, Dynamic Pulsation, Wall Thickness and Vessel Wall Shear Stress in Relation to Rupture Risk","                $110,000","                      $0","2 yrs 0 mth "
"Barker, Philip A",McGill University,Operating Grant,200809MOP,Molecular & Cellular Neurosciences - B,Signaling mechanisms of the p75 neurotrophin receptor,"                $935,250","                      $0","5 yrs 0 mth "
"Barralet, Jake E",Direct Payment,Canada Research Chairs - CIHR Funded,200811CRC,Special Cases - Awards Programs,CANADA RESEARCH CHAIRHOLDER / TITULAIRE DE CHAIRE DE RECHERCHE DU CANADA,"                $500,000","                      $0","5 yrs 0 mth "
"Barré, Olivier",University of British Columbia,CIHR Fellowship,200810MFE,Fellowships - Post-PhD,Identification of Matriptase-2 natural substrates & cleavage specificity in Anemia by Proteomics Approach,"                 $90,000","                      $0","2 yrs 0 mth "
"Barrett, Sean P",Dalhousie University (Nova Scotia),Catalyst Grant: Prevention and Treatment of Illicit Substance Use,200810CSU,Team Grant: Substance Abuse Prevention and Treatment,Understanding simultaneous polysubstance use: Patterns and consequences of mixing substances in illicit drug users.,"                 $96,600","                  $3,000","1 yr 0 mth "
"Barry, Marie M",Direct Payment,Canada Research Chairs - CIHR Funded,200811CRC,Special Cases - Awards Programs,CANADA RESEARCH CHAIRHOLDER / TITULAIRE DE CHAIRE DE RECHERCHE DU CANADA,"              $1,400,000","                      $0","7 yrs 0 mth "
"Barton, Jason J",Direct Payment,Canada Research Chairs - CIHR Funded,200811CRC,Special Cases - Awards Programs,CANADA RESEARCH CHAIRHOLDER / TITULAIRE DE CHAIRE DE RECHERCHE DU CANADA,"                $500,000","                      $0","5 yrs 0 mth "
"Bath, Brenna L",University of Saskatchewan,Fellowship - Priority Announcement: Knowledge Translation,200810KPD,Allied Health Professionals - Fellowships,A physiotherapy triage assessment in patients referred to orthopedic surgeons for low back-related complaints: outcomes and predictors of success,"                $128,334","                      $0","2 yrs 4 mths "
"Batorowicz, Beata",McMaster University,Doctoral: Vanier Canada Graduate Scholarships,200811CGV,Doctoral Research Awards - B,Communicative competence of children who are non-verbal: Impact on participation and quality of life,"                $150,000","                      $0","3 yrs 0 mth "
"Beasley, Clare L",University of British Columbia,Michael Smith New Investigator Award - Schizophrenia,200809MMS,New Investigators A,Characterization of oligodendrocyte abnormalities in schizophrenia,"                $300,000","                      $0","5 yrs 0 mth "
"Beatty, John Thomas",University of British Columbia,Operating Grant,200809MOP,Biochemistry & Molecular Biology - B,Regulation of the gene transfer agent (GTA) of Rhodobacter  capsulatus,"                $512,507","                      $0","5 yrs 0 mth "
"Beaudoin, Jean-Denis S",Universit&eacute; de Sherbrooke,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - A,Évaluation des structures G-quadruplexes comme nouveaux riborégulateurs de la traduction.,"                $105,000","                      $0","3 yrs 0 mth "
"Beaudry, Catherine; Agard, Bruno; De Crescenzo, Gregory",Polytechnique Montr&eacute;al,Knowledge Synthesis Grant,200810KRS,Knowledge Synthesis Grant,Cartographie de l'étendue des connaissances en nanomédecine et autres domaines connexes: de la recherche fondamentale à son application,"                 $49,999","                      $0","1 yr 0 mth "
"Beaulieu, Christian",University of Alberta,Operating Grant,200809MOP,Medical Physics & Imaging,Quantitative Magnetic Resonance Imaging of Neurodevelopment,"                $733,595","                      $0","5 yrs 0 mth "
"Beaulieu, Jean-François",Universit&eacute; de Sherbrooke,"Operating Grant - PA: Inst of Nutrition, Metabolism and Diabetes -Bridge Funding",200809NMD,Experimental Medicine,Rôle des interactions cellulaires avec la matrice dans la physiopathologie de l'épithélium intestinal humain,"                $100,000","                      $0","1 yr 0 mth "
"Beaulieu, Martin",Universit&eacute; Laval,Operating Grant,200809MOP,Systems & Circuits Neurosciences - A,Signal integrators for monoamine neurotransmission,"                $888,560","                      $0","5 yrs 0 mth "
"Beausejour, Christian","Centre hospitalier universitaire Sainte-Justine (Montr&eacute;al, Qu&eacute;bec)",Operating Grant - Priority Announcement: Aging (Bridge Funding),200809IAO,Biological and Clinical Aspects of Aging,The effects of cellular senescence on tissue regeneration,"                $100,000","                      $0","1 yr 0 mth "
"Becker, Allan B; Chan-Yeung, Moira",University of Manitoba,Operating Grant,200809MOP,Respiratory System,Primary prevention of asthma:  The impact of the multifaceted intervention program in early life on outcomes in teenagers,"                $525,702","                      $0","3 yrs 0 mth "
"Becker, Allan B",University of Manitoba,Collaborative Health Research Projects (NSERC partnered),200812CPG,Special Cases,Impact of common environmental chemicals on the allergy and asthma epidemic,"                $308,295","                      $0","3 yrs 0 mth "
"Bedard, Anne-Claude V",Direct Payment,CIHR Fellowship,200810MFE,Fellowships - Post-PhD,Measuring the effects of atomoxetine and methylphenidate on working memory in children and adolescents with ADHD,"                $150,000","                      $0","3 yrs 0 mth "
"Bedard, Johanne; Potvin, Louise",Universit&eacute; de Sherbrooke,Operating Grant: Priority Announcement (IPPH),200809IPA,"Nutrition, Food & Health","L'impact et l'institutionnalistion d'un projet d'éducation à l'art culinaire impliquant l'école, la famille et la communauté","                 $70,999","                      $0","1 yr 0 mth "
"Bedell, Barry J",McGill University,Operating Grant,200809MOP,Biological and Clinical Aspects of Aging,Integrated in vivo and ex vivo characterization of cerebrovascular dysfunction and its consequences in transgenic models of Alzheimer's disease,"                $507,978","                      $0","3 yrs 0 mth "
"Bedell, Barry J",McGill University,CIHR New Investigator,200809MSH,New Investigators C,Multi-parametric imaging studies of novel therapeutic agents in rodent models of glioma,"                $300,000","                      $0","5 yrs 0 mth "
"Befus, Dean",University of Alberta,Operating Grant,200809MOP,Immunology & Transplantation,Regulation of nitric oxide and its effects:  A pivotal point of control of mast cell phenotype and function.,"                $699,375","                      $0","5 yrs 0 mth "
"Bégin, Gabrielle",Universit&eacute; Laval,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - B,Étude de cohorte prospective sur les déterminants biologiques et psychosociaux des problèmes de comportement chez l'enfant inuit d'âge scolaire.,"                $105,000","                      $0","3 yrs 0 mth "
"Beilhartz, Greg L",McGill University,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - A,Local dissociation of DNA/DNA and DNA/RNA from the ribonuclease H active site of HIV-1 reverse transcriptase: Implications for (+)-strand DNA synthesis and drug design,"                $105,000","                      $0","3 yrs 0 mth "
"Beitchman, Joseph H; Henderson, Joanna L; McMain, Shelley F; Rush, Brian R; Wolfe, David A",Centre for Addiction and Mental Health (Toronto),Emerging Team Grant: Co-morbidity of brain disorders & other health problems-LOI,200810CBL,Emerging Team Grant: Co-morbidity of brain disorders and other health problems,"Mitigating risk and creating effective treatments: Improving services to children and youth with co-morbidities through discovery, collaboration, innovation, and integration","                  $5,000","                      $0","1 yr 0 mth "
"Belik, Jaques",Hospital for Sick Children (Toronto),Operating Grant,200809MOP,"Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health",Oxidative Stress and Neonatal Pulmonary Vascular Resistance Control,"                $597,193","                      $0","5 yrs 0 mth "
"Bellefontaine, Nicole H","Concordia University (Montreal, Quebec)",Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - A,The Role of Neuropeptide Y and Activation of Specific NPY Receptors in Lactation,"                $105,000","                      $0","3 yrs 0 mth "
"Belleville, Sylvie N","CIUSSS du Centre-Sud-de-l'&Icirc;le-de-Montr&eacute;al (Montr&eacute;al, Qu&eacute;bec)",Operating Grant - Priority Announcement: Aging (Bridge Funding),200809IAO,Biological and Clinical Aspects of Aging,Relation between structural brain imaging and cognition in mixed and vascular mild cognitive impairment,"                $100,000","                      $0","1 yr 0 mth "
"Bell, Jennifer",University of British Columbia,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - B,Hope for the Best: Cancer Patient Autonomy and Treatment Decision Making,"                $105,000","                      $0","3 yrs 0 mth "
"Belzil, Veronique",Universit&eacute; de Montr&eacute;al,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200810CGD,Doctoral Research Awards - A,Identification et caractérisation du gène localisé sur le chromosome 18 causant la sclérose latérale amyotrophique.,"                $105,000","                      $0","3 yrs 0 mth "
"Benchimol, Samuel","York University (Toronto, Ontario)",Operating Grant,200809MOP,Biological and Clinical Aspects of Aging,Involvement of p53 in replicative senescence,"                $351,846","                      $0","3 yrs 0 mth "
"Bendall, Sean C",Direct Payment,CIHR Fellowship,200810MFE,Fellowships - Post-PhD,Improving Measurements of Intracellular Signaling in Leukemia - A Basis for Diagnosis and Treatment,"                $150,000","                      $0","3 yrs 0 mth "
