"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"12","Department of Scientific and Industrial Research","Enzymes for bleaching and softening, Phase-1","Managing Director The","Khandelwal Laboratories Ltd.","79/87, D.Lad Path, P.B.No. 7808",10100000,36,"2000-01","DSIR","Indian Rupees","Months","DSIR_2000-01_12"
"13","Department of Scientific and Industrial Research","Enzymes for bleaching and softening-Phase-II","Managing Director The","Khandelwal Laboratories Ltd.","79/87, D.Lad Path, P.B.No. 7808",2850000,24,"2000-01","DSIR","Indian Rupees","Months","DSIR_2000-01_13"
"14","Department of Scientific and Industrial Research","Design & Development of prototype making of CNC controlled plastics switch board panel maker","Managing Director The","Instrument Research Associates Pvt. Ltd.","Instrumentation House, P.B. No. 2304, 19 Mysore Deviation Road",800000,18,"2000-01","DSIR","Indian Rupees","Months","DSIR_2000-01_14"
"15","Department of Scientific and Industrial Research","Development of voice enabled web","The Managing Director","Innovation Communications Systems Ltd.","At 8-2-467/4/A/A, Road No. 1, Banjara Hills",1350000,18,"2001-02","DSIR","Indian Rupees","Months","DSIR_2001-02_1"
"16","Department of Scientific and Industrial Research","Development of fully automated high speed blood chemistry analyser, Model XL-100","The Managing Director","Transasia Biomedicals Ltd","Transasia House, Plot No. 8, Chandivali Studio Road",9000000,24,"2001-02","DSIR","Indian Rupees","Months","DSIR_2001-02_2"
"17","Department of Scientific and Industrial Research","Pilot scale manufacture of Hyaluronic Acid formulations","The Managing Director","Gland Pharma Limited","6-3-862, Ameerpet",4600000,15,"2001-02","DSIR","Indian Rupees","Months","DSIR_2001-02_3"
"18","Department of Scientific and Industrial Research","Technology development and demonstration of automative wheel rims through modified manufacturing process","The Managing Director","Steel Strips Wheels Ltd.","S.C.O. 49-50, Sector 26, Madhya Marg",5000000,12,"2001-02","DSIR","Indian Rupees","Months","DSIR_2001-02_4"
"19","Department of Scientific and Industrial Research","Design, development and manufacture of (1) 5 3/4 digit multimeter, (2) 6 3/4 digit multimeter","The Managing Director","Rishabh Instruments (P) Ltd.","Plot No. F-31, M.I.D.C., Satpur",5500000,24,"2001-02","DSIR","Indian Rupees","Months","DSIR_2001-02_5"
"20","Department of Scientific and Industrial Research","Design, development, trial and testing of Mak World Tracker","The Managing Director","Mak Controls and Systems (P) Ltd.","122, Appu Swamy Road, Red Field",9200000,18,"2001-02","DSIR","Indian Rupees","Months","DSIR_2001-02_6"
"21","Department of Scientific and Industrial Research","Development of technology for 3-chloromethly-D3-Cephan Ester from Pen-gk","The Managing Director","S.P.I.C. Limited","Pharmaceutical Division, 88, Mount Road, Guindy",6600000,18,"2001-02","DSIR","Indian Rupees","Months","DSIR_2001-02_7"
"22","Department of Scientific and Industrial Research","Development of technology for state of the art coal tar pitch and carbon paste in pilot plant","The Managing Director","Carbon Resources Pvt. Ltd.","New Barganda Road",3700000,18,"2001-02","DSIR","Indian Rupees","Months","DSIR_2001-02_8"
"23","Department of Scientific and Industrial Research","Development of process for manufacturing of 1 Bromo 3-chloro Propane (b.c.p) & 1,3 Dibromo Propane (d.b.p) in Pilot Plant","The Managing Director","Anu's Laboratories Ltd.","A-49, Madhuranagar, Vengalraonagar",6400000,16,"2001-02","DSIR","Indian Rupees","Months","DSIR_2001-02_9"
"24","Department of Scientific and Industrial Research","Scale up process development for production of Liposomal Amphotericin B, awareness programme andclinical performance trials","The Managing Director","Lifecare Innovations Pvt. Ltd.","24, Aradhana Enclave, R.K. Puram",5000000,16,"2001-02","DSIR","Indian Rupees","Months","DSIR_2001-02_10"
"25","Department of Scientific and Industrial Research","Development of Novel resins for use in solid phase organic synthesis and combinatorial chemistry","The Managing Director","Bharvi Laboratories (P) Ltd.","No. 17, 44/3, Kanakpura Road, Doddkallasandra",2045000,36,"2001-02","DSIR","Indian Rupees","Months","DSIR_2001-02_11"
"26","Department of Scientific and Industrial Research","Development of technical and equipment for production of large diameter stoneware/vitrified clay pipes","The Managing Director","Priya Klay (P) Ltd.","J1/160 Rajouri Garden",6000000,24,"2001-02","DSIR","Indian Rupees","Months","DSIR_2001-02_12"
"27","Department of Scientific and Industrial Research","Development and demonstration of improved process technology for the production of Trichloroacetyl Chloride (T C A C) - A versatile and high impact organic intermediate","The Managing Director","Chemfab Alkalis Ltd.","Gnanananda Place, Kalapet",2500000,12,"2001-02","DSIR","Indian Rupees","Months","DSIR_2001-02_13"
"28","Department of Scientific and Industrial Research","Secintometric study of indian patent literature patentrometrics","S. Singh","Delhi University","Benito Juarez Road, South Campus",710600,18,"2001-02","DSIR","Indian Rupees","Months","DSIR_2001-02_14"
"29","Department of Scientific and Industrial Research","National Mapping of Science using indian science abstract (ISA) CD-ROM database","A. Pandalii","INSDOC","14, Satsang Vihar Marg",318500,12,"2001-02","DSIR","Indian Rupees","Months","DSIR_2001-02_15"
"30","Department of Scientific and Industrial Research","Encoding and decoding of graphical chemical structure as commercial barcodes","S. Krishnan","National Chemical Laboratory","Pashan Road",640800,24,"2001-02","DSIR","Indian Rupees","Months","DSIR_2001-02_16"
"31","Department of Scientific and Industrial Research","Micro level conceptual design of a metadata framework for medicinal plants with respect to India","A.Y. Asundi","Karnataka State Library Association","No. 4, 17th Cross, West Park Road, Malleswaram",225000,24,"2001-02","DSIR","Indian Rupees","Months","DSIR_2001-02_17"
"32","Department of Scientific and Industrial Research","Food informatics and training opportunities: Food Technology Networking","The Director","Central Food Technological Research Institute"," ",1572000,24,"2001-02","DSIR","Indian Rupees","Months","DSIR_2001-02_18"
"33","Department of Scientific and Industrial Research","National Natural History Management Information Facility","V. Chawan","National Chemical Laboratory","Pashan Road",837400,24,"2001-02","DSIR","Indian Rupees","Months","DSIR_2001-02_19"
"34","Department of Scientific and Industrial Research","Grassroots Green Innovations local language database","A. Gupta","SRISTI","B/2, Srikrishana Apartment, Near Lad Society, Vastrapur",9420000,36,"2001-02","DSIR","Indian Rupees","Months","DSIR_2001-02_20"
"35","Department of Scientific and Industrial Research","Design and Manufacture of Prototype Ceramic Membrane Filtration Unit for Production of Safe Domestic Drinking Water"," ","Bharat Heavy Electricals Limited","AT Ceramic Business Unit, P.B. No. 1245, I.I.Sc. Post",7000000,30,"2002-03","DSIR","Indian Rupees","Months","DSIR_2002-03_1"
"36","Department of Scientific and Industrial Research","Development  And Utilisation of Natural Dyes From the Forest Plants of Uttranchal"," ","Forest Research Insitute","P.O. New Forest",5032000,36,"2002-03","DSIR","Indian Rupees","Months","DSIR_2002-03_2"
"37","Department of Scientific and Industrial Research","Development of an Improved Tilting Disc Heart Valve Prosthesis"," ","T.T.K. Healthcare Limited","AT 6, Cathedral Road",4000000,36,"2002-03","DSIR","Indian Rupees","Months","DSIR_2002-03_3"
"38","Department of Scientific and Industrial Research","Development of Membrane Technology for Natural Gas Separation"," ","Engineers India Limited","Engineers India Bhavan, 1, Bhikaji Cama Place",4200000,24,"2002-03","DSIR","Indian Rupees","Months","DSIR_2002-03_4"
"39","Department of Scientific and Industrial Research","Technology Development and Demonstration for Application of Crosslinkable-aquous Aliphatic Polyurethane Dispersions (c-apud) for leather and shoe finishing"," ","Haryana Leather Chemicals Limited","1004, Bhikaji Cama Bhavan, Bhikaji Cama Place",5000000,24,"2002-03","DSIR","Indian Rupees","Months","DSIR_2002-03_5"
"40","Department of Scientific and Industrial Research","Design & Development of Optical Power Meter (Type A & B) and Optical Talk Set"," ","Aishrwa Telecom Pvt. Ltd.","3C, Samrat Commercial Complex, Opp. Ag. Office, Aifabad",500000,9,"2002-03","DSIR","Indian Rupees","Months","DSIR_2002-03_6"
"41","Department of Scientific and Industrial Research","Development and Demonstration of Complete Automated Solution for Hydrography (cash)"," ","Pan India Electromech Pvt. Ltd.","105, Phase IV, Udyog Vihar",800000,9,"2002-03","DSIR","Indian Rupees","Months","DSIR_2002-03_7"
"42","Department of Scientific and Industrial Research","Development and Demonstration of Eco-friendly and Efficient Edible Oil Refining Technology of Twin Bleaching System and Deacidification cum Deodorization system"," ","Mecpro Heavy Engineering Ltd."," ",5000000,12,"2002-03","DSIR","Indian Rupees","Months","DSIR_2002-03_8"
"43","Department of Scientific and Industrial Research","Development and Demonstration of high Energy Density Valve-regulated Lead-acid Batteries for Electric Vehicles"," ","Ned Energy Limited","6-3-1109/1, Navbharat Chambers, Raj Bhawan Road",4600000,36,"2002-03","DSIR","Indian Rupees","Months","DSIR_2002-03_9"
"44","Department of Scientific and Industrial Research","Development of a Learning Content Management System (LCMS) with an Intelligent Authority Tool"," ","Aptech Limited","1&2, SDF VII, Seepz, Andheri (E)",6000000,24,"2002-03","DSIR","Indian Rupees","Months","DSIR_2002-03_10"
"45","Department of Scientific and Industrial Research","Development of Fraud Management And Control Centre(FMCC)"," ","MIC Electronics Limited","AT A-4, Electronic Complex, Kushaiguda",3300000,18,"2002-03","DSIR","Indian Rupees","Months","DSIR_2002-03_11"
"46","Department of Scientific and Industrial Research","Mobile Control System (i) Sectional Type Directional Control Valve, (ii) Mono-block Type Control Valve, (iii) Low Noise Single Vane Pump"," ","Yuken India Limited","At PB No. 16, Whitefield Road, Whitefield",4000000,18,"2002-03","DSIR","Indian Rupees","Months","DSIR_2002-03_12"
"47","Department of Scientific and Industrial Research","Research & Development of Aluminium Cylinders For Liquified Gases For Domestic, Automotive Applications"," ","Klas Technology Ventures Ltd.","At 12th K.M. Kanakapura Road",6000000,24,"2002-03","DSIR","Indian Rupees","Months","DSIR_2002-03_13"
"48","Department of Scientific and Industrial Research","Technology Demonstration project for Test Roadstretch using Marble Slurry Dust in Kotel Village of Rajsamand District under District Poverty Initiative Project (DPIP)"," ","Udaipur Chamber of Commerce and Industry"," ",900000,36,"2002-03","DSIR","Indian Rupees","Months","DSIR_2002-03_14"
"49","Department of Scientific and Industrial Research","Development of CTI (Computer Telephony Integration) Based Call Centre Software","Director","S.M. Telesys Ltd.","A-51, Sector-8,",3000000,12,"2003-04","DSIR","Indian Rupees","Months","DSIR_2003-04_1"
"50","Department of Scientific and Industrial Research","Development of Process for the Manufacture of Ethyl 2(2-aminothiazol-4yl)-2- Methoxyiminoacetate and 2-formylamino-4-thiazole Acetic  Acid Ethyl Ester in Pilot Plant)","Director","Process Design & Engineering Company Consultants","107, Ansal Bhawan, KG Marg",6500000,14,"2003-04","DSIR","Indian Rupees","Months","DSIR_2003-04_2"
"51","Department of Scientific and Industrial Research","Development & Demonstration of Technology of Continuous Hydrogeneration System","Director","Mecpro Heavy Engineering Ltd.","610, Som Dutt Chamber-II, Bhikaji Cama Place",7000000,18,"2003-04","DSIR","Indian Rupees","Months","DSIR_2003-04_3"
"52","Department of Scientific and Industrial Research","Development of Active Pharmaceutical Ingredients (api), api Intermediates, metal Acetylacetonates","Director","S.M.S. Pharmaceuticals Limited","Industrial Estate, Kazipalli Village, Jinnaram Mandal",13500000,27,"2003-04","DSIR","Indian Rupees","Months","DSIR_2003-04_4"
"53","Department of Scientific and Industrial Research","Designing and Developing the Technology for Manufacturing of EHV Composite Insulator for Appication in 132kv,22kv & 400kv Electric Power T&D Line","Director","Goldstone Teleservices Limited","Amarchand Sharma Complex, S.D. Road",20000000,18,"2003-04","DSIR","Indian Rupees","Months","DSIR_2003-04_5"
"54","Department of Scientific and Industrial Research","Development of STM-1 Based Customer Premises Equipment","Director","Coral Telecom","C-28, Sector-8",8000000,18,"2003-04","DSIR","Indian Rupees","Months","DSIR_2003-04_6"
"55","Department of Scientific and Industrial Research","Development of High Sensitivity Photo Cathode for 18 MM Super Gen Image Intensifier tubes","Director","Bel Optronic Devices Ltd.","EL-30, J Block, Bhosari Industrial Area",7100000,24,"2003-04","DSIR","Indian Rupees","Months","DSIR_2003-04_7"
"56","Department of Scientific and Industrial Research","Optical Test Equipments","Director","Aishwaya Telecom Pvt. Ltd.","3-C, Samrat Commercial Complex, Aofabad",1800000,12,"2003-04","DSIR","Indian Rupees","Months","DSIR_2003-04_8"
"57","Department of Scientific and Industrial Research","Development of Upgraded Digital Voice Logger With 32 Channels, E1 and Fax Compatibility","Director","Abacus Softech Ltd.","A-85, 2nd Floor, East of Kailash",7500000,12,"2003-04","DSIR","Indian Rupees","Months","DSIR_2003-04_9"
"58","Department of Scientific and Industrial Research","Animal identification system through RFID","Director","Rajasthan Electronics & Instruments Ltd.","2, Kankpura Industrial Area",2000000,9,"2004-05","DSIR","Indian Rupees","Months","DSIR_2004-05_1"
"59","Department of Scientific and Industrial Research","Development of special version of low loss RT, Data Bus Electronic Wires and Cables, laser marked loom assemblies and cable hardnesses for EW systems, marine applicaions and Aerospace applications","Director","Radiant Cables Pvt. Ltd.","B-1, Industrial Estate, Sanathnagar",6200000,18,"2004-05","DSIR","Indian Rupees","Months","DSIR_2004-05_2"
"60","Department of Scientific and Industrial Research","Technology development and validation of design methodology:  To manufacture of energy efficient pumps","Director","Process Pumps (I) Pvt. Ltd.","Plot No 86,  III Phase, Peenya Industrial  Area",1450000,18,"2004-05","DSIR","Indian Rupees","Months","DSIR_2004-05_3"
"61","Department of Scientific and Industrial Research","Development of inactivated vaccine using native isolates of Mycobacterium Avium subsp.. Paratuberculosis against Johne's disease in goats and sheep","Director","Central Institute for Research on Goats","Makhdoom, PO Farah,  Matgura, Dholi Pyau",840000,36,"2004-05","DSIR","Indian Rupees","Months","DSIR_2004-05_4"
"62","Department of Scientific and Industrial Research","Design, development and demonstration of innovative equipment for improved organic manure process from  Municipal Solid Waste at a  Pilot Scale","Director","Bull Machine (Pvt) Limited","S.F. No 5/1-A, Trichy Road,  L&T Byepass Jn.",8500000,18,"2004-05","DSIR","Indian Rupees","Months","DSIR_2004-05_5"
"63","Department of Scientific and Industrial Research","Development of Optical Time Domain Reblectometer (OTDR)","Director","Aiswarya Telecom Pvt. Ltd.","3C, Pamrat Commercial Complex, Sifierd",3500000,12,"2004-05","DSIR","Indian Rupees","Months","DSIR_2004-05_6"
"64","Department of Scientific and Industrial Research","Development of GaAs low noise Amplifier NMICs","B.M. Reddy","ASTRA Microwave Products Ltd","6-3-639/640, 303, 3rd Floor, Khairatbad",4000000,9,"2005-06","DSIR","Indian Rupees","Months","DSIR_2005-06_1"
"65","Department of Scientific and Industrial Research","Design & development of 6DoF Electrical Motion Plateform","A. Atluri","Zen Technologies Ltd.","C-63, Industrial Estate",20000000,24,"2005-06","DSIR","Indian Rupees","Months","DSIR_2005-06_2"
"66","Department of Scientific and Industrial Research","Development of Tactical Digital Radio","A.J. Prasad","H.B.L. NIEF Power Systems Ltd","8-2-601, Road No 10. Banjara Hills",15400000,24,"2005-06","DSIR","Indian Rupees","Months","DSIR_2005-06_3"
"67","Department of Scientific and Industrial Research","Development of Iplants for knee joint","K.H. Sancheti","Poona Health Services","16, Shivajinagar",12000000,24,"2005-06","DSIR","Indian Rupees","Months","DSIR_2005-06_4"
"68","Department of Scientific and Industrial Research","Development of Telemetry Receiver","P.J.B. Noble","Park Controls & Communications Ltd","#22, 80 Road, HAL, 3rd Stage",12500000,24,"2005-06","DSIR","Indian Rupees","Months","DSIR_2005-06_5"
"69","Department of Scientific and Industrial Research","Development of Piezoelectrically actuated micro mechanical switch of FR application","K. Natarajan","Bharat Electronics Ltd.","Jalahalli Post",2000000,24,"2005-06","DSIR","Indian Rupees","Months","DSIR_2005-06_6"
"70","Department of Scientific and Industrial Research","Development of 19MM Dia cored wire & faster wire feeding system","G.S. Narayan","Ardee Business Pvt. Ltd.","BB-8, 7&8 Area, Civil Township",7000000,12,"2005-06","DSIR","Indian Rupees","Months","DSIR_2005-06_7"
"71","Department of Scientific and Industrial Research","Development of Toxicity Prediction Module & integration with CELSUITE - a computer aided drug design tool","A.N. Singh","Celestrial Labs Ltd.","Plot No 235 A, Road No 36, Jubli Hill",7500000,18,"2005-06","DSIR","Indian Rupees","Months","DSIR_2005-06_8"
"72","Department of Scientific and Industrial Research","Development of Optical Time domain reflector","Director","Aiswarya Telecom Pvt. Ltd.","3C, Samrat Commercial Complex, Saifabad",3500000,12,"2005-06","DSIR","Indian Rupees","Months","DSIR_2005-06_9"
"73","Department of Scientific and Industrial Research","Development of novel therapeutics based upon natural products from Indian Medicinal Plants","Registrar","Delhi University","Department of Chemistry",22578000,18,"2006-07","DSIR","Indian Rupees","Months","DSIR_2006-07_1"
"74","Department of Scientific and Industrial Research","Development of process for the manufacture of nano labeled DNA/RNA compounds","Director","Ogene Systems(I) PVT. LTD."," ",11000000,24,"2006-07","DSIR","Indian Rupees","Months","DSIR_2006-07_2"
"75","Department of Scientific and Industrial Research","Microbial production of Arachidonic Acid (ARA), An OMEGA-6 Polyunsaturated fatty acid essential for human health","Director","A.B.L. Biotechnologies Ltd."," ",18000000,36,"2006-07","DSIR","Indian Rupees","Months","DSIR_2006-07_3"
"76","Department of Scientific and Industrial Research","Development of Dorzolamide HCL","Director","Sequent Scientific Ltd.","120 A&B Baikampady Industrial Area",8600000,18,"2007-08","DSIR","Indian Rupees","Months","DSIR_2007-08_1"
"77","Department of Scientific and Industrial Research","Development of 90 kw brushless eddy current clutch gear unit for radiator cooling fans in diesel electric locomotives of the Indian railways","Director","Eddy Current Controls (I) Limited"," ",2750000,12,"2007-08","DSIR","Indian Rupees","Months","DSIR_2007-08_2"
"78","Department of Scientific and Industrial Research","Development of pilot plant trials towards commercialisation of two products namely: (I) A pentapeptide with a natural triterpenoid conjugate (II) extraction of pterostilbebe from pterocarpusmarsupium & conversion to resveratrol","Director","Sami Labs Limited","19/1 & 2, .1st Main Phase, Peenya Industiral Area",7500000,12,"2007-08","DSIR","Indian Rupees","Months","DSIR_2007-08_3"
"79","Department of Scientific and Industrial Research","Glargine process improvement","N. Dave","Biocon Limited","20th K.M. Hosur Road, Electronic City",17000000,9,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_1"
"80","Department of Scientific and Industrial Research","Design & development of a DNA fingerprint based photopolymer hologram reader/writer for personnel identification & security","M.C. Devi","Light Logics Holography & Optics Pvt. Ltd.","Technopark Technology Business Incubator, Technopark",1500000,12,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_2"
"81","Department of Scientific and Industrial Research","Design of novel plant bioreactor","R. Agarwal","Indian Institute of Technology (Kh)","STEP",500000,12,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_3"
"82","Department of Scientific and Industrial Research","Development of aqueous metal oxide based supercapacitors","P.B. Karandikar"," ","5/5 Golf Residency, Don Bosco Road, Yerawada",400000,24,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_4"
"83","Department of Scientific and Industrial Research","Development of eco-washing process for hand made woolen carpet industry","C.F. Sharma"," ","W/o Shri P.M. Sharma, Gyanpur Road",880000,12,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_5"
"84","Department of Scientific and Industrial Research","Innovation of ultraclean electro stag refined technology/cost effective substitute for clinical applications","M.S.N. Balasubramanian"," ","4/169, Ambala Nagar Extension, Kowdiar P.O.",680000,24,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_6"
"85","Department of Scientific and Industrial Research","Light emitting POP tiles","M.V. Sawant"," ","003-C-29, B-Wing, Sarathi Co-op. Housing Society, Gokuldham, Goregaon (E)",500000,12,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_7"
"86","Department of Scientific and Industrial Research","Novel tamper proof, tear proof, durable leather as printing paper for niche applications","K.M. Fakruddin"," ","20/2D, Gandhi Main Road, Shankar Nagar, Pammal",435900,12,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_8"
"87","Department of Scientific and Industrial Research","Pickling acid recovery using diffusion dialysis","A.A. Narayan"," ","A-5, TREC - STEP, Thuvakudi",700000,12,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_9"
"88","Department of Scientific and Industrial Research","Shoe brush with wax polish","D. Kumar"," ","660, New Prem Nagar",175000,24,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_10"
"89","Department of Scientific and Industrial Research","Slow-release multi-micronutrient zinc & boron based fertilizer","C. Varadachari"," ","4A, Ratnabali, 7A Judges Court Road",1300000,18,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_11"
"90","Department of Scientific and Industrial Research","Synthesis of nanocrystalline HAP & sintered compacts of the same","T. Mandal","Indian Institute of Technology (K)","D-104, Hall - 4",1000000,18,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_12"
"91","Department of Scientific and Industrial Research","Device & process to capture losses due to weather event in any specific Geographical coordinate","S. Agarwal","Indian Institute of Technology (K)","G - 5, SIDBI Innovation & Incubation Centre",750000,12,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_13"
"92","Department of Scientific and Industrial Research","Development of small PV-wind hybrid power plant for rural application","S.P. Singh","Rajasthan Electronics & Instruments Ltd.","2, Kanakpura Industrial Area, Sirsi Road",2232000,12,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_14"
"93","Department of Scientific and Industrial Research","2-D Nano-Positioner","R. Kumar","Indian Institute of Technology (K)","Room No. 129, New RA Hostel",600000,12,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_15"
"94","Department of Scientific and Industrial Research","AAC device with dynamic message generation & speech synthesis for children with cerebral palsy","A. Narayanan"," ","CGE-2A, Kuppam Beach Road, Thiruvanmiyur",1000000,11,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_16"
"95","Department of Scientific and Industrial Research","Automated scan lock","V.K. Singh"," ","D-59/103, Q-5, Opp. Siddhartha Complex, Sigra-Mammoorganj Road",700000,10,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_17"
"96","Department of Scientific and Industrial Research","Ball press washer for cleaning & crushing biological raw materials","P.R.K. Mulakkazhathu"," ","Vayalar P.O., Cherthala",600000,12,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_18"
"97","Department of Scientific and Industrial Research","Bath brush","K.K. Kannan"," ","38/9-A, Pananthoppu Street, Sitharkadu, Jn. Nagia(Dt)",176000,12,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_19"
"98","Department of Scientific and Industrial Research","Control of biofouling in ships & atomic power station cooling system","P. Ayyappan"," ","45, 25th Cross Street, Basanth Nagar",445455,24,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_20"
"99","Department of Scientific and Industrial Research","Cooled helmet for two wheeler riders","G. Koshy"," ","D2/1, Vipul Mitra CHS, Goregaon (West)",665000,18,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_21"
"100","Department of Scientific and Industrial Research","Design & development of a prototype of a digital textile printing machine","S. Rajakumar"," ","Old No. 56, New No. 24, First Floor, Pitchai Braminar Street, Thanjavur District",950000,12,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_22"
"101","Department of Scientific and Industrial Research","Design & development of domestic monoblock pump without shaft","K.M. Srinivasan"," ","245, East Thiruvenkatasamy Road, R.S. Puram",700000,24,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_23"
"102","Department of Scientific and Industrial Research","Design & development of dynamic stretch comfort measurement device for sport & healthcare applicaion","L.A. Kumar","P.S.G. College of Technology","Department of Electrical & Electronics Engineering",100000,12,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_24"
"103","Department of Scientific and Industrial Research","Development of a commercial Rheometer for high performance concrete","A.I. Laskar","National Institute of Technology (Silchar)","Department of Civil Engineering",1200000,12,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_25"
"104","Department of Scientific and Industrial Research","Development of a wireless sensor netowrk & communication protocol in underground mine environment","P. Mukhopadhyay","Indian Institute of Technology (Kh)","A-205, Vikram Sarabhai Residential Complex",1000000,12,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_26"
"105","Department of Scientific and Industrial Research","Development of customized audiometer","M.N. Nagaraj"," ","Door No. 3588, 70th Cross, II Stage, Kumaraswamy Layout",1400000,18,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_27"
"106","Department of Scientific and Industrial Research","Development of friction stir welding process","M.M. Mahapatra"," ","MIG-185, Kalinga Vihar, P.O. Patrapara",1140000,24,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_28"
"107","Department of Scientific and Industrial Research","Development of Star Node Circuit Breakers (SNCB)  for newly invented midget transformers as well as for some presntly available conventional tranformers","G. Srinivasan"," ","11/8, Navanith Apartments, Kamaraj Street, Shanthinagar, Saligramam",1000000,12,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_29"
"108","Department of Scientific and Industrial Research","Digital controlled precise dispensing valve for liquids under gravity flow","P.S. Vishnu"," ","101, Shri Jankidas Shelters, B. Baidya Chowk, Near City P.O., Kalyan (West)",1500000,12,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_30"
"109","Department of Scientific and Industrial Research","Fermenter - microprocessor based controller with GSM mobile technology","H.A. Ali"," ","46, Appar Street, Thiruvalliswara Nagar, Thirumanglam, Anna Nagar West Extension",300000,12,"2008-09","DSIR","Indian Rupees","Months","DSIR_2008-09_31"
