NOMBRE DEL SUJETO DE APOYO ,NOMBRE DEL PROYECTO,SECTOR,MONTO 
HONEYWELL INGENIERIA Y TECNOLOGIA AEROESPACIAL DE MEXICO S DE RL DE CV ,DISENO Y DESARROLLO DE INSTALACIONES DE PRUEBA DE COMPONENTES AEROESPACIALES DEL BOEING 777X,AEROESPACIAL," 7,070,234 "
TLACHIA SYSTEMS SA DE CV,TECNIFICACION DE FERTIRRIEGO ORGANICO EN PRODUCCION AGRICOLA,AGROINDUSTRIAL," 3,555,525 "
SERVICIOS LEGALES INNOVADORES SA DE CV ,DISENO Y CONSTRUCCION DE UNA PLATAFORMA WEB PARA LA AUTOMATIZACION DE LOS PROCESOS NOTARIALES.,TECNOLOGÍAS DE LA INFORMACIÓN," 905,878 "
GCC CEMENTO SA DE CV,IMPLEMENTACION DE UN NUEVO COMBUSTIBLE ALTERNO A BASE DE BASURA (2A ETAPA) PARA EL QUEMADOR PRINCIPAL.,ENERGÍA," 9,999,401 "
ITNOVARE SOLUTIONS SA DE CV,SISTEMA INTELIGENTE DE INTERACCION TURISTICA CON DISPOSITIVOS MOVILES Y SENSORES DE ONDA CORTA.,TECNOLOGÍAS DE LA INFORMACIÓN," 2,127,259 "
QUALTOP SA DE CV,"PROTOTIPO SMART-GUIDE PARA PERSONAS CON DISCAPACIDAD VISUAL, TERCERA ETAPA",TECNOLOGÍAS DE LA INFORMACIÓN," 3,758,032 "
PINTURA ESTAMPADO Y MONTAJE SAPI DE CV ,FORJA MODERNA DE CIGüENALES CON ACEROS ESPECIALES PARA MOTORES DE ALTO RENDIMIENTO,AUTOMOTRIZ," 5,853,237 "
LABORATORIOS SENOSIAIN SA DE CV ,NUEVAS FORMAS SOLIDAS DE INGREDIENTES FARMACEUTICAMENTE ACTIVOS,FARMACÉUTICA," 1,993,613 "
ARDITA MEXICO SA DE CV,CAMARA MULTIESPECTRAL CON CAPACIDAD DE RECONSTRUCCION EN 3D,ELECTRÓNICA," 1,662,500 "
HALIMBER SA DE CV,PLATAFORMA DIGITAL CON ALGORITMOS NEURONALES PARA COMPRAS INTELIGENTES MEDIANTE DISPOSITIVOS MOVILES,TECNOLOGÍAS DE LA INFORMACIÓN," 5,145,535 "
IDEAR ELECTRONICA SA DE CV ,BEA SMART-FBX SISTEMA DE COBRO MULTIMODAL ABORDO DE AUTOBUSES PARA EL MERCADO DE ESTADOS UNIDOS,ELECTRÓNICA," 5,042,500 "
LEARNING BY DIGITAL TECNOLOGIES S DE RL DE CV,REVISTA DIGITAL INTERACTIVA 3D CON REALIDAD AUMENTADA PARA LOS PUEBLOS MAGICOS DE MEXICO,TECNOLOGÍAS DE LA INFORMACIÓN," 4,503,938 "
RESIRENE SA DE CV ,"POLIMEROS SIN PETROLEO, 100% BIOBASADOS.",PLÁSTICOS," 1,544,136 "
CONAGRA FOODS MEXICO SA DE CV,"DESARROLLO DE PRODUCTOS, PROCESOS Y EMPAQUES PARA LAS LINEAS ESTRATEGICAS DE NEGOCIO",ALIMENTOS," 7,895,449 "
SEMILLAS CERES SA DE CV ,VALIDACION DE PARENTALES DE MAIZ PARA GENERAR HIBRIDOS TOLERANTES A FUSARIUM VERTICILLIOIDES,AGROINDUSTRIAL," 900,000 "
PRODUCTOS DE HARINA SA DE CV,DESARROLLO Y ESCALAMIENTO DE DOS LINEAS DE CEREALES CON AGLOMERANTES NO CALORICOS Y ANTIOXIDANTES,ALIMENTOS," 2,116,386 "
CANEL'S SA DE CV ,PROTOTIPO SECUENCIADO PARA LAMINACION DE GOMA DE MASCAR: TEXTURA Y MEZCLA HOMOGENEA (PROGOMA),ALIMENTOS," 10,276,342 "
HONEYWELL INGENIERIA Y TECNOLOGIA AEROESPACIAL DE MEXICO S DE RL DE CV ,DISENO DE COMPONENTES DEL APU Y EQUIPO PARA PRUEBAS DE INTEGRACION DEL BOEING-777X USANDO MODEL BASED ENTERPRISE,AEROESPACIAL," 6,975,138 "
FICOSA NORTH AMERICA SA DE CV,"DISENO Y DESARROLLO DE ESPEJO RETROVISOR EXTERIOR, CONTROL DE ANGULO MUERTO Y VISION PERIFERICA.",AUTOMOTRIZ," 4,699,240 "
INDUSTRIA PARRALENSE DE AUTOPARTES S DE RL DE CV ,IDT DE CADENAS SILENCIOSAS Y DE RODILLO A TRAVES DE LA REDUCCION DEL “EFECTO POLIGONO” EMPLEANDO MODELACION POR ELEMENTO FINITO,AUTOMOTRIZ," 15,778,202 "
AGROINDUSTRIAS UNIDAS DE MEXICO SA DE CV ,MEJORA DE CAFETICULTURA VERACRUZANA MEDIANTE DIFUSION DE NUEVAS VARIEDADES HIBRIDAS DE CAFE ARABICA,AGROINDUSTRIAL," 3,100,024 "
SIGNA SA DE CV ,DESARROLLO QUIMICO ANALITICO DE FARMACOS CON AMPLIACION DE CENTRO DE INVESTIGACION Y TECNOLOGIA,QUÍMICA," 12,575,613 "
GENERADORES DE TECNOLOGIA VERDE SA DE CV ,DESARROLLO DE PROTEìNA DE ALTA BIODIGESTABILIDAD PARA LA FORMULACION DE ALIMENTOS BALANCEADOS PARA GANADO OVINO Y PREMIOS PARA MASCOTA.,ALIMENTOS," 1,784,748 "
CREATION BOX SA DE CV,DESARROLLO DE TECNOLOGIA PARA CREACION DE CONTENIDO MULTIMEDIA EDUCATIVO PARA EVALUACION Y COMERCIO,TECNOLOGÍAS DE LA INFORMACIÓN," 1,656,798 "
SKYWORKS SOLUTIONS DE MEXICO S DE RL DE CV ,INVESTIGACION Y DESARROLLO DE PROTOTIPO FUNCIONAL PARA MICROCIRCUITOS CON MULTICAPAS DE CERAMICA,ELECTRÓNICA," 16,983,200 "
AXIS INGENIERIA SA DE CV ,SISTEMA PARA EL MONITOREO DE FAUNA SILVESTRE EN ZONAS SIN INTERNET Y ENERGETICAMENTE AUTONOMO.E1,"ÓPTICA, EQUIPOS Y SISTEMAS"," 1,236,039 "
PRECISION SHEET METAL DE MEXICO S DE RL DE CV ,CENTRO DE DESARROLLO DE NUEVOS PRODUCTOS METALMECANICOS Y 4 NUEVOS PRODUCTOS,METALMECÁNICA," 3,679,870 "
INDUSTRIAS VEPINSA SA DE CV ,OBTENCION DE QUITOSANO Y SUS DERIVADOS PARA USO AGRICOLA Y EN ALIMENTOS,BIOTECNOLOGÍA," 26,788,947 "
X-NAX S DE RL DE CV,PROCESO PARA EL TRATAMIENTO BIOLOGICO DE VINAZAS DE LA INDUSTRIA TEQUILERA MEDIANTE LA PRODUCCION DE PROTEINA UNICELULAR,AGROINDUSTRIAL," 5,286,148 "
ENERVIVA SA DE CV ,OPTIMIZACION DEL PROCESO DE PRODUCCION DE BIODIESEL MEDIANTE TECNICAS DE INTENSIFICACION DE PROCESOS,QUÍMICA," 1,808,452 "
AGROINDUSTRIA ALTERNATIVA DEL SURESTE SPR DE RL DE CV ,"MEJORAMIENTO GENETICO J. CURCAS, GENERACION DE HIBRIDOS PARA YUCATAN. E2:INDUCCION DOBLE HAPLOIDIA",AGROINDUSTRIAL," 4,199,487 "
SITELDI SOLUTIONS SA DE CV ,DESARROLLO DE UN SISTEMA EXPERTO DE EVALUACION A DESTINOS TURISTICOS Y PROMOCION,TECNOLOGÍAS DE LA INFORMACIÓN," 4,500,000 "
DESARROLLO E INVESTIGACION SA DE CV,"OPTIMIZACION DE ADHESIVO ACRILICO DE TRANSFERENCIA DOBLE CARA, NIVEL PLANTA PILOTO",QUÍMICA," 7,788,738 "
PRODUCTORA DE ENVASES THERMOPLASTICOS SAPI DE CV ,DISENO DE UN ANFORA FUNCIONAL PARA LA CAPTACION ELECTRONICA Y ALMACENAMIENTO DE ENERGIA AMBIENTAL,ELECTRÓNICA," 9,769,760 "
IMPLEMENTOS OCHOA SA DE CV,DESARROLLO DE UN SISTEMA DE EMPUJE Y ARRASTRE FERROVIARIO PARA USO EN BODEGAS Y ALMACENES,MAQUINARIA INDUSTRIAL," 6,466,774 "
ECOTOTAL SA DE CV ,DESARROLLO DE UN PROCESO PARA EFICIENTAR EL TRATAMIENTO DE HIDROCARBUROS Y METALES PESADOS EN LODOS.,METALMECÁNICA," 5,954,692 "
GRAFICOS Y CORRUGADOS DE PARRAL S DE RL DE CV ,IDTI DE UN RECUBRIMIENTO RETICULADO A BASE DE POLISACARIDOS SUSTENTABLES SOBRE EL CARTON CORRUGADO PARA LA APLICACION DE LAS TINTAS,IMPRESIÓN," 9,974,011 "
INGENETIC SA DE CV ,DISENO Y DESARROLLO DE SISTEMA DE REFRIGERACION AUTONOMO PARA MEDICAMENTO ESPECIALIZADO,SALUD," 6,639,753 "
QUETZAL AEROESPACIAL S DE RL DE CV ,OPTIMIZACION DE UN SISTEMA AEREO NO TRIPULADO QUE INCLUYA CAPACIDADES DE PROCESAMIENTO DIGITAL DE IMAGEN Y PERCEPCION REMOTA,AEROESPACIAL," 15,705,564 "
LABORATORIOS LIOMONT SA DE CV ,TRATAMIENTO BIOTECNOLOGICO INNOVADOR PARA INFECCIONES BACTERIANAS A TRAVES DE PEPTIDOS DE ALACRAN,FARMACÉUTICA," 4,302,995 "
PROLEC GE INTERNACIONAL S DE RL DE CV,TRANSFORMADORES DE BAJAS PERDIDAS DE ENERGIA CON MATERIALES MAGNETICOS AVANZADOS (CICLO #2),ELÉCTRICA," 1,966,524 "
KRISMAR COMPUTACION TOLUCA S DE RL DE CV ,PLATAFORMA EDUCATIVA KRISMAR PARA SECUNDARIA,TECNOLOGÍAS DE LA INFORMACIÓN," 4,737,714 "
ESYSTEMS DE MEXICO S RL DE CV ,"CONTINUACION DEL PROYECTO CLAVE 212690, VDOCUMENT-PAPERLESS PARA APLICACIONES EN MOBILES",TECNOLOGÍAS DE LA INFORMACIÓN," 2,470,450 "
SI O SI ALIMENTOS SAPI DE CV ,VALIDACION DE PROPIEDADES FUNCIONALES DE PRODUCTOS LIOFILIZADOS PARA AUMENTAR EXPORTACIONES,ALIMENTOS," 4,119,986 "
SIMON QUIMICA SA DE CV,DISPERSIONES ACUOSAS HIBRIDAS DE POLIURETANO-ACRILICAS PARA CALZADO POR RUTAS QUIMICO ENZIMATICAS,CUERO Y CALZADO," 4,626,980 "
CODE INGENIERIA SA DE CV,DESARROLLO DE UNA COMPUTADORA EMBEBIDA MULTIPROPOSITO BASADA EN UNA PLATAFORMA DE HARDWARE I.MX6,ELECTRÓNICA," 1,972,969 "
KURAGO BIOTEK HOLDINGS SAPI DE CV ,VECTOR SIMBIOTICO AVIAR PARA MEJORAR LA EFICIENCIA ALIMENTICIA Y LA PREVENCION DE INFECCIONES,BIOTECNOLOGÍA," 4,992,640 "
LABORATORIOS SENOSIAIN SA DE CV ,NUEVA OPCION TERAPEUTICA CON EFECTO PLEIOTROPICO POTENCIADO PARA EL TRATAMIENTO DE DISLIPIDEMIAS,QUÍMICA," 1,533,073 "
LABORATORIOS SENOSIAIN SA DE CV ,"DESARROLLO DE UN MEDICAMENTO TOPICO VAGINAL DE DOSIS UNICA, PARA INFECCIONES CERVICO-VAGINALES",QUÍMICA," 1,003,528 "
PROBIOMED SA DE CV ,DESARROLLO DE UN MEDICAMENTO BIOTECNOLOGICO BIOCOMPARABLE A PARTIR DE UNA NUEVA FORMULACION FARMACEUTICA PARA EL TRATAMIENTO DE ARTRITIS REUMATOIDE.,BIOTECNOLOGÍA," 17,715,960 "
BRAIN FUSION SA DE CV,"DISENO, DESARROLLO Y ESCALAMIENTO DE DISPOSITIVO AUTOMOTRIZ QUE INCORPORE FUNCIONALIDADES DE UNA PLATAFORMA DE APLICACIONES FUNDAMENTO DE UN EMPRENDIMIENTO DE ALTO IMPACTO QUE GENERE VALOR DE 360º.",ELECTRÓNICA," 2,420,701 "
XNOX SA DE CV ,"NUEVO DESARROLLO DE APLICADOR , DESHUMIDIFICADOR , DESOPERCULADORA, EXTRACTOR, PANAL DE MIEL",AGROINDUSTRIAL," 6,333,425 "
RED TECNOLOGICA MULTINACIONAL SA DE CV,DESARROLLO DE SISTEMA DE CONEXION CABLE–ESTRUCTURA APLICADO A LA INDUSTRIA DE LA ARQUITECTURA TEXTIL,CONSTRUCCIÓN," 608,293 "
FORTE AGRO ALIMENTOS S DE PR DE RL,INSTALACION DE UNA PLANTA PILOTO EXPERIMENTAL PARA LA ESTANDARIZACION DE PELETS DE BIOMASA DE RASTROJOS DE MAIZ PARA SU USO COMO BIOCOMBUSTIBLE.,AGROINDUSTRIAL," 4,326,078 "
INMATERIIS SA DE CV ,DESARROLLO DE ESTRUCTURAS TRIDIMENSIONALES Y MEZCLAS DE RESINAS PARA LA MANUFACTURA ADITIVA DE IMPLANTES OSEOS.,SALUD," 2,872,690 "
ATQIA S DE RL DE CV,SIMULADOR DEL TRACTO DISGESTIVO HUMANO,BIOTECNOLOGÍA," 3,231,250 "
INDUSTRIALIZADORA DE CARNICOS STRATTEGA SA DE CV ,DESARROLLO DE PELICULAS PARA COCIMIENTO DE PRODUCTOS CARNICOS A TRAVES DE PROCESOS AMBIENTALMENTE AMIGABLES II. DESARROLLO DE TECNOLOGIA DE PROCESAMIENTO,AGROINDUSTRIAL," 13,360,686 "
ESTERIPHARMA SA DE CV ,NUEVO GERMICIDA QUE PERMITE REDUCIR ANTRACNOSIS Y PUDRICIONES DE FRUTALES Y HORTALIZAS EN POSTCOSECH,FARMACÉUTICA," 4,986,352 "
PROLEC GE INTERNACIONAL S DE RL DE CV,DESARROLLO DE UN TRANSFORMADOR DE ESTADO SOLIDO (IDENTIFICACION DE ALTERNATIVAS Y EXPERIMENTACION),ELÉCTRICA," 3,344,531 "
LABORATORIOS LIOMONT SA DE CV ,DESARROLLO Y OPTIMIZACION DE UN CLON PRODUCTOR DE UN ANTICUERPO MONOCLONAL (2DO ANO),BIOTECNOLOGÍA," 8,614,172 "
AXIOMA ELECTRONICS SA DE CV,DISENO DEL SISTEMA ELECTRONICO Y DE CAPTACION DE ENERGIA CON PANELES SOLARES PARA ALIMENTACION DE LUMINARIA LEDS,ENERGÍA," 1,898,132 "
EL PEQUENO CURTIDOR DE LEON SA DE CV ,DESARROLLO A NIVEL PILOTO DE MODIFICADORES REOLOGICOS DE ALTO DESEMPENO Y ALTO VALOR AGREGADO,QUÍMICA," 8,734,805 "
MANUFACTURERA DE CIGUENALES DE MEXICO SA DE CV ,DISENO Y DESARROLLO DE UN SISTEMA DE MAQUINADO PARA REDUCIR AFECTACIONES EN CIGUENALES ETAPA 2 DE 3,METALMECÁNICA," 4,826,930 "
MANUFACTURERA DE CIGUENALES DE MEXICO SA DE CV ,IMPLEMENTACION DE PLANTA PILOTO PARA EL DESARROLLO DE NUEVAS ALEACIONES PARA CIGüENALES PARTE 2,METALURGIA," 4,845,354 "
DESHIDRATADORA MARATA SPR DE RL DE CV,PLANTA PILOTO PARA VALIDACION DE REDUCCION DE NIVELES DE MICOTOXINAS EN CHILES SECOS PARA EXPORTACI,AGROINDUSTRIAL," 4,305,000 "
MODEBO S DE RL DE CV,"SISTEMA DE MONITOREO, CLASIFICACION E IDENTIFICACION DE CONSUMOS ENERGETICOS: PARTE 2",TECNOLOGÍAS DE LA INFORMACIÓN," 4,085,715 "
DIAMOND AUTOMOTIVE SA DE CV ,DESARROLLO DE UN RECUBRIMIENTO BIMETALICO PARA METALES DE BANCADA Y BIELA DESTINADO A MEJORAR SU DES,AUTOMOTRIZ," 4,021,350 "
SBC TECNOLOGIAS SA DE CV,DISENO E IMPLEMENTACION DE PLATAFORMA HARDWARE-SOFTWARE PARA TIENDA DE CONVENIENCIA AUTOMATIZADA,TECNOLOGÍAS DE LA INFORMACIÓN," 2,144,699 "
TURISMO EXTREMO VOLCAN DE COLIMA SPR DE RL ,DESARROLLO PILOTO DEL PROCESO DE MANUFACTURA DEL SHETRE DE MENORES EMISIONES DURANTE EL ACV,MAQUINARIA INDUSTRIAL," 3,377,250 "
GCC CONCRETO SA DE CV,DESARROLLO DE UN CEMENTO CON BAJA HUELLA DE CARBONO A PARTIR DE ARENAS RICAS EN SILICE.,MINERÍA," 4,092,164 "
NPC BUSINESS SOLUTIONS SA DE CV,INTERNET DE LAS COSAS EN LA CIENCIA DE LOS DATOS,TECNOLOGÍAS DE LA INFORMACIÓN," 985,500 "
PINTURAS THERMICAS DEL NORTE SA DE CV,IDTI DE NANO-MATERIAL ANTIMICROBIAL APLICADO EN IMPERMEABILIZANTE PARA CONTROL DE BACTERIAS Y HONGOS,QUÍMICA," 8,204,238 "
TKME MONITOREO SAPI DE CV,"IMOC, DESARROLLO DE UN CENTRO DE OPERACIONES PARA GESTION DE INFRAESTRUCTURA EN CUARTOS CRITICOS",EQUIPO DE MEDICIÓN Y CONTROL," 3,761,539 "
PLAMEX SA DE CV ,PLATAFORMA DE MONITOREO Y PRUEBAS PARA EQUIPOS INALAMBRICOS DE VOZ Y DE AUDIO,TECNOLOGÍAS DE LA INFORMACIÓN," 5,348,511 "
SIMON QUIMICA SA DE CV,DESARROLLO DE ADHESIVOS DE POLIURETANO PARA SUSTITUIR NEOPRENO EN INDUSTRIA TEXTIL Y CALZADO.,QUÍMICA," 2,147,505 "
DISACHEN SA DE CV ,"""CENTRO TECNOLOGICO DE DESARROLLO DE DISOLVENTES FARMACEUTICOS Y REACTIVOS PARA LA INDUSTRIA BIOTECN",QUÍMICA," 1,877,792 "
CENTRO PARA LA INNOVACION LA CIENCIA Y LA TECNOLOGIA DEL VALLE DE MEXICO SA DE CV,DISENO E IMPLEMENTACION DE ESTRATEGIAS PARA LA DETECCION DE APTITUDES SOBRESALIENTES Y MOTIVACION,TECNOLOGÍAS DE LA INFORMACIÓN," 9,000,000 "
SOLUCIONES TI MX S DE RL DE CV,GREEN TRACK SYSTEM (GTS),TECNOLOGÍAS DE LA INFORMACIÓN," 4,135,100 "
INDUSTRIALIZADORA OLEOFINOS SA DE CV,EMULSION DE ACEITE DE PALMA PARA GRASA DE ALTO RENDIMIENTO Y BAJO CONTENIDO CALORICO-IND ALIMENTICIA,ALIMENTOS," 5,024,974 "
PROMOTORA INDUSTRIAL ACUASISTEMAS SA DE CV ,"DESARROLLAR ALIMENTOS FUNCIONALES PARA EL CULTIVO DE PECES MARINOS, POR MEDIO DE ESTRATEGIAS INNOVADORAS DE DISENO Y MANUFACTURA DE ALIMENTOS EXTRUIDOS A ESCALA PILOTO",ALIMENTOS," 8,475,000 "
ASESORIA EN SISTEMAS Y TECNOLOGIAS ADMINISTRATIVAS SA DE CV,"APLICACION DE REALIDAD AUMENTADA INTERACTIVA WEB Y MOVIL, PARA EL POSICIONAMIENTO Y DIFUSION DEL TURISMO EN EL ESTADO DE OAXACA.",TECNOLOGÍAS DE LA INFORMACIÓN," 3,052,176 "
INGENIERIA Y MECATRONICA SA DE CV ,DESARROLLO DE MAQUINA CNC DE 5 EJES CON CAPACIDAD DE CUBO DE TRABAJO DE 11.25 METROS CUBICOS. ETAPA1,MAQUINARIA INDUSTRIAL," 2,828,500 "
AGRODISTRIBUCIONES JAR SA DE CV,SEMBRADORA INTEGRAL DE TRIGO CON DOSIFICACION DE FERTILIZANTE QUIMICO Y ORGANICO,MAQUINARIA INDUSTRIAL," 6,497,555 "
XNOX SA DE CV ,DISENO DE NUEVO PRODUCTO Y PROCESO DE COLMENA INTELIGENTE CON CHIP A RASTREO Y ESTADO DE LAS COLMENA,AGROINDUSTRIAL," 9,810,925 "
PORCELANITE LAMOSA SA DE CV ,LOSETAS CERAMICAS CON TECNOLOGIA DE ENCAPSULAMIENTO PARA ABSORCION Y LIBERACION CONTROLADA DE AROMA,CONSTRUCCIÓN," 2,245,875 "
PICSA DE MEXICO INTERNACIONAL SA DE CV ,ALIMENTOS TIPO CEREAL CON ALTO VALOR NUTRIMENTAL Y BAJOS EN AZUCARES PARA EL CONSUMO DIRECTO,ALIMENTOS," 2,916,712 "
3G HERRAMIENTAS ESPECIALES SA DE CV,RECUBRIMIENTOS EN HERRAMIENTAS DE CORTE POR DEPOSICION QUIMICA DE VAPOR CON ALOTROPOS DE CARBONO.,METALMECÁNICA," 11,024,183 "
SANITARIOS LAMOSA SA DE CV ,SISTEMA DE REGENERACION DE MOLDES DE LA INDUSTRIA CERAMICA MEDIANTE CAVITACION Y DESFLOCULACION,CONSTRUCCIÓN," 3,516,000 "
COMERCIAL ACROS WHIRLPOOL SA DE CV ,QUEMADOR DE FLAMA INTERNA DE GAS NATURAL BASADO EN LA MODELACION DE SU FLUIDINAMICA DE COMBUSTION,ELÉCTRICA," 2,434,057 "
COMERCIAL ACROS WHIRLPOOL SA DE CV ,"CARACTERIZACION DE PROCESO DE LAVADO PARA NUEVA GENERACION DE LAVADORAS NANO, ECO Y BIO TECNOLOGICAS",ELÉCTRICA," 6,147,302 "
FRUTECH INTERNATIONAL CORPORATION DE MEXICO SA DE CV ,COMPUESTOS BIOFUNCIONALES A PARTIR DE RESIDUOS DEL PROCESAMIENTO INDUSTRIAL DE TORONJA Y MANDARINA,BIOTECNOLOGÍA," 1,410,131 "
PAPELERA DE CHIHUAHUA SA DE CV ,PAPEL RECICLADO LIBRE DE STICKIES MEDIANTE PROCESO BIOLOGICO BASADO EN ENZIMAS AUTORREGENERATIVAS,QUÍMICA," 3,694,376 "
LABORATORIOS LIOMONT SA DE CV ,DENGUE Y DENGUE HEMORRAGICO: EVALUACION DE LA EFICACIA DE UN TRATAMIENTO,FARMACÉUTICA," 4,828,991 "
CONTENEDORES Y ROTOMOLDEO SA DE CV ,DESARROLLO DE UN NUEVO PROCESO DE REGENERACION DE POLIETILENO DE DESECHO PARA SU USO COMO RESINA TIP,PLÁSTICOS," 6,174,256 "
LABORATORIOS SILANES SA DE CV ,"VALIDACION DEL DMMET, MOLECULA INNOVADORA, COMO MODULADOR DE UNA NUEVA DIANA TERAPEUTICA PARA EL TRATAMIENTO DE LA DIABETES TIPO 2",SALUD," 5,359,400 "
G&P APPLICATIONS COMPANY SA DE CV ,DESARROLLO DE SOFTWARE DE TAREAS PARA LA ESTIMULACION Y LA REHABILITACION NEUROCOGNITIVA,SALUD," 2,256,892 "
POLAQUIMIA SA DE CV ,DESARROLLO DE ESTERES DE GLICERINA ETOXILADA BIODEGRADABLE BASADOS EN ACEITE LAURICO RENOVABLE-TODO ES CONFIDENCIAL,QUÍMICA," 3,507,918 "
ARDITA MEXICO SA DE CV,WEAREBLE TECH NOWCASTING,TECNOLOGÍAS DE LA INFORMACIÓN," 900,000 "
ARDITA MEXICO SA DE CV,CAMARA TERMICA CON CAPACIDAD DE RECONSTRUCCION EN 3D,EQUIPO DE MEDICIÓN Y CONTROL," 1,408,250 "
ARDITA MEXICO SA DE CV,ASISTENTE VIRTUAL DE TRANSTORNOS NUTRICIONALES USANDO UN MOTOR COGNOSCITIVO GENERAL,TECNOLOGÍAS DE LA INFORMACIÓN," 1,087,500 "
PRODUCTOS ULTRA SA DE CV,PROTOTIPO INNOVADOR FLEXIBLE PARA GRAGEADO DE CENTRO SUAVE MEDIANTE CONTROL AUTOMATICO (INGRAGEADO),MAQUINARIA INDUSTRIAL," 7,068,139 "
NUTEK SA DE CV ,FORMULACION Y VALIDACION DE INOCULO MICROBIOLOGICO PARA ELABORACION DE ENSILADOS DE MAIZ FORRAJERO,AGROINDUSTRIAL," 1,200,907 "
PORCELANITE LAMOSA SA DE CV ,LOSETAS CERAMICAS TERMOCROMICAS: CAMBIOS DE COLOR REGULADOS POR LA TEMPERATURA DEL ENTORNO,CONSTRUCCIÓN," 2,731,460 "
CENTRO DE DESARROLLO TECNOLOGICO E INNOVACION WHM S DE RL DE CV ,REFRIGERADORES DIFERENCIADOS MEDIANTE DESARROLLOS EN RED CIENTIFICO TECNOLOGICA CDTIW-UANL-CIQA,ELÉCTRICA," 5,147,712 "
NATURA XALLI SA DE CV,"BUSQUEDA, FILTRADO Y EXTRACCION AUTOMATICA DE CONOCIMIENTO KUKULCAN",TECNOLOGÍAS DE LA INFORMACIÓN," 895,000 "
EQUIPOS MEDICOS VIZCARRA SA,DESARROLLO DE EQUIPO OROTRAQUEAL FORMADO POR TUBOS AUTOCONFORMABLES Y COLOCACION DIRIGIDA POR VIDEO,SALUD," 4,796,424 "
