PROYECTO,NOMBRE DEL SUJETO DE APOYO,TITULO DEL PROYECTO,SECTOR,MONTO DE APOYO MXN
241031,CONSTRUCTORA AGROINDUSTRIAL ACTIVA SA DE CV,"APROVECHAMIENTO INTEGRAL DE DESPERDICIOS DE MANGO EN LA REGIÓN DE APATZINGÁN, PARA LA EXTRACCIÓN DE CAROTENOIDES DE ALTA PUREZA MEDIANTE FLUIDOS SÚPER CRÍTICOS",PRIVADO,"8,971,070.00"
241392,LEDSS S.A. DE C.V.,PLAN NACIONAL ZONÁRIDA 2017 =OASIFICACIÓN DEL DESIERTO=,PRIVADO,"5,824,500.00"
243063,BERRYMEX S. DE R.L. DE C.V.,DISEÑO Y DESARROLLO DE PLANTA PILOTO PARA LA PRODUCCIÓN AUTOMATIZADA DE BIOFERTILIZANTE ORGÁNICO CON CANTEROS TECNIFICADOS EN EL VALLE DE SAN QUINTÍN,PRIVADO,"3,882,768.00"
243180,SOLUCIONES ESTRATÉGICAS PARA LAS DECISIONES EMPRESARIALES S.A. DE C.V.,CONTINUACIÓN DEL DESARROLLO DE INNOVADOR SOFTWARE ADMINISTRATIVO DE CÓDIGO ABIERTO CON AVANZADO CRIPTOSISTEMA DE SEGURIDAD,PRIVADO,"975,720.00"
241133,INFORMATION TECHNOLOGIES CONSULTING S.A. DE C.V.,PLATAFORMA INFORMÁTICA INNOVADORA PARA AGILIZAR TRANSACCIONES DE COMERCIO EXTERIOR QUE FACILITARÁ A LAS EMPRESAS IMPORTADORAS Y EXPORTADORAS EL INGRESO DE OPERACIONES AL SISTEMA ELECTRÓNICO ADUANERO,PRIVADO,"4,319,700.00"
241139,INFORMATION TECHNOLOGIES CONSULTING S.A. DE C.V.,DETECCIÓN TEMPRANA DE COMPORTAMIENTO DELICTIVO EN NIÑOS Y ADOLESCENTES,PRIVADO,"4,802,400.00"
244260,MODELISTICA S.A. DE C.V.,": PLATAFORMA PARA LA EVALUACIÓN DE PLANES INTEGRALES DE USOS DEL SUELO Y TRANSPORTE ""QUANTUM TRANUS"".",PRIVADO,"1,081,500.00"
240450,POWER TECH DE MEXICO S DE RL DE CV,CONSTRUCCIÓN Y LIBERACIÓN DEL PROTOTIPO DE EQUIPO DE CONTENCIÓN DE POLVOS CON LA INCORPORACIÓN DE PLACAS DE CONTROL DE DESGASTE INTEGRADO EN UN SISTEMA DE MANEJO DE MATERIALES ,PRIVADO,"2,349,558.00"
242890,EQ MANUFACTURAS S.A.DE C.V.,INNOVACIÓN DE UN SISTEMA DUAL DE SECADO CONVECTIVO-COLECTORES SOLARES PARA LA PRODUCCIÓN DE EXHIBIDORES METÁLICOS. ,PRIVADO,"2,213,700.00"
240592,SERVICIOS Y PRODUCTOS ECOLOGICOS DEL BAJIO  S.A. DE C.V.,DESARROLLO DE TECNOLOGIA PARA LA ELABORACION DE ADITIVOS ORGANICOS ATRAVES DEL PROCESAMIENTO DE ACEITES INDUSTRIALES,PRIVADO,"2,004,390.00"
241966,DISTRIBUIDORA ACERLUM SA DE CV,PLANTA PILOTO CON LABORATORIO DE PRUEBA PARA DESARROLLO DE CAJA DE ENGRANES O GEAR CASE CON ACEROS CERTIFICADOS PARA EJES DE LOCOMOTORA DIESEL ELÉCTRICA,PRIVADO,"4,971,000.00"
241003,DIAMANTE COORPORACION S.A. DE C.V.,DESARROLLO DE TECNOLOGÍA FLEXOGRÁFICA PARA LA IMPRESIÓN DE LAMINADOS FLEXIBLES SIN ADHESIVO.,PRIVADO,"1,260,000.00"
241578,Ciclos y Reprocesos Plasti Goca SA de CV,DESARROLLO DE LA TECNOLOGÍA PARA LA FABRICACIÓN INTERNA DE ADITIVOS PARA REPROCESAR OPTIMAMENTE LA BASURA PLÁSTICA,PRIVADO,"1,008,300.00"
240435,CENTRO DE INVESTIGACIÓN CLÍNICA CHAPULTEPEC S. A. DE C. V.,ESCALAMIENTO Y FORTALECIMIENTO TECNOLÓGICO PARA CENTRO DE INVESTIGACIÓN CLÍNICA CHAPULTEPEC ,PRIVADO,"2,407,500.00"
240281,Delta Roja S.A. de C.V.,DESARROLLO MÁQUINA CNC POSICIONADORA DE PLACA DE ACERO PARA PUNZONADO Y TALADRADO,PRIVADO,"580,887.00"
242619,"TECNOLOGÍA APLICADA A PROCESOS INDUSTRIALES, S.A. DE C.V.",PROCESO PILOTO DE PRE-SECADO Y SECADO INTELIGENTE DE PIEZAS CERÁMICAS,PRIVADO,"3,600,000.00"
243272,"MEXICANA DE INGENIERIA Y MAQUINARIA, S.A. DE C.V.",DESARROLLO DE INNOVADORA MÁQUINA EMBOLSADORA VERTICAL CONTINUA MULTIBOLSA CON INSERCIÓN DE BOQUILLAS,PRIVADO,"1,292,154.00"
242149,ELECTRONICA Y AUTOMATIZACION DEL NORESTE SA DE CV,DISEÑO DE BOMBA PERISTÁLTICA CON REALIMENTACIÓN POR SENSOR ULTRASÓNICO PARA APLICACIONES CLÍNICAS DE PRECISIÓN,PRIVADO,"785,400.00"
240352,ECO BIOSIS S.A. DE C.V.,PROYECTO DE INVESTIGACION PARA EL DESARROLLO DE UNA NUEVA BASE ORGÁNICA SUSTENTABLE LIBRE DE ELEMENTOS CLORADOS PARA FABRICAR ADITIVOS DEL CONCRETO,PRIVADO,"1,839,024.00"
242537,INDUSTRIAS VANDERDROID SAPI DE CV,VALIDACIÓN DE RENDIMIENTO EN CAMPO DE DOSIFICADOR DE ENERGÍA ELÉCTRICA PARA EL HOGAR. ,PRIVADO,"1,716,000.00"
242294,GRUINDAG INTERNATIONAL SA DE CV,DESARROLLO DE NUEVO INSECTICIDA BASE EXTRACTOS NATURALES PARA CONTROL EFICAZ DE PULGON AMARILLO,PRIVADO,"1,471,483.00"
242836,BLUE SKY BIOENERGY SA DE CV,DESARROLLO DE PLANTA PILOTO PARA PIROLISIS,PRIVADO,"5,949,278.00"
240411,PRODUCTOS ULTRA S.A DE C.V,"CONTROL AUTOMÁTICO DE UN PROCESO INNOVADOR DE GLASEADO, A TRAVÉS DE UN PROTOTIPO MECATRÓNICO FLEXIBLE PARA PRODUCTOS DE CONFITERÍA (CONFIGLAS)",PRIVADO,"3,004,821.00"
243830,"COLIBRI 3D, S.A.P.I DE C.V.","DESARROLLO DE IMPRESORA TRIDIMENSIONAL, INTELIGENTE, AUTONOMA, DE ALTA PRECISION CON TECNOLOGIA IOT READY",PRIVADO,"2,314,391.00"
241028,TRANSFORMACION Y PRODUCCION ESPECIALIZADA S.A. DE C.V.,DESARROLLO DE TECNOLOGÍA PARA LA CONVERSIÓN DE PELÍCULA PLÁSTICA UTILIZADA PARA EL EMPAQUE DE ALIMENTOS EN LA INDUSTRIA FLEXOGRÁFICA,PRIVADO,"1,892,800.00"
243593,"BIOEXTRACTO, S.A. DE C.V.",MECANISMOS MOLECULARES QUE INTERVIENEN EN LA PREVENCIÓN DEL HÍGADO GRASO NO-ALCOHÓLICO MEDIANTE LA VACUNA TERAPÉUTICA ATV-HB-8 EN EL TRATAMIENTO DE LA ATEROSCLEROSIS,PRIVADO,"995,404.00"
243016,ART CENTER DE MÉXICO S.A. DE C.V.,NOUS - PLATAFORMA DE TECNOLOGÍA EDUCATIVA EN ROBÓTICA Y PROGRAMACIÓN PARA NIÑOS DE PRIMARIA,PRIVADO,"630,181.00"
241519,"GOODRICH AEROSPACE DE MEXICO, S. DE R.L. DE C.V.",FABRICACIÓN Y EVALUACIÓN DE PROTOTIPOS DE COMPONENTES AEROESPACIALES EN BASE A LA METODOLOGÍA DE MOLDEO POR TRANSFERENCIA DE RESINA,PRIVADO,"4,759,641.00"
240848,"AKSYS DE MÉXICO, S.A. DE C.V.","SUSTITUCIÓN DE MATERIALES METÁLICOS EN ELEMENTOS ESTRUCTURALES DE AUTOBÚS (TOLDO) POR COMPUESTOS REFORZADOS CON FIBRAS, ASÍ COMO OPTIMIZACIÓN MECÁNICA Y REDUCCIÓN DE PESO. ETAPA 2",PRIVADO,"3,400,827.00"
242247,"NEMAK, S.A.B. DE C.V.",DESARROLLO DE CELDA PILOTO FLEXIBLE DE MECANIZADO DE COMPONENTES DE ALUMINIO DE ALTA TECNOLOGÍA,PRIVADO,"9,632,881.00"
241799,FURUKAWA MEXICO SA DE CV,DISEÑO Y DESARROLLO TECNOLÓGICO DE PLANTA PILOTO EXPERIMENTAL PARA LA OBTENCIÓN DE CABLE PLANO FLEXIBLE PARA LA ELABORACIÓN DE CONECTOR DE BOLSA DE AIRE,PRIVADO,"8,139,900.00"
241750,SIGNA S. A. DE C. V.,DESARROLLO QUÍMICO ANALÍTICO INNOVADOR DE FÁRMACOS Y CRECIMIENTO DEL CENTRO DE INVESTIGACIÓN Y DESARROLLO,PRIVADO,"14,214,934.00"
241701,MAQUINARIA Y VALORES INDUSTRIALES SA DE CV,DISEÑO Y DESARROLLO TECNOLÓGICO DE NUEVO PROCESO DE PRODUCCIÓN DE ENVASES DE VIDRIO DE ALTA PRODUCTIVIDAD. ,PRIVADO,"6,066,240.00"
242751,A&P SOLUTIONS SA DE CV,DESARROLLO DE UN MATERIAL COMPUESTO BASE RESINA POLIMÉRICA UTILIZANDO FIBRAS TIPO NYLON Y/O VIDRIO COMO REFUERZO ESTRUCTURAL EN TECNOLOGÍA DLFT PARA APLICACIÓN EN PROTOTIPOS DE LA INDUSTRIA AUTOMOTRIZ,PRIVADO,"3,385,501.00"
242707,"PLASTICOS AUTOMOTRICES DE SAHAGUN, S.A. DE C.V.",FORMULACIÓN Y ESTABILIZACIÓN DE RECUBRIMIENTOS TERMOESTABLES SMC EN ACABADO VÍTREO EN EL TIEMPO DE ALMACENAMIENTO CON REDUCCIÓN EN DENSIDAD DE MATERIALES COMPUESTOS EN INDUSTRIA DE LA CONSTRUCCIÓN 2,PRIVADO,"5,212,625.00"
241354,"EMPRESAS TAJIN, S.A. DE C.V.","GENERACIÓN DE UN PROCESO CONTINUO DE HUMECTACIÓN Y DESHIDRATACIÓN, ASÍ COMO MEJORA GENÉTICA DE CHILE DE LA ESPECIE ""CAPSICUM ANNUM"", CONTRIBUYENDO A LA INNOVACIÓN EN PROCESOS Y NUEVOS PRODUCTOS.",PRIVADO,"5,031,533.00"
241681,"DYNASOL ELASTOMEROS, S.A. DE C.V.",MODIFICACIÓN DE PLÁSTICOS DE ALTO DESEMPEÑO,PRIVADO,"4,003,225.00"
241395,"LABORATORIOS SILANES, S.A. DE C.V.",DESARROLLO DE MEDICAMENTOS NANOTECNOLÓGICOS PARA EL TRATAMIENTO DE ENFERMEDADES CRÓNICAS,PRIVADO,"7,955,209.00"
242546,CEREALES Y PASTAS SA DE CV,"DISEÑO, FORMULACIÓN Y DESARROLLO DE UN PRODUCTO ALIMENTICIO (GRANOLA), SUPLEMENTADO CON PREBIÓTICOS Y EDULCORANTES NUTRACÉUTICOS DERIVADOS DEL AGAVE. PROYECTO MULTIANUAL. SEGUNDA ETAPA 2017.",PRIVADO,"3,838,201.00"
240098,"QUIMI KAO, S.A DE C.V.",NUEVOS ADITIVOS QUÍMICOS PARA EMULSIONES ÚTILES EN LA CONSTRUCCIÓN DE PAVIMENTOS FLEXIBLES DE ALTO DESEMPEÑO.,PRIVADO,"717,260.00"
242764,IBM DE MÉXICO COMERCIALIZACIÓN Y SERVICIOS S. DE R.L. DE C.V.,ETAPA 2. DESARROLLO DE MARCO DE TRABAJO PARA LA INTEGRACIÓN CONTINUA EN PROYECTOS DE DESARROLLO DE SOFTWARE,PRIVADO,"6,883,400.00"
241810,"INGENIO DE HUIXTLA, S.A. DE C.V",AUTOMATIZACIÓN Y MODERNIZACIÓN DE LA CALDERA ACUOTUBULAR NO.2 PARA AUMENTAR LA EFICIENCIA ENERGETICA EN LA GENERACIÓN DE VAPOR DE ALTA PRESIÓN A PARTIR DE LA COMBUSTIÓN DE BIOMASA (ETAPA 1),PRIVADO,"7,648,550.00"
240916,PRODUCTOS MAVER S.A. DE C.V.,AGENTE ANTIEMBÓLICO DE ORIGEN BIOLÓGICO ALTAMENTE POTENTE EN TROMBOSIS VENOSA PROFUNDA Y PULMONAR ,PRIVADO,"9,257,118.00"
243177,KOPPERT MEXICO SA DE CV,DESARROLLO DE UN SISTEMA PARA EL CONTROL DE LA CHINCHE LYGUS HESPERUS (HEMIPTERA: MIRIDAE) EN CULTIVO DE FRESA EN MACRO TÚNEL CON BASE EN EL USO DE ENEMIGOS NATURALES.,PRIVADO,"760,374.00"
240100,"CALENTADORES DE AMERICA, S. A. DE C. V.","SISTEMA INTELIGENTE DE CONTROL DE TEMPERATURA QUE MAXIMIZA AHORRO DE GAS, EFICIENCIA TÉRMICA Y CONFORT DE USO PARA TRES DIFERENTES TIPOS DE CALENTADORES DE AGUA EN UNA SOLA TECNOLOGÍA ELECTRÓNICA",PRIVADO,"3,634,775.00"
244004,"M INDUSTRIA, S. A. DE C. V.",PRUEBA DE TECNOLOGÍA DE CABEZAL DE 5 EJES PARA FRESAR VIDRIO,PRIVADO,"2,307,062.00"
243641,FORRAJERA ELIZONDO SA DE CV,IMPLEMENTACIÓN DE UN PAQUETE TECNOLÓGICO PARA EL MANEJO HOLÍSTICO DE PASTIZALES EN EL SEMIDESIERTO MEXICANO: PRODUCCIÓN SOSTENIBLE DEL ECOSISTEMA SUELO - PASTO - GANADO,PRIVADO,"1,553,321.00"
240144,"PROBIOMED, S.A. DE C.V.",CONCLUSIÓN DEL DESARROLLO FARMACÉUTICO DE UN MEDICAMENTO BIOTECNOLÓGICO PARA EL TRATAMIENTO DE ARTRITIS REUMATOIDE,PRIVADO,"13,628,135.00"
241209,STRATEGICS DE MEXICO SA DE CV,DESARROLLO DE UN PROTOTIPO DE MOTOR DE COMERCIO ELECTRÓNICO PARA SERVICIOS DE LA INDUSTRIA TURÍSTICA Y DE TURISMO ALTERNATIVO PARA EL ESTADO DE BAJA CALIFORNIA SUR,PRIVADO,"3,881,450.00"
244255,GENES2LIFE SAPI DE CV,OPTIMIZACIÓN Y CONSOLIDACIÓN DE UN PAQUETE TECNOLÓGICO DE MICROFLUIDOS ACOPLADO A UN FLUORÓMETRO PORTÁTIL DE BAJO COSTO PARA EL DIAGNÓSTICO POR ADN DE VPH DE ALTO RIESGO ASOCIADO A CÁNCER CERVICAL.,PRIVADO,"4,359,000.00"
241498,ADN SINTETICO SAPI DE CV," DESARROLLO DE UN DISPOSITIVO PORTATIL POINT OF CARE Y DOS KITS PARA DETECCIÓN DIFERENCIAL POR PCR TIEMPO REAL Y PCR ISOTÉRMICO DE LOS VIRUS CHIKUNGUNYA, ZIKA Y DENGUE, RICKETTSIA. Y LEPTOSPIRA SPP.",PRIVADO,"4,359,000.00"
241149,MAQUILAS TETA KAWI S.A. DE C.V.,PRIMERA TURBINA EN MÉXICO: DESARROLLO DE SISTEMA INTELIGENTE DE AVIÓNICA PARA MONITOREO EN LÍNEA DEL NIVEL DE ACEITE EN TURBINAS FJ44,PRIVADO,"8,048,113.00"
240697,"AISYSTEMS, S.A. DE C.V.","DISEÑO, DESARROLLO, Y PRUEBAS ITERATIVAS DE INTERFACES DE COMUNICACIÓN PARA CONSTELACIONES DE MICRO, NANO Y CUBO SATÉLITES ",PRIVADO,"9,795,958.00"
243844,"DYNASOL ELASTOMEROS, S.A. DE C.V.",MASTERBATCH DE SÍLICE CON ELASTÓMEROS PARA NEUMÁTICOS DE ALTO DESEMPEÑO,PRIVADO,"3,205,270.00"
242409,GRUPO PERFIMEXA SA DE CV,"DESARROLLO DE UN RECUBRIMIENTO EPÓXICO EN POLVO A BASE DE PET RECICLADO, APLICADO ELECTROSTÁTICAMENTE CON CURADO TÉRMICO PARA PERFILES METÁLICOS (POSTE T)",PRIVADO,"4,995,094.00"
241400,DATIOTEC ELECTRONICS S DE R.L. DE C.V.,CALENTADOR DE DEPÓSITO A GAS CON TERMOSTATO ELECTRÓNICO Y APLICACIÓN MÓVIL,PRIVADO,"1,470,750.00"
240370,"COST REDUCTION ENGINEERING MEXICO, SA DE CV","DISEÑO Y DESARROLLO DE UNA PLANTA PILOTO DE PASTEURIZACIÓN CON SISTEMA DE AGUA SOBRECALENTADA COMO FUENTE DE CALOR, PARA LA INNOVACIÓN DE PROCESOS EN LA INDUSTRIA AGROALIMENTARIA DEL SURESTE.",PRIVADO,"639,399.00"
241646,DATIOTEC ELECTRONICS S DE R.L. DE C.V.,SENSOR ELECTRÓNICO INALÁMBRICO PARA MEDICIÓN DE NIVEL DE GAS EN TANQUE ESTACIONARIO CON APLICACIÓN INFORMÁTICA MÓVIL Y PLATAFORMA WEB,PRIVADO,"1,086,000.00"
240999,LOCUTORIOS SA DE CV,"DESARROLLAR EL SISTEMA DE PUNTO DE VENTA QUE PERMITA INTERACTUAR A LOS COMERCIOS DE LA BASE- DE- LA-PIRÁMIDE, EMPRESAS DE PRODUCTOS DE CONSUMO Y CONSUMIDORES",PRIVADO,"1,563,037.00"
241853,DESARROLLO AGRO-INDUSTRIAL GAYA SA DE CV,DISEÑO Y CONSTRUCCIÓN DE UNA PLANTA PILOTO PARA LA OBTENCIÓN DE UN EXTRACTO DE VAINILLA SIN ALCOHOL,PRIVADO,"2,561,579.00"
242148,"MULTINGENIERIA NOVA, S.A. DE C.V.",DESARROLLO DE UN SISTEMA PARA LA APLICACIÓN DE RECUBRIMIENTOS PARA LA RECUPERACIÓN DE MOLDES DE HIERRO GRIS PARA FABRICACIÓN DE ENVASES DE VIDRIO MEDIANTE LA TÉCNICA DE METALIZADO,PRIVADO,"4,875,407.00"
242361,GUANTES INTERNACIONALES SA DE CV,DESARROLLO DE PROTOTIPO PRECOMERCIAL DE GUANTE TEXTIL DE USO INDUSTRIAL RECUBIERTO DE LÁTEX DE POLICLOROPRENO DESTINADO A LA PROTECCIÓN AL USUARIO EN OPERACIONES DE SOLDADURA POR ARCO ELÉCTRICO,PRIVADO,"2,518,232.00"
243235,UBICACION TECNOLOGICA EN LINEA S.A. DE C.V.,ESTIMADOR AUTOMÁTICO DE BOLETAJE EN AUTOBUSES DE CERCANÍAS,PRIVADO,"459,055.00"
240731,GRUPO DE SERVICIO INDUSTRIAL Y MAQUINARIA S.A. DE C.V.,DISEÑO Y DESARROLLO DE UNA NUEVA MÁQUINA PARA PRODUCIR LAMINA ESTRUCTURAL TIPO LOSACERO,PRIVADO,"9,561,750.00"
242497,TRANSPORTADORA DE ALIMENTOS S.A. DE C.V.,"DISEÑO E IMPLEMENTACIÓN DE UN NUEVO SISTEMA CONTINUO DE CONCENTRACIÓN DE LECHE PARA REDUCIR COSTOS DE LOGÍSTICA Y OPERACIÓN, Y ELIMINAR AL 90% LA EXTRACCIÓN DE AGUA PARA LA PLANTA",PRIVADO,"4,123,954.00"
242134,"QUIMMCO CENTRO TECNOLOGICO, SA DE CV","DESARROLLO DE CELDA PILOTO PARA DISEÑO DE PROCEDIMIENTOS DE REVESTIMIENTO SOLDADURA CLADDING DE COMPONENTES MECÁNICOS USADOS EN LA INDUSTRIA QUÍMICA, PETRÓLEO Y METAL-MECÁNICA",PRIVADO,"1,257,812.00"
243722,"TECHNICAL PRO SYSTEM, S.A. DE C.V.",DISEÑO Y DESARROLLO DE UN SISTEMA PILOTO PARA MODIFICACIÓN SUPERFICIAL DE HERRAMENTALES DE CONFORMADO A TRAVÉS DEL TRATAMIENTO TERMO-QUÍMICO DE DEPOSICIÓN DE VAPOR FÍSICO,PRIVADO,"4,771,910.00"
241745,DISACHEN S.A. DE C.V.,BIO REDUCTOR DE VISCOSIDAD PARA LA EXTRACCIÓN Y TRANSPORTACIÓN DE LOS CRUDOS PESADOS Y EXTRA-PESADOS.,PRIVADO,"927,575.00"
243384,INGENIERIA CIVIL TAMAULIPAS S.A. DE C.V.,"DISEÑO Y DESARROLLO DE PROTOTIPO DE MÁQUINA FABRICADORA DE VARILLA A BASE DE ACERO DE REFUERZO DE DESPERDICIO, DIRIGIDO A LA INDUSTRIA DE LA CONSTRUCCIÓN",PRIVADO,"2,170,055.00"
243983,ELECTRO CONTROLES DEL NOROESTE SA DE CV,OPTIMIZACIÓN DE LOS PROCESOS MINEROS DE MOLIENDA Y FLOTACIÓN MEDIANTE LA INTEGRACIÓN DE ANALIZADORES DE VARIABLES METALÚRGICAS Y EL DESARROLLO DE UN CONTROL EXPERTO AVANZADO,PRIVADO,"1,357,700.00"
243929,INVESTIGACION APLICADA SA DE CV,EVALUACIÓN DE VACUNAS VECTORIZADAS CONTRA LA INFLUENZA AVIAR EN AVES DE DIFERENTE ESTIRPE,PRIVADO,"1,372,900.00"
241993,I QBIT S.A DE C.V.,DESARROLLO DE MODELO DE APRENDIZAJE ASISTIDO PARA INDUSTRIA 4.0 EN CONTEXTOS LABORALES - I4LEARN,PRIVADO,"2,207,450.00"
243693,DOMOTICA INDUSTRIAL SA DE CV,"MONITOREO REMOTO DE PUNTOS VITALES DE SALUD Y ASISTENCIA EN SITIO PARA EMERGENCIAS O PREVENCION MEDICA, MEDIANTE DISPOSITIVO DE MEDICION DE SIGNOS VITALES",PRIVADO,"5,935,935.00"
240285,"DISEÑO DE MAQUINARIA DE TRANSFORMACION, S.A. DE C.V.","DESARROLLO DE NUEVA LINEA PRODUCTIVA PARA FORMADO DE MANGAS, CORTE Y ENROLLADO DE ETIQUETAS PLASTICAS TERMOENCOGIBLES.",PRIVADO,"3,280,001.00"
240477,INTELIGENCIA INDUSTRIAL INTI SA DE CV,"AIRE ACONDICIONADO DE ENFRIAMIENTO EVAPORATIVO MEJORADO POR DESECANTES (DEVAP), INTEGRADO A UN SISTEMA PSA DE ENRIQUECIMIENTO DE OXÍGENO",PRIVADO,"3,755,160.00"
242430,TAUVEX SA DE CV,"DISEÑO, OPTIMIZACIÓN, Y DESARROLLO DE UN NUEVO IMPLANTE OCLUSOR PARA TRATAMIENTO DE PERSISTENCIA DEL CONDUCTO ARTERIOSO",PRIVADO,"4,301,200.00"
241234,PLAXMA COMUNICACIONES SA DE CV,PLATAFORMA ANALÍTICA PARA EL MONITOREO DE INDICADORES EN TIEMPO REAL RESULTANTES DE UN SISTEMA DE MANUFACTURA INTELIGENTE BAJO ESTÁNDAR ISA-95,PRIVADO,"3,095,166.00"
241061,"CASTMETAL FWF DE MEXICO, S.R.L. DE C.V.","OPTIMIZACIÓN EN LOS TIEMPOS DE RESPUESTA PARA LA ELABORACIÓN DE HERRAMENTALES HÍBRIDOS, NOVEDOSOS MEDIANTE EL PROCESO DE IMPRESIÓN 3D, EN LA MANUFACTURA DE PIEZAS COMPLEJAS.",PRIVADO,"9,663,750.00"
240507,MEGA ZAPATO SA DE CV,DISEÑO Y DESARROLLO DE UN SISTEMA INNOVADOR DE INCREMENTO DE ALTURA PARA CALZADO DE CONFORT,PRIVADO,"2,713,550.00"
