NOMBRE DEL SUJETO DE APOYO,NOMBRE DEL PROYECTO,SECTOR,MONTO
"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIAS","MEJORAMIENTO INTEGRAL DE LA PRODUCTIVIDAD EN EL CULTIVO DE CHILE EN MEXICO PARA AUMENTAR LA COMPETITIVIDAD, MEDIANTE EL INCREMENTO DEL RENDIMIENTO Y CALIDAD.","AGRICOLA, PECUARIO Y PESCA",2480000
"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIAS",EVALUACION DE MATERIALES GENETICOS DE ARROZ DE GRANO LARGO DELGADO PARA LAS REGIONES PRODUCTORAS DE MEXICO,"AGRICOLA, PECUARIO Y PESCA",1884000
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.,GENERACION DE INSUMOS BIOTECNOLOGICOS PARA LA AGRICULTURA DE BAJO IMPACTO CON BASE EN BIOMOLECULAS,"AGRICOLA, PECUARIO Y PESCA",2780000
COLEGIO DE POSTGRADUADOS,"DIAGNOSTICO Y MANEJO INTEGRAL DEL SINDROME BACTERIANO ASOCIADO A XANTHOMONAS SPP. Y DE ENFERMEDADES EMERGENTES DE CANA DE AZUCAR (SACCHARUM OFFICINARUM) EN MEXICO.
","AGRICOLA, PECUARIO Y PESCA",2716000
"CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA, BAJA CALIFORNIA",EVALUACION DE LA BIOLOGIA Y DINAMICA DE POBLACION DEL PEPINO DE MAR (ISOSTICHOPUS FUSCUS L.) Y DISENO DE AREAS DE REPRODUCCION Y EXPLOTACION COMERCIAL EN EL ESTADO DE BAJA CALIFORNIA,"AGRICOLA, PECUARIO Y PESCA",1871034.06
"CENTRO DE INVESTIGACION Y ASISTENCIA EN TECNOLOGIA Y DISENO DEL ESTADO DE JALISCO, A.C.","MEJORAMIENTO GENETICO DE JATROPHA PARA GENERAR AL MENOS UNA VARIEDAD CON ALTO RENDIMIENTO AGRONOMICO, ALTO CONTENIDO DE ACEITE Y BAJA TOXICIDAD PARA LA OBTENCION DE BIODIESEL","AGRICOLA, PECUARIO Y PESCA",1322488
INSTITUTO TECNOLOGICO SUPERIOR DE PEROTE,DESARROLLO DE UN PROCESO DE EXPLOTACION INTEGRAL DE SEMILLAS DE HIGUERILLA PARA LA PRODUCCION DE BIODIESEL Y BIOETANOL,"AGRICOLA, PECUARIO Y PESCA",400300
"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIAS",MEJORAMIENTO GENETICO DE SORGO DULCE PARA GENERAR VARIEDADES CON ALTO RENDIMIENTO AGRONOMICO Y ALTO CONTENIDO DE AZUCARES PARA LA PRODUCCION DE BIOETANOL,"AGRICOLA, PECUARIO Y PESCA",9810072.4
FUNDACION PRODUCE MICHOACAN A.C.,COMPORTAMIENTO ANIMAL Y CALIDAD DE LA CARNE EN TORETES ENGORDADOS EN SISTEMA SILVOPASTORIL INTENSIVO (SSPI) DEL TROPICO DE MEXICO. ,"AGRICOLA, PECUARIO Y PESCA",1303931.8
"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIAS",CARACTERIZACION Y CLASIFICACION DE CAMAS DE COMBUSTIBLES PRIORITARIAS EN MEXICO PARA PLANIFICAR EL MANEJO DEL FUEGO,FORESTAL,159000
"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIAS",CLONES DE CEDRO ROJO TOLERANTES AL BARRENADOR HYPSIPYLA GRANDELLA ZELLER EN EL GOLFO Y SURESTE DE MEXICO,FORESTAL,86031.63
"CENTRO DE INVESTIGACION CIENTIFICA DE YUCATAN, AC",DISENO DE CONTENEDORES DE PLANTA REJILLA TIPO COLMENA DESPRENDIBLE PARA VIVERO FORESTAL DE CARTON RECICLADO CON TRATAMIENTO BIODEGRADABLE PARA UNA DURACION ESPECIFICA,COMISION NACIONAL FORESTAL(CONAFOR),140000
"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIAS","IDENTIFICACION, DISTRIBUCION Y CONTROL DE INSECTOS BARRENADORES QUE AFECTAN A LOS ENCINOS EN EL CENTRO DE MEXICO",COMISION NACIONAL FORESTAL(CONAFOR),82791.22
UNIVERSIDAD MICHOACANA DE SAN NICOLAS HIDALGO,APROXIMACION MOLECULAR PARA LA EVALUACION GENETICA DE AREAS PRODUCTORAS DE SEMILLAS Y DE CONSERVACION EN ESPECIES DEL GENERO PINUS,COMISION NACIONAL FORESTAL(CONAFOR),245386.35
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,"ECOLOGIA, FISIOLOGIA Y GENETICA DE LA GERMINACION, EL CRECIMIENTO Y EL ESTABLECIMIENTO DE LAS PRINCIPALES ESPECIES NATIVAS DE ENCINOS DE MEXICO",COMISION NACIONAL FORESTAL(CONAFOR),405000
EL COLEGIO DE LA FRONTERA SUR,"BIOLOGIA, ECOLOGIA Y EVALUACION DE ALTERNATIVAS DE MANEJO DE POBLACIONES DE ANTITEUCHUS INNOCENS ENGLEMAN (HEMIPTERA: PENTATOMIDAE) EN EL BOSQUE DE PINO DE ALTAMIRANO, CHIAPAS",FORESTAL,124000
"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIAS","MODELOS DE RESTAURACION ECOLOGICA PARA CONDICION DE SELVA BAJA, CON ESPECIES FORESTALES NATIVAS DE IMPORTANCIA ECONOMICA.",FORESTAL,127549.16
UNIVERSIDAD TECNOLOGICA DE LA MIXTECA,SIEMBRA DIRECTA VS. TRASPLANTE EN LA RESTAURACION DE LA SELVA BAJA CADUCIFOLIA,COMISION NACIONAL FORESTAL(CONAFOR),57223.14
INSTITUTO TECNOLOGICO DE EL SALTO,DESARROLLO DE UN SISTEMA BIOMETRICO PARA LA PLANEACION DEL MANEJO FORESTAL DE LOS ECOSISTEMAS CON POTENCIAL MADERABLE EN MEXICO,FORESTAL,22354871.97
UNIVERSIDAD AUTONOMA DE QUERETARO,VARIABILIDAD CLIMATICA E INTERACCION CON OTROS FACTORES QUE AFECTAN LA DINAMICA POBLACIONAL DE DESCORTEZADORES EN BOSQUES DE CONIFERAS DE LA SIERRA MADRE ORIENTAL Y EL EJE NEOVOLCANICO TRANSVERSAL.,COMISION NACIONAL FORESTAL(CONAFOR),5548890.25
"INSTITUTO NACIONAL DE ASTROFISICA, OPTICA Y ELECTRONICA","""SISTEMA OPTOELECTRICO DE TIRO""",NAVAL,1509165
"INSTITUTO NACIONAL DE ASTROFISICA, OPTICA Y ELECTRONICA",SISTEMA DE CONTROL DE TIRO PARA AMETRALLADORA DE 50CENTESIMAS DE PULGADA,NAVAL,1496392.87
"INSTITUTO NACIONAL DE ASTROFISICA, OPTICA Y ELECTRONICA",SIMULADOR ESTRATEGICO-OPERACIONAL PARA EL JUEGO DE LA GUERRA DEL CENTRO DE ESTUDIOS SUPERIORES NAVALES,NAVAL,1756000
"INSTITUTO NACIONAL DE ASTROFISICA, OPTICA Y ELECTRONICA",DESARROLLO DE UN SISTEMA DE ANAVEAJE MODULAR PARA UNA UNIDAD DE SUPERFICIE,NAVAL,656138.56
"INSTITUTO NACIONAL DE ASTROFISICA, OPTICA Y ELECTRONICA",DESARROLLO DE UN SIMULADOR DE VUELO PARA AVIONES CASA C-295M,NAVAL,1550000
"CENTRO DE TECNOLOGIA AVANZADA CIATEQ, A.C.",AUTOMATIZACION DELSISTEMA DE OPERACION DE LAS PLUMAS DE CARGA DEL BUQUE ARM PAPALOAPAN,NAVAL,2451118.2
UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,"DESARROLLO A ESCALA LABORATORIO DE PROPELENTES SOLIDOS A BASE DE PERCLORATO DE AMONIO,
ALUMINIO Y POLIURETANO ELASTOMERICO PARA SU FUTURO EMPLEO EN UN COHETE Y/O MISIL NAVAL",NAVAL,915000
INSTITUTO DE INVESTIGACION Y DESARROLLO TECNOLOGICO DE LA ARMADA DE MEXICO,"DESARROLLO A ESCALA LABORATORIO DE PROPELENTES SOLIDOS A BASE DE PERCLORATO DE AMONIO,
ALUMINIO Y POLIURETANO ELASTOMERICO PARA SU FUTURO EMPLEO EN UN COHETE Y/O MISIL NAVAL",NAVAL,3158000
"CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE, S.C.",DESARROLLO DE UN VEHICULO MODULAR ACUATICO PARA BATIMETRIA EN AGUAS SOMERAS,NAVAL,510769
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,DESARROLLO DE UN SISTEMA AUTOSUSTENTABLE DE CONTROL DE GASES NOCIVOS AL AMBIENTE PARA LAS PATRULLAS OCEANICAS DE LA ARMADA DE MEXICO,NAVAL,2360000
"INSTITUTO NACIONAL DE ASTROFISICA, OPTICA Y ELECTRONICA",DESARROLLO DE UN SISTEMA DE GESTION DE CONOCIMIENTO Y ANALISIS DE ESCENARIOS ESTOCASTICOS DINAMICOS,NAVAL,2398830
"INSTITUTO NACIONAL DE ASTROFISICA, OPTICA Y ELECTRONICA",DESARROLLO DE UN SISTEMA DE SENDA DE PLANEO (SISTEMA INDICADOR ESTABILIZADO DE PENDIENTE) PARA PATRULLAS OCEANICAS DE LA ARMADA DE MEXICO,NAVAL,1421400
INSTITUTO DE INVESTIGACION Y DESARROLLO TECNOLOGICO DE LA ARMADA DE MEXICO,SISTEMA DE VIGILANCIA MARITIMA POR SONAR,NAVAL,3376000
INVESTIGACIONES Y ESTUDIOS SUPERIORES S.C.,DIMENSIONAMIENTO DEL TURISMO CULTURAL EN MEXICO Y PROPUESTA DE MODELO SUSTENTABLE PARA SU GESTION.,TURISMO,533000
UNIVERSIDAD AUTONOMA DE QUERETARO,DIPLOMADO DE GESTION TURISTICA EN LINEA PARA FUNCIONARIOS DEL SECTOR,TURISMO,584740.21
INVESTIGACIONES Y ESTUDIOS SUPERIORES S.C.,"DIAGNOSTICO SOBRE SEGMENTOS DE BAJOS INGRESOS EN GRANDES CIUDADES Y ZONAS METROPOLITANAS: CIUDAD DE MEXICO, GUADALAJARA Y MONTERREY PARA LA DEFINICION DE PRODUCTOS DE BAJO COSTO.",TURISMO,1417701.33
INSTITUTO MEXICANO DEL PETROLEO,FRACTURAMIENTO HIDRAULICO DE POZOS USANDO MATERIALES INTELIGENTES,HIDROCARBUROS,42735381.98
INSTITUTO MEXICANO DEL PETROLEO,SISTEMA PARA LA DETECCION DE FUGAS Y TOMAS CLANDESTINAS EN DUCTOS DE TRANSPORTE DE GAS Y LIQUIDOS,HIDROCARBUROS,8169860.4
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,ESTUDIO Y DISENO DE TECNICAS DE CORRELACION DE REGISTROS PETROFISICOS CON ATRIBUTOS SISMICOS,HIDROCARBUROS,13000000
UNIVERSIDAD AUTONOMA DE CAMPECHE,SISTEMA INFORMATICO UNIFICADO DE ADMINISTRACION DE INTEGRIDAD Y CONFIABILIDAD DE INSTALACIONES VINCULADAS AL PROCESO DE LOGISTICA DE PEMEX,HIDROCARBUROS,27359301
INSTITUTO MEXICANO DEL PETROLEO,"DETERMINACION DE LA SATURACION DE ACEITE REMANENTE EN YNF, A TRAVES DE LA INTEGRACION DE DIFERENTES TECNICAS DE LABORATORIO Y DE CAMPO (ANALISIS DE NUCLEOS, REGISTROS GEOFISICOS Y PRUEBAS DE TRAZADORES, PRINCIPALMENTE). APLICACION CAMPO AKAL",HIDROCARBUROS,61373684.97
INSTITUTO MEXICANO DEL PETROLEO,"RECUPERACION DE ACEITE MATRICIAL Y MEJORAMIENTO DE LA DENSIDAD API DE CRUDOS PESADOS Y EXTRAPESADOS, MEDIANTE EL HIDROPROCESAMIENTO IN SITU",HIDROCARBUROS,108176840.8
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,"RECUPERACION DE ACEITE MATRICIAL Y MEJORAMIENTO DE LA DENSIDAD API DE CRUDOS PESADOS Y EXTRAPESADOS, MEDIANTE EL HIDROPROCESAMIENTO IN SITU",HIDROCARBUROS,49961371
PROF TECH SERVICIOS,PROCESO DE RECUPERACION MEJORADA CON LA TECNOLOGIA DE INYECCION DE VAPOR CON APLICACION MEDIANTE PRUEBA PILOTO EN EL CAMPO EBANO-PANUCO-CACALILAO.,HIDROCARBUROS,230321207
INSTITUTO MEXICANO DEL PETROLEO,CENTRO DE TECNOLOGIAS EN AGUAS PROFUNDAS ,HIDROCARBUROS,820497686
INSTITUTO MEXICANO DEL PETROLEO,"ASIMILACION Y DESRROLLO DE TECNOLOGIA EN DISENO, ADQUISICION, PROCESADO E INTERPRETACION DE DATOS SISMICOS 3D - 3C CON ENFOQUE A PLAYS DE SHALE GAS/OIL EN MEXICO",HIDROCARBUROS,689020966.5
"UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO, INSTITUTO DE ENERGIAS RENOVABLES",EVALUACION ECONOMICA Y AMBIENTAL DE ESCENARIOS AL 2030 DE LA INSERCION DE FUENTES ALTERNAS DE ENERGIA Y MEDIDAS DE EFICIENCIA ENERGETICA EN EL SISTEMA ENERGETICO MEXICANO EN BASE A SU POTENCIAL DE REDUCCION DE GEI,SUSTENTABILIDAD ENERGETICA,1538480.46
"UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO, INSTITUTO DE ENERGIAS RENOVABLES",DESARROLLO Y VALIDACION DE UNA METODOLOGIA PARA ESTIMAR LOS IMPACTOS EN EL AHORRO DE ENERGIA POR EL USO DE SISTEMAS PASIVO-CONSTRUCTIVOS EN LA EDIFICACION PARA DIFERENTES CLIMAS DE MEXICO.,SUSTENTABILIDAD ENERGETICA,360897.16
INSTITUTO DE INVESTIGACIONES ELECTRICOS,ESTACION DE PRUEBAS DE SISTEMAS FOTOVOLTAICOS,SUSTENTABILIDAD ENERGETICA,547700
UNIVERSIDAD DE GUANAJUATO,EVALUACION DE RECURSOS ENERGETICOS RENOVABLES Y USO EFICIENTE DEL RECURSO PARA EL DESARROLLO SUSTENTABLE DE LA PENINSULA DE BAJA CALIFORNIA Y QUINTANA ROO,SUSTENTABILIDAD ENERGETICA,802057.04
INSTITUTO DE INVESTIGACIONES ELECTRICOS,POTENCIAL DE APLICACION DE LAS TECNOLOGIAS TERMOSOLARES A CONCENTRACION PARA LA GENERACION DE CALOR DE PROCESO EN LA INDUSTRIA DE ALIMENTOS Y TEXTIL,SUSTENTABILIDAD ENERGETICA,436754
INSTITUTO DE INVESTIGACIONES ELECTRICOS,PROTOTIPO DE AEROGENERADOR DE 1.2 MWE O MAYOR,SUSTENTABILIDAD ENERGETICA,8875263.94
"CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA, BAJA CALIFORNIA",DETERMINACION DEL POTENCIAL ENERGETICO DEL OLEAJE EN LA COSTA DE LA PENINSULA DE BAJA CALIFORNIA,SUSTENTABILIDAD ENERGETICA,714000
UNIVERSIDAD JUAREZ DEL ESTADO DE DURANGO,GENERACION DE ENERGIA ELECTRICO LIMPIA A TRAVES DE LA METANIZACION DE DIVERSOS TIPOS DE BIOMASA EN BIODIGESTORES ANAEROBICOS EN ZONAS SEMI-URBANAS Y RURALES.,SUSTENTABILIDAD ENERGETICA,154000
INSTITUTO POLITECNICO NACIONAL-UNIDAD PROFESIONAL INTERDISCIPLINARIA DE BIOTECNOLOGIA,INNOVACION Y DESARROLLO SUSTENTABLE EN LA PRODUCCION DE BIOCOMBUSTIBLES A PARTIR DE MICROALGAS,SUSTENTABILIDAD ENERGETICA,2390985.77
UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,MICRO RED SUSTENTABLE DE SERVICIOS ENERGETICOS COMUNITARIOS,SUSTENTABILIDAD ENERGETICA,2824001.3
"CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA, BAJA CALIFORNIA","CENTRO MEXICANO DE INNOVACION EN ENERGIA GEOTERMICA, CICESE ET AL.",SUSTENTABILIDAD ENERGETICA,409753342.5
"UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO, INSTITUTO DE ENERGIAS RENOVABLES",CENTRO MEXICANO DE INNOVACION EN ENERGIA SOLAR,SUSTENTABILIDAD ENERGETICA,21908051.5
INSTITUTO NACIONAL DE INVESTIGACIONES NUCLEARES,DESARROLLO DE UNA PLATAFORMA MEXICANA PARA EL ANALISIS Y DISENO DE REACTORES NUCLEARES.,SUSTENTABILIDAD ENERGETICA,3485638
INSTITUTO NACIONAL DE INVESTIGACIONES NUCLEARES,DETERMINACION DE RADIONUCLEIDOS EMISORES BETA Y ALFA PUROS PRESENTES EN DESECHOS RADIACTIVOS PROCEDENTES DE LA CENTRAL NUCLEAR LAGUNA VERDE,SUSTENTABILIDAD ENERGETICA,1989000
INSTITUTO NACIONAL DE INVESTIGACIONES NUCLEARES,DESARROLLO DE UNA METODOLOGIA BASADA EN LICENCIAMIENTO APLICABLE PARA LA EVALUACION DE LA SEGURIDAD DE LA CENTRAL NUCLEOELECTRICO LAGUNA VERDE ANTE EVENTOS MAS ALLA DE LAS BASES DE DISENO,SUSTENTABILIDAD ENERGETICA,9359520
INSTITUTO NACIONAL DE INVESTIGACIONES NUCLEARES,DESARROLLO DE UNA RED DE MEDICION OPTIMIZADA DE GASES CONTAMINANTES EN PLANTAS DE GENERACION ELECTRICO.,SUSTENTABILIDAD ENERGETICA,8366167.4
INSTITUTO NACIONAL DE INVESTIGACIONES NUCLEARES,"FUNDAMENTOS EXPERIMENTALES PARA LA RENOVACION DE LA LICENCIA DE LA CENTRAL NUCLEOELECTRICO LAGUNA VERDE -SOLDADURAS DISIMILES, COMPONENTES INTERNOS Y VASIJA-",ELECTRICO,7188737
UNIVERSIDAD AUTONOMA DE NUEVO LEON,SISTEMA DE EVALUACION Y CLASIFICACION DEL COMPORTAMIENTO DE LA CALIDAD DE LA ENERGIA SUMINISTRADA,ELECTRICO,1121000
"INSTITUTO NACIONAL DE ASTROFISICA, OPTICA Y ELECTRONICA",SISTEMA PARA EL PRONOSTICO DE CARGAS DE DISTRIBUCION DE ENERGIA ELECTRICO DE CFE,ELECTRICO,2667294
"CENTRO DE INVESTIGACION EN POLIMEROS, S.A. DE C.V.",CENTRO DE INNOVACION TECNOLOGICA INDUSTRIAL (CITI): SISTEMA DE INNOVACION PARA NUEVAS LINEAS DE PINTURAS Y RECUBRIMIENTOS INDUSTRIALES,QUIMICA-PETROQUIMICA,60000
"LIDAG, S.A. DE C.V.",DESARROLLO DE UN BIOINSECTICIDA DE ALTA EFECTIVIDAD PARA EL CONTROL DE LEPIDOPTEROS AMIGABLE CON LOS ECOSISTEMAS NATURALES Y AGRICOLAS.,ALIMENTARIO Y AGROINDUSTRIAL,750000
INDUSTRIAS DE CULIACAN S.A. DE C.V.,"DESARROLLO DE UNA PELICULA PARA INVERNADERO, UTILIZANDO NANO PARTICULAS, QUE INCREMENTE SU PERIODO DE VIDA, MEJORE SUS PROPIEDADES OPTICAS Y MODULE EL  MICROCLIMA DEL CULTIVO.",NANOTECNOLOGIA,694000
"RUHRPUMPEN INDUSTRIAL, S.A. DE C.V.",DESARROLLO DE NUEVA LINEA DE BOMBAS AUTOCEBANTES CON CAPACIDAD DE MANEJO DE SOLIDOS Y ALTO NIVEL TECNOLOGICO PARA USO AGRICOLA E INDUSTRIAL,SISTEMAS DE MANUFACTURA AVANZADA ,261350
ERCUS S.A. DE C.V.,"DISENO E INSTALACION DE UNA PLANTA PILOTO PARA EL PREESCALAMIENTO Y VALIDACION DE BIOFUNGICIDAS PARA EL CONTROL DE LA MONILIASIS (MONILIOPHTHORA RORERI), COMO ESTRATEGIA PARA LA RECUPERACION DEL CACAO EN MEXICO.",AGROALIMENTARIA,1106227
"CYBER MAYOREO, S.A. DE C.V.",DESARROLLO DE UN NUEVO IMPLANTE OSEO TIPO SCAFFOLD CON LIBERACION CONTROLADA DE FARMACOS.,TECNOLOGIAS DE LA SALUD,1970000
INDUSTRIAS LAREL S.A. DE C.V.,CREACION DE UN CENTRO DE DISENO Y DESAROLLO DE TECNOLOGIAS INNOVADORAS PARA EL SECTOR AGROPECUARIO,AGROALIMENTARIA,1409000
GENTIUM IMPORT S.A. DE C.V.,TECNOLOGIA DE TRATAMIENTO DE LIGNOCELULOSAS DE PALMA DE PETATE PARA DEPURACION DE CERAS Y DESARROLLO DE FIBRAS INDUSTRIALES,SISTEMAS DE MANUFACTURA AVANZADA ,850000
"GOVAL INTERNACIONAL, S.A DE C.V.",DESARROLLO DE NANOPARTICULAS MAGNETICAS A BASE DE GA PARA EL TRATAMIENTO DEL CANCER POR HIPERTERMIA MAGNETICA,NANOTECNOLOGIA,350000
KRONOS DTA SA DE CV,"VALIDACION PRE-COMERCIAL DE NUEVA TECNOLOGIA DE MANUFACTURA AVANZADA DE BOTELLAS PET QUE AGRUPA EL SOPLADO, LLENADO, ETIQUETADO, ENROSCADO Y EMPAQUE EN UN SOLO PROCESO INTEGRAL",TECNOLOGIAS DE LA SALUD,3189960
FLUOTEC S. A. DE C. V.,ILUMINACION URBANA CON LEDS,SISTEMAS DE MANUFACTURA AVANZADA ,736200
"INNOVATECNOLOGIA & PROCESOS, S.A. DE C.V.",PROTOTIPO  DE LANCHAS HIBRIDAS QUE UTILIZAN LA COMBINACION DE ENERGIAS RENOVABLES,SISTEMAS DE MANUFACTURA AVANZADA ,1004000
JUGOS BAHIA S.A. DE C.V.,PRUEBA PILOTO PARA EL DESARROLLO DE LA ELABORACION DE BEBIDAS FUNCIONALES,AGROALIMENTARIA,64750
GRUPO PERFIMEXA SA DE CV,"DESARROLLO DE PROTECCIONES DE ALTA RESISTENCIA Y DUREZA, ALTAMENTE COMPETITIVAS PARA LA INDUSTRIA DE LA CONSTRUCCION EN GENERAL A PARTIR DE RECICLADO DE RIEL DE FERROCARRIL COMO MATERIA PRIMA",SISTEMAS DE MANUFACTURA AVANZADA ,1294000
HORMA S.A. DE C.V.,DISENO Y CONSTRUCCION DE UN SISTEMA AUTOMATICO DE MANUFACTURA DE PROTOTIPOS DE HORMAS PLASTICAS PARA CALZADO DE INYECCION DIRECTA AL CORTE®,SISTEMAS DE MANUFACTURA AVANZADA ,1409084
"LABORATORIOS IMPERIALES, S.A. DE C.V.",DESARROLLO DE UN APOSITO HEMOSTATICO INORGANICO PARA LOGARAR UNA NOTABLE REDUCCION DEL SANGRADO Y DE LA UTILIZACION DE SUTURAS ASI COMO LA ELIMINACION DEL RIESGO POR SANGRADO POSTOPERATORIO EN LA PRACTICA DE LA ADENOAMIGDALECTOMIA,TECNOLOGIAS DE LA SALUD,573050
"INSTITUTO DE INVESTIGACION EN QUIMICA APLICADA, S.A. DE C.V.",DOS NUEVOS TRATAMIENTOS PARA EL ESTADO AVANZADO DEL PADECIMIENTO DE DIABETES MELLITUS,TECNOLOGIAS DE LA SALUD,1862500
